G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",coastal-carolina,70,53,17,70.0,53.0
2,"Tue, Nov 15, 2016",dayton,72,77,12,71.0,65.0
3,"Fri, Nov 18, 2016",ball-state,77,59,30,73.0,63.0
4,"Mon, Nov 21, 2016",valparaiso,60,68,22,69.75,64.25
5,"Wed, Nov 23, 2016",saint-louis,62,57,27,68.2,62.8
6,"Tue, Nov 29, 2016",charleston-southern,76,46,57,69.5,60.0
7,"Fri, Dec 2, 2016",texas,68,77,48,69.28571428571429,62.42857142857143
8,"Sun, Dec 11, 2016",oregon 24,56,65,39,67.625,62.75
9,"Thu, Dec 15, 2016",south-carolina-upstate,78,61,56,68.77777777777777,62.55555555555556
10,"Sun, Dec 18, 2016",clemson,54,67,43,67.3,63.0
11,"Wed, Dec 21, 2016",arkansas-state,67,52,58,67.27272727272727,62.0
12,"Thu, Dec 29, 2016",stetson,83,60,81,68.58333333333333,61.833333333333336
13,"Tue, Jan 3, 2017",mississippi-state,68,58,91,68.53846153846153,61.53846153846154
14,"Sat, Jan 7, 2017",vanderbilt,59,56,94,67.85714285714286,61.142857142857146
15,"Tue, Jan 10, 2017",florida 23,67,80,81,67.8,62.4
16,"Sat, Jan 14, 2017",louisiana-state,81,66,96,68.625,62.625
17,"Wed, Jan 18, 2017",missouri,68,56,108,68.58823529411765,62.23529411764706
18,"Sat, Jan 21, 2017",auburn,64,84,88,68.33333333333333,63.44444444444444
19,"Wed, Jan 25, 2017",georgia,80,60,108,68.94736842105263,63.26315789473684
20,"Sat, Jan 28, 2017",mississippi-state,71,62,117,69.05,63.2
21,"Wed, Feb 1, 2017",arkansas,68,87,98,69.0,64.33333333333333
22,"Sat, Feb 4, 2017",auburn,77,82,93,69.36363636363636,65.13636363636364
23,"Tue, Feb 7, 2017",south-carolina 19,90,86,97,70.26086956521739,66.04347826086956
24,"Sat, Feb 11, 2017",kentucky 15,58,67,88,69.75,66.08333333333333
25,"Wed, Feb 15, 2017",missouri,57,54,91,69.24,65.6
26,"Sat, Feb 18, 2017",louisiana-state,90,72,109,70.03846153846153,65.84615384615384
27,"Thu, Feb 23, 2017",georgia,55,60,104,69.48148148148148,65.62962962962963
28,"Sat, Feb 25, 2017",texas-am,53,56,101,68.89285714285714,65.28571428571429
29,"Wed, Mar 1, 2017",mississippi,70,55,116,68.93103448275862,64.93103448275862
30,"Sat, Mar 4, 2017",tennessee,54,59,111,68.43333333333334,64.73333333333333
G,Date,opponent,Tm,Opp,111,68.43333333333334,64.73333333333333
31,"Thu, Mar 9, 2017",mississippi-state,75,55,131,68.64516129032258,64.41935483870968
32,"Fri, Mar 10, 2017",south-carolina,64,53,142,68.5,64.0625
33,"Sat, Mar 11, 2017",kentucky 8,74,79,137,68.66666666666667,64.51515151515152
G,Date,opponent,Tm,Opp,137,68.66666666666667,64.51515151515152
34,"Tue, Mar 14, 2017",richmond,64,71,130,68.52941176470588,64.70588235294117
