G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",portland-state,88,70,18,88.0,70.0
2,"Sun, Nov 13, 2016",cal-poly,96,74,40,92.0,72.0
3,"Thu, Nov 17, 2016",northern-iowa,63,82,21,82.33333333333333,75.33333333333333
4,"Fri, Nov 18, 2016",tulane,80,71,30,81.75,74.25
5,"Sun, Nov 20, 2016",davidson,60,68,22,77.4,73.0
6,"Wed, Nov 23, 2016",citadel,127,110,39,85.66666666666667,79.16666666666667
7,"Mon, Nov 28, 2016",kentucky 1,69,115,-7,83.28571428571429,84.28571428571429
8,"Sat, Dec 3, 2016",nevada-las-vegas,97,73,17,85.0,82.875
9,"Tue, Dec 6, 2016",purdue 18,64,97,-16,82.66666666666667,84.44444444444444
10,"Sat, Dec 10, 2016",san-diego-state,74,63,-5,81.8,82.3
11,"Sat, Dec 17, 2016",new-mexico-state,70,81,-16,80.72727272727273,82.18181818181819
12,"Tue, Dec 20, 2016",creighton 9,85,96,-27,81.08333333333333,83.33333333333333
13,"Thu, Dec 22, 2016",central-arkansas,98,62,9,82.38461538461539,81.6923076923077
14,"Fri, Dec 30, 2016",stanford,98,93,14,83.5,82.5
15,"Sun, Jan 1, 2017",california,65,81,-2,82.26666666666667,82.4
16,"Thu, Jan 5, 2017",colorado,78,77,-1,82.0,82.0625
17,"Sat, Jan 7, 2017",utah,82,88,-7,82.0,82.41176470588235
18,"Thu, Jan 12, 2017",arizona 16,75,91,-23,81.61111111111111,82.88888888888889
19,"Thu, Jan 19, 2017",californiala 3,80,102,-45,81.52631578947368,83.89473684210526
20,"Sun, Jan 22, 2017",southern-california,79,82,-48,81.4,83.8
21,"Wed, Jan 25, 2017",washington,86,75,-37,81.61904761904762,83.38095238095238
22,"Sun, Jan 29, 2017",washington-state,83,91,-45,81.68181818181819,83.72727272727273
23,"Thu, Feb 2, 2017",oregon 13,70,71,-46,81.17391304347827,83.17391304347827
24,"Sat, Feb 4, 2017",oregon-state,81,68,-33,81.16666666666667,82.54166666666667
25,"Wed, Feb 8, 2017",california,43,68,-58,79.64,81.96
26,"Sat, Feb 11, 2017",stanford,75,69,-52,79.46153846153847,81.46153846153847
27,"Thu, Feb 16, 2017",washington,83,81,-50,79.5925925925926,81.44444444444444
28,"Sat, Feb 18, 2017",washington-state,71,86,-65,79.28571428571429,81.60714285714286
29,"Thu, Feb 23, 2017",californiala 5,75,87,-77,79.13793103448276,81.79310344827586
30,"Sun, Feb 26, 2017",southern-california,83,82,-76,79.26666666666667,81.8
31,"Sat, Mar 4, 2017",arizona 7,60,73,-89,78.64516129032258,81.51612903225806
G,Date,opponent,Tm,Opp,-89,78.64516129032258,81.51612903225806
32,"Wed, Mar 8, 2017",stanford,98,88,-79,79.25,81.71875
33,"Thu, Mar 9, 2017",oregon 5,57,80,-102,78.57575757575758,81.66666666666667
