G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",michigan-state 12,65,63,2,65.0,63.0
2,"Tue, Nov 15, 2016",cal-state-bakersfield,78,66,14,71.5,64.5
3,"Fri, Nov 18, 2016",sacred-heart,95,65,44,79.33333333333333,64.66666666666667
4,"Mon, Nov 21, 2016",northern-colorado,71,55,60,77.25,62.25
5,"Thu, Nov 24, 2016",santa-clara,69,61,68,75.6,62.0
6,"Fri, Nov 25, 2016",butler,65,69,64,73.83333333333333,63.166666666666664
7,"Wed, Nov 30, 2016",texas-southern,85,63,86,75.42857142857143,63.142857142857146
8,"Sat, Dec 3, 2016",gonzaga 8,62,69,79,73.75,63.875
9,"Tue, Dec 6, 2016",california-irvine,79,57,101,74.33333333333333,63.111111111111114
10,"Sat, Dec 10, 2016",missouri,79,60,120,74.8,62.8
11,"Wed, Dec 14, 2016",grand-canyon,64,54,130,73.81818181818181,62.0
12,"Sat, Dec 17, 2016",texas-am,67,63,134,73.25,62.083333333333336
13,"Tue, Dec 20, 2016",new-mexico,77,46,165,73.53846153846153,60.84615384615385
14,"Fri, Dec 30, 2016",california,67,62,170,73.07142857142857,60.92857142857143
15,"Sun, Jan 1, 2017",stanford,91,52,209,74.26666666666667,60.333333333333336
16,"Thu, Jan 5, 2017",utah,66,56,219,73.75,60.0625
17,"Sat, Jan 7, 2017",colorado,82,73,228,74.23529411764706,60.8235294117647
18,"Thu, Jan 12, 2017",arizona-state,91,75,244,75.16666666666667,61.611111111111114
19,"Thu, Jan 19, 2017",southern-california,73,66,251,75.05263157894737,61.8421052631579
20,"Sat, Jan 21, 2017",californiala 3,96,85,262,76.1,63.0
21,"Thu, Jan 26, 2017",washington-state,79,62,279,76.23809523809524,62.95238095238095
22,"Sun, Jan 29, 2017",washington,77,66,290,76.27272727272727,63.09090909090909
23,"Thu, Feb 2, 2017",oregon-state,71,54,307,76.04347826086956,62.69565217391305
24,"Sat, Feb 4, 2017",oregon 13,58,85,280,75.29166666666667,63.625
25,"Wed, Feb 8, 2017",stanford,74,67,287,75.24,63.76
26,"Sat, Feb 11, 2017",california,62,57,292,74.73076923076923,63.5
27,"Thu, Feb 16, 2017",washington-state,78,59,311,74.85185185185185,63.333333333333336
28,"Sat, Feb 18, 2017",washington,76,68,319,74.89285714285714,63.5
29,"Thu, Feb 23, 2017",southern-california,90,77,332,75.41379310344827,63.96551724137931
30,"Sat, Feb 25, 2017",californiala 5,72,77,327,75.3,64.4
31,"Sat, Mar 4, 2017",arizona-state,73,60,340,75.2258064516129,64.25806451612904
G,Date,opponent,Tm,Opp,340,75.2258064516129,64.25806451612904
32,"Thu, Mar 9, 2017",colorado,92,78,354,75.75,64.6875
33,"Fri, Mar 10, 2017",californiala 3,86,75,365,76.06060606060606,65.0
34,"Sat, Mar 11, 2017",oregon 5,83,80,368,76.26470588235294,65.44117647058823
G,Date,opponent,Tm,Opp,368,76.26470588235294,65.44117647058823
35,"Thu, Mar 16, 2017",north-dakota,100,82,386,76.94285714285714,65.91428571428571
36,"Sat, Mar 18, 2017",saint-marys-ca 22,69,60,395,76.72222222222223,65.75
37,"Thu, Mar 23, 2017",xavier,71,73,393,76.56756756756756,65.94594594594595
