G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",purdue-fort-wayne,92,83,9,92.0,83.0
2,"Mon, Nov 14, 2016",southern-illinois,90,65,34,91.0,74.0
3,"Fri, Nov 18, 2016",texas-arlington,71,67,38,84.33333333333333,71.66666666666667
4,"Tue, Nov 22, 2016",minnesota,71,85,24,81.0,75.0
5,"Mon, Nov 28, 2016",mount-st-marys,89,76,37,82.6,75.2
6,"Thu, Dec 1, 2016",stephen-f-austin,78,62,53,81.83333333333333,73.0
7,"Sat, Dec 3, 2016",austin-peay,99,62,90,84.28571428571429,71.42857142857143
8,"Tue, Dec 6, 2016",houston,84,72,102,84.25,71.5
9,"Sat, Dec 10, 2016",north-florida,91,76,117,85.0,72.0
10,"Sat, Dec 17, 2016",texas,77,74,120,84.2,72.2
11,"Tue, Dec 20, 2016",north-dakota-state,71,55,136,83.0,70.63636363636364
12,"Thu, Dec 22, 2016",sam-houston-state,90,56,170,83.58333333333333,69.41666666666667
13,"Thu, Dec 29, 2016",florida 25,72,81,161,82.6923076923077,70.3076923076923
14,"Tue, Jan 3, 2017",tennessee,82,78,165,82.64285714285714,70.85714285714286
15,"Sat, Jan 7, 2017",kentucky 6,71,97,139,81.86666666666666,72.6
16,"Tue, Jan 10, 2017",mississippi-state,78,84,133,81.625,73.3125
17,"Sat, Jan 14, 2017",missouri,92,73,152,82.23529411764706,73.29411764705883
18,"Tue, Jan 17, 2017",texas-am,62,60,154,81.11111111111111,72.55555555555556
19,"Sat, Jan 21, 2017",louisiana-state,99,86,167,82.05263157894737,73.26315789473684
20,"Tue, Jan 24, 2017",vanderbilt,71,70,168,81.5,73.1
21,"Sat, Jan 28, 2017",oklahoma-state,71,99,140,81.0,74.33333333333333
22,"Wed, Feb 1, 2017",alabama,87,68,159,81.27272727272727,74.04545454545455
23,"Sat, Feb 4, 2017",missouri,78,83,154,81.1304347826087,74.43478260869566
24,"Tue, Feb 7, 2017",vanderbilt,59,72,141,80.20833333333333,74.33333333333333
25,"Sat, Feb 11, 2017",louisiana-state,78,70,149,80.12,74.16
26,"Wed, Feb 15, 2017",south-carolina 21,83,76,156,80.23076923076923,74.23076923076923
27,"Sat, Feb 18, 2017",mississippi,98,80,174,80.88888888888889,74.44444444444444
28,"Wed, Feb 22, 2017",texas-am,86,77,183,81.07142857142857,74.53571428571429
29,"Sat, Feb 25, 2017",auburn,79,68,194,81.0,74.3103448275862
30,"Wed, Mar 1, 2017",florida 12,65,78,181,80.46666666666667,74.43333333333334
31,"Sat, Mar 4, 2017",georgia,85,67,199,80.61290322580645,74.19354838709677
G,Date,opponent,Tm,Opp,199,80.61290322580645,74.19354838709677
32,"Fri, Mar 10, 2017",mississippi,73,72,200,80.375,74.125
33,"Sat, Mar 11, 2017",vanderbilt,76,62,214,80.24242424242425,73.75757575757575
34,"Sun, Mar 12, 2017",kentucky 8,65,82,197,79.79411764705883,74.0
G,Date,opponent,Tm,Opp,197,79.79411764705883,74.0
35,"Fri, Mar 17, 2017",seton-hall,77,71,203,79.71428571428571,73.91428571428571
36,"Sun, Mar 19, 2017",north-carolina 6,65,72,196,79.30555555555556,73.86111111111111
