G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",north-florida,83,66,17,83.0,66.0
2,"Mon, Nov 14, 2016",georgia-state,83,65,35,83.0,65.5
3,"Thu, Nov 17, 2016",eastern-kentucky,85,64,56,83.66666666666667,65.0
4,"Tue, Nov 22, 2016",texas-tech,67,65,58,79.5,65.0
5,"Wed, Nov 23, 2016",purdue 17,71,96,33,77.8,71.2
6,"Tue, Nov 29, 2016",south-carolina-upstate,90,83,40,79.83333333333333,73.16666666666667
7,"Sat, Dec 3, 2016",alabama-birmingham,74,70,44,79.0,72.71428571428571
8,"Mon, Dec 12, 2016",boston-college,71,72,43,78.0,72.625
9,"Thu, Dec 15, 2016",coastal-carolina,117,72,88,82.33333333333333,72.55555555555556
10,"Sun, Dec 18, 2016",mercer,76,74,90,81.7,72.7
11,"Wed, Dec 21, 2016",oklahoma,74,70,94,81.0,72.45454545454545
12,"Fri, Dec 23, 2016",connecticut,70,67,97,80.08333333333333,72.0
13,"Thu, Dec 29, 2016",georgia,84,96,85,80.38461538461539,73.84615384615384
14,"Wed, Jan 4, 2017",vanderbilt,61,80,66,79.0,74.28571428571429
15,"Sat, Jan 7, 2017",mississippi,85,88,63,79.4,75.2
16,"Tue, Jan 10, 2017",missouri,77,72,68,79.25,75.0
17,"Sat, Jan 14, 2017",kentucky 6,72,92,48,78.82352941176471,76.0
18,"Wed, Jan 18, 2017",louisiana-state,78,74,52,78.77777777777777,75.88888888888889
19,"Sat, Jan 21, 2017",alabama,84,64,72,79.05263157894737,75.26315789473684
20,"Tue, Jan 24, 2017",south-carolina 23,69,98,43,78.55,76.4
21,"Sat, Jan 28, 2017",texas-christian,88,80,51,79.0,76.57142857142857
22,"Tue, Jan 31, 2017",tennessee,77,87,41,78.9090909090909,77.04545454545455
23,"Sat, Feb 4, 2017",alabama,82,77,46,79.04347826086956,77.04347826086956
24,"Tue, Feb 7, 2017",mississippi-state,98,92,52,79.83333333333333,77.66666666666667
25,"Sat, Feb 11, 2017",mississippi,84,90,46,80.0,78.16
26,"Tue, Feb 14, 2017",florida 15,95,114,27,80.57692307692308,79.53846153846153
27,"Sat, Feb 18, 2017",texas-am,62,81,8,79.88888888888889,79.5925925925926
28,"Tue, Feb 21, 2017",louisiana-state,98,75,31,80.53571428571429,79.42857142857143
29,"Sat, Feb 25, 2017",arkansas,68,79,20,80.10344827586206,79.41379310344827
30,"Wed, Mar 1, 2017",georgia,78,79,19,80.03333333333333,79.4
31,"Sat, Mar 4, 2017",missouri,89,78,30,80.3225806451613,79.35483870967742
G,Date,opponent,Tm,Opp,30,80.3225806451613,79.35483870967742
32,"Wed, Mar 8, 2017",missouri,83,86,27,80.40625,79.5625
