G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",south-dakota-state,82,53,29,82.0,53.0
2,"Wed, Nov 16, 2016",california-irvine,75,65,39,78.5,59.0
3,"Mon, Nov 21, 2016",san-diego-state,65,77,27,74.0,65.0
4,"Fri, Nov 25, 2016",wyoming,71,61,37,73.25,64.0
5,"Sun, Nov 27, 2016",southeastern-louisiana,67,55,49,72.0,62.2
6,"Wed, Nov 30, 2016",louisiana-tech,68,59,58,71.33333333333333,61.666666666666664
7,"Sat, Dec 3, 2016",alcorn-state,83,59,82,73.0,61.285714285714285
8,"Tue, Dec 6, 2016",princeton,62,51,93,71.625,60.0
9,"Wed, Dec 7, 2016",seton-hall,57,60,90,70.0,60.0
10,"Sat, Dec 10, 2016",california-davis,86,61,115,71.6,60.1
11,"Sat, Dec 17, 2016",cal-poly,81,55,141,72.45454545454545,59.63636363636363
12,"Wed, Dec 21, 2016",virginia 12,52,56,137,70.75,59.333333333333336
13,"Fri, Dec 30, 2016",arizona 18,62,67,132,70.07692307692308,59.92307692307692
14,"Sun, Jan 1, 2017",arizona-state,81,65,148,70.85714285714286,60.285714285714285
15,"Thu, Jan 5, 2017",californiala 4,71,81,138,70.86666666666666,61.666666666666664
16,"Sun, Jan 8, 2017",southern-california 25,74,73,139,71.0625,62.375
17,"Thu, Jan 12, 2017",washington,69,59,149,70.94117647058823,62.1764705882353
18,"Sat, Jan 14, 2017",washington-state,58,54,153,70.22222222222223,61.72222222222222
19,"Thu, Jan 19, 2017",oregon 11,63,86,130,69.84210526315789,63.0
20,"Sat, Jan 21, 2017",oregon-state,69,58,141,69.8,62.75
21,"Sun, Jan 29, 2017",stanford,66,55,152,69.61904761904762,62.38095238095238
22,"Thu, Feb 2, 2017",utah,77,75,154,69.95454545454545,62.95454545454545
23,"Sun, Feb 5, 2017",colorado,77,66,165,70.26086956521739,63.08695652173913
24,"Wed, Feb 8, 2017",arizona-state,68,43,190,70.16666666666667,62.25
25,"Sat, Feb 11, 2017",arizona 9,57,62,185,69.64,62.24
26,"Fri, Feb 17, 2017",stanford,68,73,180,69.57692307692308,62.65384615384615
27,"Wed, Feb 22, 2017",oregon 6,65,68,177,69.4074074074074,62.851851851851855
28,"Fri, Feb 24, 2017",oregon-state,76,46,207,69.64285714285714,62.25
29,"Thu, Mar 2, 2017",utah,44,74,177,68.75862068965517,62.6551724137931
30,"Sat, Mar 4, 2017",colorado,46,54,169,68.0,62.36666666666667
G,Date,opponent,Tm,Opp,169,68.0,62.36666666666667
31,"Wed, Mar 8, 2017",oregon-state,67,62,174,67.96774193548387,62.354838709677416
32,"Thu, Mar 9, 2017",utah,78,75,177,68.28125,62.75
33,"Fri, Mar 10, 2017",oregon 5,65,73,169,68.18181818181819,63.06060606060606
G,Date,opponent,Tm,Opp,169,68.18181818181819,63.06060606060606
34,"Tue, Mar 14, 2017",cal-state-bakersfield,66,73,162,68.11764705882354,63.35294117647059
