G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Mon, Nov 14, 2016",nicholls-state,80,56,24,80.0,56.0
2,"Thu, Nov 17, 2016",mississippi-state,86,61,49,83.0,58.5
3,"Fri, Nov 18, 2016",college-of-charleston,60,40,69,75.33333333333333,52.333333333333336
4,"Sun, Nov 20, 2016",villanova 3,57,67,59,70.75,56.0
5,"Sat, Nov 26, 2016",seattle,67,51,75,70.0,55.0
6,"Wed, Nov 30, 2016",stetson,81,45,111,71.83333333333333,53.333333333333336
7,"Sat, Dec 3, 2016",massachusetts,65,62,114,70.85714285714286,54.57142857142857
8,"Sat, Dec 10, 2016",maryland-eastern-shore,76,58,132,71.5,55.0
9,"Mon, Dec 12, 2016",pennsylvania,49,58,123,69.0,55.333333333333336
10,"Thu, Dec 15, 2016",george-washington,59,74,108,68.0,57.2
11,"Sun, Dec 18, 2016",miami-oh,80,73,115,69.0909090909091,58.63636363636363
12,"Wed, Dec 21, 2016",bethune-cookman,71,41,145,69.25,57.166666666666664
13,"Wed, Dec 28, 2016",tulane,85,72,158,70.46153846153847,58.30769230769231
14,"Sat, Dec 31, 2016",temple,77,53,182,70.92857142857143,57.92857142857143
15,"Tue, Jan 3, 2017",east-carolina,48,45,185,69.4,57.06666666666667
16,"Sun, Jan 8, 2017",connecticut,49,64,170,68.125,57.5
17,"Sat, Jan 14, 2017",houston,77,70,177,68.6470588235294,58.23529411764706
18,"Tue, Jan 17, 2017",south-florida,86,64,199,69.61111111111111,58.55555555555556
19,"Sun, Jan 22, 2017",memphis,65,70,194,69.36842105263158,59.1578947368421
20,"Wed, Jan 25, 2017",southern-methodist,60,65,189,68.9,59.45
21,"Sat, Jan 28, 2017",tulsa,66,77,178,68.76190476190476,60.285714285714285
22,"Wed, Feb 1, 2017",houston,64,82,160,68.54545454545455,61.27272727272727
23,"Sat, Feb 4, 2017",memphis,72,57,175,68.69565217391305,61.08695652173913
24,"Wed, Feb 8, 2017",cincinnati 11,50,60,165,67.91666666666667,61.041666666666664
25,"Sat, Feb 11, 2017",connecticut,63,66,162,67.72,61.24
26,"Tue, Feb 14, 2017",tulsa,71,53,180,67.84615384615384,60.92307692307692
27,"Sat, Feb 18, 2017",east-carolina,61,58,183,67.5925925925926,60.81481481481482
28,"Wed, Feb 22, 2017",temple,71,69,185,67.71428571428571,61.107142857142854
29,"Sun, Feb 26, 2017",cincinnati 15,53,49,189,67.20689655172414,60.689655172413794
30,"Thu, Mar 2, 2017",south-florida,59,56,192,66.93333333333334,60.53333333333333
G,Date,opponent,Tm,Opp,192,66.93333333333334,60.53333333333333
31,"Fri, Mar 10, 2017",memphis,84,54,222,67.48387096774194,60.32258064516129
32,"Sat, Mar 11, 2017",southern-methodist 12,59,70,211,67.21875,60.625
G,Date,opponent,Tm,Opp,211,67.21875,60.625
33,"Wed, Mar 15, 2017",colorado,79,74,216,67.57575757575758,61.03030303030303
34,"Mon, Mar 20, 2017",illinois-state,63,62,217,67.44117647058823,61.05882352941177
35,"Wed, Mar 22, 2017",illinois,68,58,227,67.45714285714286,60.97142857142857
36,"Tue, Mar 28, 2017",texas-christian,53,68,212,67.05555555555556,61.166666666666664
