G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",brown,84,55,29,84.0,55.0
2,"Mon, Nov 14, 2016",albany-ny,74,51,52,79.0,53.0
3,"Sat, Nov 19, 2016",rhode-island 21,71,76,47,76.33333333333333,60.666666666666664
4,"Sun, Nov 20, 2016",penn-state,71,50,68,75.0,58.0
5,"Wed, Nov 23, 2016",samford,70,55,83,74.0,57.4
6,"Sat, Nov 26, 2016",lipscomb,91,68,106,76.83333333333333,59.166666666666664
7,"Thu, Dec 1, 2016",iowa-state 19,55,54,107,73.71428571428571,58.42857142857143
8,"Sun, Dec 4, 2016",bowling-green-state,85,56,136,75.125,58.125
9,"Sat, Dec 10, 2016",butler 16,65,75,126,74.0,60.0
10,"Tue, Dec 13, 2016",texas-southern,96,58,164,76.2,59.8
11,"Sat, Dec 17, 2016",fairleigh-dickinson,119,68,215,80.0909090909091,60.54545454545455
12,"Thu, Dec 22, 2016",marshall,93,91,217,81.16666666666667,63.083333333333336
13,"Wed, Dec 28, 2016",temple,56,50,223,79.23076923076923,62.07692307692308
14,"Sun, Jan 1, 2017",tulane,92,56,259,80.14285714285714,61.642857142857146
15,"Sat, Jan 7, 2017",houston,67,58,268,79.26666666666667,61.4
16,"Thu, Jan 12, 2017",southern-methodist,66,64,270,78.4375,61.5625
17,"Sun, Jan 15, 2017",east-carolina,55,46,279,77.05882352941177,60.64705882352941
18,"Wed, Jan 18, 2017",temple,81,74,286,77.27777777777777,61.388888888888886
19,"Sat, Jan 21, 2017",tulane,78,61,303,77.3157894736842,61.36842105263158
20,"Thu, Jan 26, 2017",xavier 24,86,78,311,77.75,62.2
21,"Sun, Jan 29, 2017",south-florida,94,53,352,78.52380952380952,61.76190476190476
22,"Wed, Feb 1, 2017",tulsa,57,55,354,77.54545454545455,61.45454545454545
23,"Sat, Feb 4, 2017",connecticut,82,68,368,77.73913043478261,61.73913043478261
24,"Wed, Feb 8, 2017",central-florida,60,50,378,77.0,61.25
25,"Sun, Feb 12, 2017",southern-methodist 25,51,60,369,75.96,61.2
26,"Wed, Feb 15, 2017",south-florida,68,54,383,75.65384615384616,60.92307692307692
27,"Sat, Feb 18, 2017",tulsa,80,60,403,75.81481481481481,60.888888888888886
28,"Thu, Feb 23, 2017",memphis,87,74,416,76.21428571428571,61.357142857142854
29,"Sun, Feb 26, 2017",central-florida,49,53,412,75.27586206896552,61.06896551724138
30,"Thu, Mar 2, 2017",houston,65,47,430,74.93333333333334,60.6
31,"Sun, Mar 5, 2017",connecticut,67,47,450,74.6774193548387,60.16129032258065
G,Date,opponent,Tm,Opp,450,74.6774193548387,60.16129032258065
32,"Fri, Mar 10, 2017",tulsa,80,61,469,74.84375,60.1875
33,"Sat, Mar 11, 2017",connecticut,81,71,479,75.03030303030303,60.515151515151516
34,"Sun, Mar 12, 2017",southern-methodist 12,56,71,464,74.47058823529412,60.8235294117647
G,Date,opponent,Tm,Opp,464,74.47058823529412,60.8235294117647
35,"Fri, Mar 17, 2017",kansas-state,75,61,478,74.48571428571428,60.82857142857143
36,"Sun, Mar 19, 2017",californiala 8,67,79,466,74.27777777777777,61.333333333333336
