G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",georgia,74,64,10,74.0,64.0
2,"Thu, Nov 17, 2016",davidson,95,78,27,84.5,71.0
3,"Fri, Nov 18, 2016",xavier 11,77,83,21,82.0,75.0
4,"Sun, Nov 20, 2016",oklahoma,64,70,15,77.5,73.75
5,"Fri, Nov 25, 2016",high-point,83,74,24,78.6,73.8
6,"Wed, Nov 30, 2016",nebraska,60,58,26,75.5,71.16666666666667
7,"Sun, Dec 4, 2016",coppin-state,85,43,68,76.85714285714286,67.14285714285714
8,"Sat, Dec 10, 2016",mercer,90,47,111,78.5,64.625
9,"Tue, Dec 13, 2016",south-carolina-state,93,65,139,80.11111111111111,64.66666666666667
10,"Sun, Dec 18, 2016",alabama,67,54,152,78.8,63.6
11,"Wed, Dec 21, 2016",south-carolina 22,62,60,154,77.27272727272727,63.27272727272727
12,"Wed, Dec 28, 2016",north-carolina-wilmington,87,73,168,78.08333333333333,64.08333333333333
13,"Sat, Dec 31, 2016",wake-forest,73,68,173,77.6923076923077,64.38461538461539
14,"Tue, Jan 3, 2017",north-carolina 14,86,89,170,78.28571428571429,66.14285714285714
15,"Sat, Jan 7, 2017",notre-dame 23,70,75,165,77.73333333333333,66.73333333333333
16,"Thu, Jan 12, 2017",georgia-tech,63,75,153,76.8125,67.25
17,"Sat, Jan 14, 2017",virginia 19,73,77,149,76.58823529411765,67.82352941176471
18,"Thu, Jan 19, 2017",louisville 12,60,92,117,75.66666666666667,69.16666666666667
19,"Sun, Jan 22, 2017",virginia-tech,81,82,116,75.94736842105263,69.84210526315789
20,"Sat, Jan 28, 2017",pittsburgh,67,60,123,75.5,69.35
21,"Wed, Feb 1, 2017",georgia-tech,74,62,135,75.42857142857143,69.0
22,"Sun, Feb 5, 2017",florida-state 15,61,109,87,74.77272727272727,70.81818181818181
23,"Tue, Feb 7, 2017",syracuse,81,82,86,75.04347826086956,71.30434782608695
24,"Sat, Feb 11, 2017",duke 18,62,64,84,74.5,71.0
25,"Tue, Feb 14, 2017",wake-forest,95,83,96,75.32,71.48
26,"Sat, Feb 18, 2017",miami-fl,65,71,90,74.92307692307692,71.46153846153847
27,"Tue, Feb 21, 2017",virginia-tech,70,71,89,74.74074074074075,71.44444444444444
28,"Sat, Feb 25, 2017",florida-state 19,74,76,87,74.71428571428571,71.60714285714286
29,"Wed, Mar 1, 2017",north-carolina-state,78,74,91,74.82758620689656,71.6896551724138
30,"Sat, Mar 4, 2017",boston-college,82,68,105,75.06666666666666,71.56666666666666
G,Date,opponent,Tm,Opp,105,75.06666666666666,71.56666666666666
31,"Tue, Mar 7, 2017",north-carolina-state,75,61,119,75.06451612903226,71.2258064516129
32,"Wed, Mar 8, 2017",duke 14,72,79,112,74.96875,71.46875
G,Date,opponent,Tm,Opp,112,74.96875,71.46875
33,"Tue, Mar 14, 2017",oakland,69,74,107,74.78787878787878,71.54545454545455
