G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",sacramento-state,90,53,37,90.0,53.0
2,"Mon, Nov 14, 2016",seattle,67,55,49,78.5,54.0
3,"Thu, Nov 17, 2016",louisiana-monroe,89,70,68,82.0,59.333333333333336
4,"Mon, Nov 21, 2016",notre-dame,83,89,62,82.25,66.75
5,"Tue, Nov 22, 2016",texas 22,68,54,76,79.4,64.2
6,"Sun, Nov 27, 2016",wofford,75,60,91,78.66666666666667,63.5
7,"Wed, Nov 30, 2016",colorado-state,58,72,77,75.71428571428571,64.71428571428571
8,"Sat, Dec 3, 2016",portland,76,63,90,75.75,64.5
9,"Wed, Dec 7, 2016",xavier 13,68,66,92,74.88888888888889,64.66666666666667
10,"Sat, Dec 10, 2016",brigham-young,71,79,84,74.5,66.1
11,"Sat, Dec 17, 2016",fort-hays-state,81,71,94,75.0909090909091,66.54545454545455
12,"Mon, Dec 19, 2016",air-force,75,68,101,75.08333333333333,66.66666666666667
13,"Thu, Dec 22, 2016",eastern-washington,76,68,109,75.15384615384616,66.76923076923077
14,"Sun, Jan 1, 2017",utah,60,76,93,74.07142857142857,67.42857142857143
15,"Thu, Jan 5, 2017",arizona-state,77,78,92,74.26666666666667,68.13333333333334
16,"Sat, Jan 7, 2017",arizona 17,73,82,83,74.1875,69.0
17,"Thu, Jan 12, 2017",californiala 4,89,104,68,75.05882352941177,71.05882352941177
18,"Sun, Jan 15, 2017",southern-california 25,68,71,65,74.66666666666667,71.05555555555556
19,"Wed, Jan 18, 2017",washington,83,85,63,75.10526315789474,71.78947368421052
20,"Sat, Jan 21, 2017",washington-state,89,91,61,75.8,72.75
21,"Thu, Jan 26, 2017",oregon-state,85,78,68,76.23809523809524,73.0
22,"Sat, Jan 28, 2017",oregon 10,74,65,77,76.13636363636364,72.63636363636364
23,"Thu, Feb 2, 2017",stanford,81,74,84,76.34782608695652,72.69565217391305
24,"Sun, Feb 5, 2017",california,66,77,73,75.91666666666667,72.875
25,"Thu, Feb 9, 2017",washington,81,66,88,76.12,72.6
26,"Sun, Feb 12, 2017",washington-state,81,49,120,76.3076923076923,71.6923076923077
27,"Thu, Feb 16, 2017",oregon-state,60,52,128,75.70370370370371,70.96296296296296
28,"Sat, Feb 18, 2017",oregon 7,73,101,100,75.60714285714286,72.03571428571429
29,"Thu, Feb 23, 2017",utah,81,86,95,75.79310344827586,72.51724137931035
30,"Thu, Mar 2, 2017",stanford,91,72,114,76.3,72.5
31,"Sat, Mar 4, 2017",california,54,46,122,75.58064516129032,71.64516129032258
G,Date,opponent,Tm,Opp,122,75.58064516129032,71.64516129032258
32,"Wed, Mar 8, 2017",washington-state,73,63,132,75.5,71.375
33,"Thu, Mar 9, 2017",arizona 7,78,92,118,75.57575757575758,72.0
G,Date,opponent,Tm,Opp,118,75.57575757575758,72.0
34,"Wed, Mar 15, 2017",central-florida,74,79,113,75.52941176470588,72.20588235294117
