G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",wagner,58,67,-9,58.0,67.0
2,"Mon, Nov 14, 2016",northeastern,61,64,-12,59.5,65.5
3,"Thu, Nov 17, 2016",loyola-marymount,65,62,-9,61.333333333333336,64.33333333333333
4,"Mon, Nov 21, 2016",oklahoma-state,90,98,-17,68.5,72.75
5,"Tue, Nov 22, 2016",chaminade,93,82,-6,73.4,74.6
6,"Wed, Nov 23, 2016",oregon 13,69,79,-16,72.66666666666667,75.33333333333333
7,"Wed, Nov 30, 2016",boston-university,51,49,-14,69.57142857142857,71.57142857142857
8,"Mon, Dec 5, 2016",syracuse,52,50,-12,67.375,68.875
9,"Sat, Dec 10, 2016",ohio-state,60,64,-16,66.55555555555556,68.33333333333333
10,"Sun, Dec 18, 2016",north-florida,80,59,5,67.9,67.4
11,"Fri, Dec 23, 2016",auburn,67,70,2,67.81818181818181,67.63636363636364
12,"Wed, Dec 28, 2016",houston,46,62,-14,66.0,67.16666666666667
13,"Sat, Dec 31, 2016",tulsa,59,61,-16,65.46153846153847,66.6923076923077
14,"Thu, Jan 5, 2017",memphis,61,70,-25,65.14285714285714,66.92857142857143
15,"Sun, Jan 8, 2017",central-florida,64,49,-10,65.06666666666666,65.73333333333333
16,"Wed, Jan 11, 2017",temple,73,59,4,65.5625,65.3125
17,"Sat, Jan 14, 2017",georgetown,69,72,1,65.76470588235294,65.70588235294117
18,"Thu, Jan 19, 2017",southern-methodist,49,69,-19,64.83333333333333,65.88888888888889
19,"Sun, Jan 22, 2017",east-carolina,72,65,-12,65.21052631578948,65.84210526315789
20,"Wed, Jan 25, 2017",south-florida,81,60,9,66.0,65.55
21,"Sat, Jan 28, 2017",tulane,78,68,19,66.57142857142857,65.66666666666667
22,"Sat, Feb 4, 2017",cincinnati 14,68,82,5,66.63636363636364,66.4090909090909
23,"Wed, Feb 8, 2017",south-florida,97,51,51,67.95652173913044,65.73913043478261
24,"Sat, Feb 11, 2017",central-florida,66,63,54,67.875,65.625
25,"Thu, Feb 16, 2017",memphis,65,62,57,67.76,65.48
26,"Sun, Feb 19, 2017",temple,64,63,58,67.61538461538461,65.38461538461539
27,"Wed, Feb 22, 2017",houston,70,75,53,67.70370370370371,65.74074074074075
28,"Sat, Feb 25, 2017",southern-methodist 17,61,69,45,67.46428571428571,65.85714285714286
29,"Wed, Mar 1, 2017",east-carolina,62,66,41,67.27586206896552,65.86206896551724
30,"Sun, Mar 5, 2017",cincinnati 18,47,67,21,66.6,65.9
G,Date,opponent,Tm,Opp,21,66.6,65.9
31,"Thu, Mar 9, 2017",south-florida,77,66,32,66.93548387096774,65.90322580645162
32,"Fri, Mar 10, 2017",houston,74,65,41,67.15625,65.875
33,"Sat, Mar 11, 2017",cincinnati 15,71,81,31,67.27272727272727,66.33333333333333
