G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sun, Nov 13, 2016",robert-morris,78,72,6,78.0,72.0
2,"Thu, Nov 17, 2016",rutgers,59,66,-1,68.5,69.0
3,"Sun, Nov 20, 2016",milwaukee,77,59,17,71.33333333333333,65.66666666666667
4,"Wed, Nov 23, 2016",missouri-state,68,66,19,70.5,65.75
5,"Wed, Nov 30, 2016",drake,77,75,21,71.8,67.6
6,"Sat, Dec 3, 2016",northwestern,64,80,5,70.5,69.66666666666667
7,"Tue, Dec 6, 2016",lamar,80,61,24,71.85714285714286,68.42857142857143
8,"Sat, Dec 10, 2016",temple,65,74,15,71.0,69.125
9,"Wed, Dec 14, 2016",illinois-chicago,75,80,10,71.44444444444444,70.33333333333333
10,"Sat, Dec 17, 2016",chicago-state,109,61,58,75.2,69.4
11,"Mon, Dec 19, 2016",southeast-missouri-state,81,78,61,75.72727272727273,70.18181818181819
12,"Thu, Dec 22, 2016",wyoming,58,72,47,74.25,70.33333333333333
13,"Fri, Dec 23, 2016",missouri-state,58,69,36,73.0,70.23076923076923
14,"Wed, Dec 28, 2016",villanova 1,65,68,33,72.42857142857143,70.07142857142857
15,"Sun, Jan 1, 2017",st-johns-ny,73,79,27,72.46666666666667,70.66666666666667
16,"Sat, Jan 7, 2017",seton-hall,56,87,-4,71.4375,71.6875
17,"Tue, Jan 10, 2017",providence,64,63,-3,71.0,71.17647058823529
18,"Sat, Jan 14, 2017",marquette,58,83,-28,70.27777777777777,71.83333333333333
19,"Mon, Jan 16, 2017",st-johns-ny,68,78,-38,70.15789473684211,72.15789473684211
20,"Sat, Jan 21, 2017",butler 13,69,70,-39,70.1,72.05
21,"Sat, Jan 28, 2017",creighton 16,66,83,-56,69.9047619047619,72.57142857142857
22,"Tue, Jan 31, 2017",georgetown,73,76,-59,70.04545454545455,72.72727272727273
23,"Sat, Feb 4, 2017",marquette,79,92,-72,70.43478260869566,73.56521739130434
24,"Wed, Feb 8, 2017",xavier 24,61,72,-83,70.04166666666667,73.5
25,"Sat, Feb 11, 2017",creighton 23,58,93,-118,69.56,74.28
26,"Mon, Feb 13, 2017",villanova 2,62,75,-131,69.26923076923077,74.3076923076923
27,"Sun, Feb 19, 2017",butler 24,66,82,-147,69.14814814814815,74.5925925925926
28,"Wed, Feb 22, 2017",georgetown,67,65,-145,69.07142857142857,74.25
29,"Sat, Feb 25, 2017",seton-hall,79,82,-148,69.41379310344827,74.51724137931035
30,"Tue, Feb 28, 2017",providence,64,73,-157,69.23333333333333,74.46666666666667
31,"Sat, Mar 4, 2017",xavier,65,79,-171,69.09677419354838,74.61290322580645
G,Date,opponent,Tm,Opp,-171,69.09677419354838,74.61290322580645
32,"Wed, Mar 8, 2017",xavier,64,75,-182,68.9375,74.625
