G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",marist,94,49,45,94.0,49.0
2,"Sat, Nov 12, 2016",grand-canyon,96,61,80,95.0,55.0
3,"Tue, Nov 15, 2016",kansas 7,75,77,78,88.33333333333333,62.333333333333336
4,"Sat, Nov 19, 2016",penn-state,78,68,88,85.75,63.75
5,"Sun, Nov 20, 2016",rhode-island 21,75,65,98,83.6,64.0
6,"Wed, Nov 23, 2016",william-mary,88,67,119,84.33333333333333,64.5
7,"Sat, Nov 26, 2016",appalachian-state,93,58,154,85.57142857142857,63.57142857142857
8,"Tue, Nov 29, 2016",michigan-state,78,69,163,84.625,64.25
9,"Sat, Dec 3, 2016",maine,94,55,202,85.66666666666667,63.22222222222222
10,"Tue, Dec 6, 2016",florida 21,84,74,212,85.5,64.3
11,"Sat, Dec 10, 2016",nevada-las-vegas,94,45,261,86.27272727272727,62.54545454545455
12,"Mon, Dec 19, 2016",tennessee-state,65,55,271,84.5,61.916666666666664
13,"Wed, Dec 21, 2016",elon,72,61,282,83.53846153846153,61.84615384615385
14,"Sat, Dec 31, 2016",virginia-tech,75,89,268,82.92857142857143,63.785714285714285
15,"Wed, Jan 4, 2017",georgia-tech,110,57,321,84.73333333333333,63.333333333333336
16,"Sat, Jan 7, 2017",boston-college,93,82,332,85.25,64.5
17,"Tue, Jan 10, 2017",florida-state 9,72,88,316,84.47058823529412,65.88235294117646
18,"Sat, Jan 14, 2017",louisville 14,69,78,307,83.61111111111111,66.55555555555556
19,"Sat, Jan 21, 2017",miami-fl,70,58,319,82.89473684210526,66.10526315789474
20,"Mon, Jan 23, 2017",north-carolina-state,82,84,317,82.85,67.0
21,"Sat, Jan 28, 2017",wake-forest,85,83,319,82.95238095238095,67.76190476190476
22,"Mon, Jan 30, 2017",notre-dame 20,84,74,329,83.0,68.04545454545455
23,"Sat, Feb 4, 2017",pittsburgh,72,64,337,82.52173913043478,67.8695652173913
24,"Thu, Feb 9, 2017",north-carolina 8,86,78,345,82.66666666666667,68.29166666666667
25,"Sat, Feb 11, 2017",clemson,64,62,347,81.92,68.04
26,"Wed, Feb 15, 2017",virginia 14,65,55,357,81.26923076923077,67.53846153846153
27,"Sat, Feb 18, 2017",wake-forest,99,94,362,81.92592592592592,68.51851851851852
28,"Wed, Feb 22, 2017",syracuse,75,78,359,81.67857142857143,68.85714285714286
29,"Sat, Feb 25, 2017",miami-fl,50,55,354,80.58620689655173,68.37931034482759
30,"Tue, Feb 28, 2017",florida-state 15,75,70,359,80.4,68.43333333333334
31,"Sat, Mar 4, 2017",north-carolina 5,83,90,352,80.48387096774194,69.12903225806451
G,Date,opponent,Tm,Opp,352,80.48387096774194,69.12903225806451
32,"Wed, Mar 8, 2017",clemson,79,72,359,80.4375,69.21875
33,"Thu, Mar 9, 2017",louisville 10,81,77,363,80.45454545454545,69.45454545454545
34,"Fri, Mar 10, 2017",north-carolina 6,93,83,373,80.82352941176471,69.8529411764706
35,"Sat, Mar 11, 2017",notre-dame 22,75,69,379,80.65714285714286,69.82857142857142
G,Date,opponent,Tm,Opp,379,80.65714285714286,69.82857142857142
36,"Fri, Mar 17, 2017",troy,87,65,401,80.83333333333333,69.69444444444444
37,"Sun, Mar 19, 2017",south-carolina,81,88,394,80.83783783783784,70.1891891891892
