G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 12, 2016",charleston-southern,88,67,21,88.0,67.0
2,"Tue, Nov 15, 2016",iona,99,78,42,93.5,72.5
3,"Fri, Nov 18, 2016",winthrop,100,86,56,95.66666666666667,77.0
4,"Sun, Nov 20, 2016",detroit-mercy,100,71,85,96.75,75.5
5,"Thu, Nov 24, 2016",temple,86,89,82,94.6,78.2
6,"Fri, Nov 25, 2016",illinois,72,61,93,90.83333333333333,75.33333333333333
7,"Mon, Nov 28, 2016",minnesota,75,67,101,88.57142857142857,74.14285714285714
8,"Sun, Dec 4, 2016",george-washington,67,48,120,85.875,70.875
9,"Tue, Dec 6, 2016",southern-mississippi,98,49,169,87.22222222222223,68.44444444444444
10,"Thu, Dec 8, 2016",nicholls-state,118,63,224,90.3,67.9
11,"Sun, Dec 11, 2016",florida 21,83,78,229,89.63636363636364,68.81818181818181
12,"Sat, Dec 17, 2016",manhattan,83,67,245,89.08333333333333,68.66666666666667
13,"Mon, Dec 19, 2016",samford,76,68,253,88.07692307692308,68.61538461538461
14,"Wed, Dec 28, 2016",wake-forest,88,72,269,88.07142857142857,68.85714285714286
15,"Sat, Dec 31, 2016",virginia 12,60,58,271,86.2,68.13333333333334
16,"Sat, Jan 7, 2017",virginia-tech 21,93,78,286,86.625,68.75
17,"Tue, Jan 10, 2017",duke 7,88,72,302,86.70588235294117,68.94117647058823
18,"Sat, Jan 14, 2017",north-carolina 11,83,96,289,86.5,70.44444444444444
19,"Wed, Jan 18, 2017",notre-dame 15,83,80,292,86.3157894736842,70.94736842105263
20,"Sat, Jan 21, 2017",louisville 12,73,68,297,85.65,70.8
21,"Wed, Jan 25, 2017",georgia-tech,56,78,275,84.23809523809524,71.14285714285714
22,"Sat, Jan 28, 2017",syracuse,72,82,265,83.68181818181819,71.63636363636364
23,"Wed, Feb 1, 2017",miami-fl,75,57,283,83.30434782608695,71.0
24,"Sun, Feb 5, 2017",clemson,109,61,331,84.375,70.58333333333333
25,"Wed, Feb 8, 2017",north-carolina-state,95,71,355,84.8,70.6
26,"Sat, Feb 11, 2017",notre-dame,72,84,343,84.3076923076923,71.11538461538461
27,"Sat, Feb 18, 2017",pittsburgh,66,80,329,83.62962962962963,71.44444444444444
28,"Mon, Feb 20, 2017",boston-college,104,72,361,84.35714285714286,71.46428571428571
29,"Sat, Feb 25, 2017",clemson,76,74,363,84.06896551724138,71.55172413793103
30,"Tue, Feb 28, 2017",duke 17,70,75,358,83.6,71.66666666666667
31,"Sat, Mar 4, 2017",miami-fl 25,66,57,367,83.03225806451613,71.19354838709677
G,Date,opponent,Tm,Opp,367,83.03225806451613,71.19354838709677
32,"Thu, Mar 9, 2017",virginia-tech,74,68,373,82.75,71.09375
33,"Fri, Mar 10, 2017",notre-dame 22,73,77,369,82.45454545454545,71.27272727272727
G,Date,opponent,Tm,Opp,369,82.45454545454545,71.27272727272727
34,"Thu, Mar 16, 2017",florida-gulf-coast,86,80,375,82.55882352941177,71.52941176470588
35,"Sat, Mar 18, 2017",xavier,66,91,350,82.08571428571429,72.08571428571429
