G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",florida-gulf-coast,80,59,21,80.0,59.0
2,"Sun, Nov 13, 2016",mercer,76,54,43,78.0,56.5
3,"Thu, Nov 17, 2016",st-bonaventure,73,66,50,76.33333333333333,59.666666666666664
4,"Mon, Nov 21, 2016",belmont,78,61,67,76.75,60.0
5,"Thu, Nov 24, 2016",seton-hall,81,76,72,77.6,63.2
6,"Fri, Nov 25, 2016",gonzaga 11,72,77,67,76.66666666666667,65.5
7,"Sun, Nov 27, 2016",miami-fl,65,56,76,75.0,64.14285714285714
8,"Thu, Dec 1, 2016",north-florida,91,60,107,77.0,63.625
9,"Tue, Dec 6, 2016",duke 5,74,84,97,76.66666666666667,65.88888888888889
10,"Sun, Dec 11, 2016",florida-state,78,83,92,76.8,67.6
11,"Sat, Dec 17, 2016",charlotte,87,46,133,77.72727272727273,65.63636363636364
12,"Wed, Dec 21, 2016",arkansas-little-rock,94,71,156,79.08333333333333,66.08333333333333
13,"Thu, Dec 29, 2016",arkansas,81,72,165,79.23076923076923,66.53846153846153
14,"Tue, Jan 3, 2017",mississippi,70,63,172,78.57142857142857,66.28571428571429
15,"Sat, Jan 7, 2017",tennessee,83,70,185,78.86666666666666,66.53333333333333
16,"Tue, Jan 10, 2017",alabama,80,67,198,78.9375,66.5625
17,"Sat, Jan 14, 2017",georgia,80,76,202,79.0,67.11764705882354
18,"Wed, Jan 18, 2017",south-carolina 24,53,57,198,77.55555555555556,66.55555555555556
19,"Sat, Jan 21, 2017",vanderbilt,66,68,196,76.94736842105263,66.63157894736842
20,"Wed, Jan 25, 2017",louisiana-state,106,71,231,78.4,66.85
21,"Sat, Jan 28, 2017",oklahoma,84,52,263,78.66666666666667,66.14285714285714
22,"Thu, Feb 2, 2017",missouri,93,54,302,79.31818181818181,65.5909090909091
23,"Sat, Feb 4, 2017",kentucky 8,88,66,324,79.69565217391305,65.6086956521739
24,"Tue, Feb 7, 2017",georgia,72,60,336,79.375,65.375
25,"Sat, Feb 11, 2017",texas-am,71,62,345,79.04,65.24
26,"Tue, Feb 14, 2017",auburn,114,95,364,80.38461538461539,66.38461538461539
27,"Sat, Feb 18, 2017",mississippi-state,57,52,369,79.51851851851852,65.85185185185185
28,"Tue, Feb 21, 2017",south-carolina,81,66,384,79.57142857142857,65.85714285714286
29,"Sat, Feb 25, 2017",kentucky 11,66,76,374,79.10344827586206,66.20689655172414
30,"Wed, Mar 1, 2017",arkansas,78,65,387,79.06666666666666,66.16666666666667
31,"Sat, Mar 4, 2017",vanderbilt,71,73,385,78.80645161290323,66.38709677419355
G,Date,opponent,Tm,Opp,385,78.80645161290323,66.38709677419355
32,"Fri, Mar 10, 2017",vanderbilt,62,72,375,78.28125,66.5625
G,Date,opponent,Tm,Opp,375,78.28125,66.5625
33,"Thu, Mar 16, 2017",east-tennessee-state,80,65,390,78.33333333333333,66.51515151515152
34,"Sat, Mar 18, 2017",virginia 24,65,39,416,77.94117647058823,65.70588235294117
35,"Fri, Mar 24, 2017",wisconsin 25,84,83,417,78.11428571428571,66.2
36,"Sun, Mar 26, 2017",south-carolina,70,77,410,77.88888888888889,66.5
