G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",clemson,64,74,-10,64.0,74.0
2,"Mon, Nov 14, 2016",north-carolina-asheville,60,46,4,62.0,60.0
3,"Thu, Nov 17, 2016",furman,84,78,10,69.33333333333333,66.0
4,"Mon, Nov 21, 2016",george-washington,81,73,18,72.25,67.75
5,"Tue, Nov 22, 2016",kansas 5,54,65,7,68.6,67.2
6,"Fri, Nov 25, 2016",gardner-webb,77,59,25,70.0,65.83333333333333
7,"Wed, Nov 30, 2016",morehouse,86,72,39,72.28571428571429,66.71428571428571
8,"Sun, Dec 4, 2016",marquette,79,89,29,73.125,69.5
9,"Wed, Dec 14, 2016",louisiana-lafayette,73,60,42,73.11111111111111,68.44444444444444
10,"Sat, Dec 17, 2016",charleston-southern,84,64,62,74.2,68.0
11,"Tue, Dec 20, 2016",georgia-tech,60,43,79,72.9090909090909,65.72727272727273
12,"Fri, Dec 23, 2016",oakland,79,86,72,73.41666666666667,67.41666666666667
13,"Thu, Dec 29, 2016",auburn,96,84,84,75.15384615384616,68.6923076923077
14,"Wed, Jan 4, 2017",south-carolina,61,67,78,74.14285714285714,68.57142857142857
15,"Sat, Jan 7, 2017",missouri,71,66,83,73.93333333333334,68.4
16,"Wed, Jan 11, 2017",mississippi,69,47,105,73.625,67.0625
17,"Sat, Jan 14, 2017",florida 23,76,80,101,73.76470588235294,67.82352941176471
18,"Tue, Jan 17, 2017",vanderbilt,76,68,109,73.88888888888889,67.83333333333333
19,"Sat, Jan 21, 2017",texas-am,62,63,108,73.26315789473684,67.57894736842105
20,"Wed, Jan 25, 2017",alabama,60,80,88,72.6,68.2
21,"Sat, Jan 28, 2017",texas,59,57,90,71.95238095238095,67.66666666666667
22,"Tue, Jan 31, 2017",kentucky 8,81,90,81,72.36363636363636,68.68181818181819
23,"Sat, Feb 4, 2017",south-carolina 19,75,77,79,72.47826086956522,69.04347826086956
24,"Tue, Feb 7, 2017",florida 17,60,72,67,71.95833333333333,69.16666666666667
25,"Sat, Feb 11, 2017",tennessee,76,75,68,72.12,69.4
26,"Tue, Feb 14, 2017",mississippi-state,79,72,75,72.38461538461539,69.5
27,"Sat, Feb 18, 2017",kentucky 13,77,82,70,72.55555555555556,69.96296296296296
28,"Thu, Feb 23, 2017",alabama,60,55,75,72.10714285714286,69.42857142857143
29,"Sat, Feb 25, 2017",louisiana-state,82,80,77,72.44827586206897,69.79310344827586
30,"Wed, Mar 1, 2017",auburn,79,78,78,72.66666666666667,70.06666666666666
31,"Sat, Mar 4, 2017",arkansas,67,85,60,72.48387096774194,70.54838709677419
G,Date,opponent,Tm,Opp,60,72.48387096774194,70.54838709677419
32,"Thu, Mar 9, 2017",tennessee,59,57,62,72.0625,70.125
33,"Fri, Mar 10, 2017",kentucky 8,60,71,51,71.6969696969697,70.15151515151516
G,Date,opponent,Tm,Opp,51,71.6969696969697,70.15151515151516
34,"Wed, Mar 15, 2017",belmont,69,78,42,71.61764705882354,70.38235294117646
