G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",kennesaw-state,91,74,17,91.0,74.0
2,"Sun, Nov 13, 2016",savannah-state,116,84,49,103.5,79.0
3,"Thu, Nov 17, 2016",seton-hall,83,91,41,96.66666666666667,83.0
4,"Sun, Nov 20, 2016",texas-pan-american,95,67,69,96.25,79.0
5,"Fri, Nov 25, 2016",virginia 7,41,74,36,85.2,78.0
6,"Sat, Nov 26, 2016",memphis,92,100,28,86.33333333333333,81.66666666666667
7,"Tue, Nov 29, 2016",notre-dame,78,92,14,85.14285714285714,83.14285714285714
8,"Sat, Dec 3, 2016",nebraska-omaha,89,98,5,85.625,85.0
9,"Mon, Dec 5, 2016",stetson,95,68,32,86.66666666666667,83.11111111111111
10,"Thu, Dec 8, 2016",iowa-state 25,78,64,46,85.8,81.2
11,"Sat, Dec 17, 2016",northern-iowa,69,46,69,84.27272727272727,78.0
12,"Tue, Dec 20, 2016",north-dakota,84,73,80,84.25,77.58333333333333
13,"Thu, Dec 22, 2016",delaware-state,89,57,112,84.61538461538461,76.0
14,"Wed, Dec 28, 2016",purdue 15,67,89,90,83.35714285714286,76.92857142857143
15,"Sun, Jan 1, 2017",michigan,86,83,93,83.53333333333333,77.33333333333333
16,"Thu, Jan 5, 2017",nebraska,90,93,90,83.9375,78.3125
17,"Sun, Jan 8, 2017",rutgers,68,62,96,83.0,77.3529411764706
18,"Thu, Jan 12, 2017",purdue 17,83,78,101,83.0,77.38888888888889
19,"Sun, Jan 15, 2017",northwestern,54,89,66,81.47368421052632,78.0
20,"Thu, Jan 19, 2017",maryland 25,76,84,58,81.2,78.3
21,"Wed, Jan 25, 2017",illinois,64,76,46,80.38095238095238,78.19047619047619
22,"Sat, Jan 28, 2017",ohio-state,85,72,59,80.5909090909091,77.9090909090909
23,"Tue, Jan 31, 2017",rutgers,83,63,79,80.69565217391305,77.26086956521739
24,"Sun, Feb 5, 2017",nebraska,81,70,90,80.70833333333333,76.95833333333333
25,"Wed, Feb 8, 2017",minnesota,89,101,78,81.04,77.92
26,"Sat, Feb 11, 2017",michigan-state,66,77,67,80.46153846153847,77.88461538461539
27,"Sat, Feb 18, 2017",illinois,66,70,63,79.92592592592592,77.5925925925926
28,"Tue, Feb 21, 2017",indiana,96,90,69,80.5,78.03571428571429
29,"Sat, Feb 25, 2017",maryland 24,83,69,83,80.58620689655173,77.72413793103448
30,"Thu, Mar 2, 2017",wisconsin 22,59,57,85,79.86666666666666,77.03333333333333
31,"Sun, Mar 5, 2017",penn-state,90,79,96,80.19354838709677,77.09677419354838
G,Date,opponent,Tm,Opp,96,80.19354838709677,77.09677419354838
32,"Thu, Mar 9, 2017",indiana,73,95,74,79.96875,77.65625
G,Date,opponent,Tm,Opp,74,79.96875,77.65625
33,"Wed, Mar 15, 2017",south-dakota,87,75,86,80.18181818181819,77.57575757575758
34,"Sun, Mar 19, 2017",texas-christian,92,94,84,80.52941176470588,78.05882352941177
