G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",western-illinois,82,55,27,82.0,55.0
2,"Tue, Nov 15, 2016",nebraska-omaha,81,68,40,81.5,61.5
3,"Sun, Nov 20, 2016",hampton,89,67,62,84.0,63.333333333333336
4,"Tue, Nov 22, 2016",robert-morris,61,40,83,78.25,57.5
5,"Fri, Nov 25, 2016",boston-college,72,54,101,77.0,56.8
6,"Sat, Nov 26, 2016",maryland,68,69,100,75.5,58.833333333333336
7,"Wed, Nov 30, 2016",green-bay,80,61,119,76.14285714285714,59.142857142857146
8,"Sat, Dec 3, 2016",saint-louis,84,53,150,77.125,58.375
9,"Tue, Dec 6, 2016",prairie-view,74,55,169,76.77777777777777,58.0
10,"Sat, Dec 10, 2016",washington-state,70,56,183,76.1,57.8
11,"Sat, Dec 17, 2016",colorado-state,89,70,202,77.27272727272727,58.90909090909091
12,"Wed, Dec 21, 2016",gardner-webb,67,54,215,76.41666666666667,58.5
13,"Fri, Dec 30, 2016",texas,65,62,218,75.53846153846153,58.76923076923077
14,"Tue, Jan 3, 2017",kansas 3,88,90,216,76.42857142857143,61.0
15,"Sat, Jan 7, 2017",oklahoma,75,64,227,76.33333333333333,61.2
16,"Tue, Jan 10, 2017",texas-tech,65,66,226,75.625,61.5
17,"Sat, Jan 14, 2017",baylor 1,68,77,217,75.17647058823529,62.411764705882355
18,"Wed, Jan 18, 2017",oklahoma-state,96,88,225,76.33333333333333,63.833333333333336
19,"Sat, Jan 21, 2017",west-virginia 7,79,75,229,76.47368421052632,64.42105263157895
20,"Tue, Jan 24, 2017",iowa-state,65,70,224,75.9,64.7
21,"Sat, Jan 28, 2017",tennessee,58,70,212,75.04761904761905,64.95238095238095
22,"Wed, Feb 1, 2017",texas-christian,80,86,206,75.27272727272727,65.9090909090909
23,"Sat, Feb 4, 2017",baylor 2,56,54,208,74.43478260869566,65.3913043478261
24,"Mon, Feb 6, 2017",kansas 3,71,74,205,74.29166666666667,65.75
25,"Sat, Feb 11, 2017",west-virginia 13,66,85,186,73.96,66.52
26,"Wed, Feb 15, 2017",iowa-state,79,87,178,74.15384615384616,67.3076923076923
27,"Sat, Feb 18, 2017",texas,64,61,181,73.77777777777777,67.07407407407408
28,"Wed, Feb 22, 2017",oklahoma-state,68,80,169,73.57142857142857,67.53571428571429
29,"Sat, Feb 25, 2017",oklahoma,51,81,139,72.79310344827586,68.0
30,"Wed, Mar 1, 2017",texas-christian,75,74,140,72.86666666666666,68.2
31,"Sat, Mar 4, 2017",texas-tech,61,48,153,72.48387096774194,67.54838709677419
G,Date,opponent,Tm,Opp,153,72.48387096774194,67.54838709677419
32,"Thu, Mar 9, 2017",baylor 9,70,64,159,72.40625,67.4375
33,"Fri, Mar 10, 2017",west-virginia 11,50,51,158,71.72727272727273,66.93939393939394
G,Date,opponent,Tm,Opp,158,71.72727272727273,66.93939393939394
34,"Tue, Mar 14, 2017",wake-forest,95,88,165,72.41176470588235,67.55882352941177
35,"Fri, Mar 17, 2017",cincinnati 18,61,75,151,72.08571428571429,67.77142857142857
