G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",indiana 11,99,103,-4,99.0,103.0
2,"Tue, Nov 15, 2016",duke 1,77,75,-2,88.0,89.0
3,"Fri, Nov 18, 2016",siena,86,65,19,87.33333333333333,81.0
4,"Mon, Nov 21, 2016",alabama-birmingham,83,63,39,86.25,76.5
5,"Tue, Nov 22, 2016",georgia,65,54,50,82.0,72.0
6,"Fri, Nov 25, 2016",north-carolina-asheville,95,57,88,84.16666666666667,69.5
7,"Tue, Nov 29, 2016",long-beach-state,91,61,118,85.14285714285714,68.28571428571429
8,"Sat, Dec 3, 2016",stanford,89,74,133,85.625,69.0
9,"Tue, Dec 6, 2016",missouri-kansas-city,105,62,176,87.77777777777777,68.22222222222223
10,"Sat, Dec 10, 2016",nebraska,89,72,193,87.9,68.6
11,"Sat, Dec 17, 2016",davidson,89,71,211,88.0,68.81818181818181
12,"Thu, Dec 22, 2016",nevada-las-vegas,71,53,229,86.58333333333333,67.5
13,"Fri, Dec 30, 2016",texas-christian,86,80,235,86.53846153846153,68.46153846153847
14,"Tue, Jan 3, 2017",kansas-state,90,88,237,86.78571428571429,69.85714285714286
15,"Sat, Jan 7, 2017",texas-tech,85,68,254,86.66666666666667,69.73333333333333
16,"Tue, Jan 10, 2017",oklahoma,81,70,265,86.3125,69.75
17,"Sat, Jan 14, 2017",oklahoma-state,87,80,272,86.3529411764706,70.3529411764706
18,"Mon, Jan 16, 2017",iowa-state,76,72,276,85.77777777777777,70.44444444444444
19,"Sat, Jan 21, 2017",texas,79,67,288,85.42105263157895,70.26315789473684
20,"Tue, Jan 24, 2017",west-virginia 18,69,85,272,84.6,71.0
21,"Sat, Jan 28, 2017",kentucky 4,79,73,278,84.33333333333333,71.0952380952381
22,"Wed, Feb 1, 2017",baylor 2,73,68,283,83.81818181818181,70.95454545454545
23,"Sat, Feb 4, 2017",iowa-state,89,92,280,84.04347826086956,71.8695652173913
24,"Mon, Feb 6, 2017",kansas-state,74,71,283,83.625,71.83333333333333
25,"Sat, Feb 11, 2017",texas-tech,80,79,284,83.48,72.12
26,"Mon, Feb 13, 2017",west-virginia 9,84,80,288,83.5,72.42307692307692
27,"Sat, Feb 18, 2017",baylor 4,67,65,290,82.88888888888889,72.14814814814815
28,"Wed, Feb 22, 2017",texas-christian,87,68,309,83.03571428571429,72.0
29,"Sat, Feb 25, 2017",texas,77,67,319,82.82758620689656,71.82758620689656
30,"Mon, Feb 27, 2017",oklahoma,73,63,329,82.5,71.53333333333333
31,"Sat, Mar 4, 2017",oklahoma-state,90,85,334,82.74193548387096,71.96774193548387
G,Date,opponent,Tm,Opp,334,82.74193548387096,71.96774193548387
32,"Thu, Mar 9, 2017",texas-christian,82,85,331,82.71875,72.375
G,Date,opponent,Tm,Opp,331,82.71875,72.375
33,"Fri, Mar 17, 2017",california-davis,100,62,369,83.24242424242425,72.06060606060606
34,"Sun, Mar 19, 2017",michigan-state,90,70,389,83.44117647058823,72.0
35,"Thu, Mar 23, 2017",purdue 15,98,66,421,83.85714285714286,71.82857142857142
36,"Sat, Mar 25, 2017",oregon 9,60,74,407,83.19444444444444,71.88888888888889
