G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 12, 2016",wofford,91,69,22,91.0,69.0
2,"Tue, Nov 15, 2016",southern-mississippi,78,61,39,84.5,65.0
3,"Fri, Nov 18, 2016",north-florida,78,70,47,82.33333333333333,66.66666666666667
4,"Wed, Nov 23, 2016",wichita-state,47,82,12,73.5,70.5
5,"Thu, Nov 24, 2016",old-dominion,66,60,18,72.0,68.4
6,"Fri, Nov 25, 2016",virginia-commonwealth,74,85,7,72.33333333333333,71.16666666666667
7,"Tue, Nov 29, 2016",houston,84,65,26,74.0,70.28571428571429
8,"Tue, Dec 13, 2016",north-carolina-central,70,66,30,73.5,69.75
9,"Sat, Dec 17, 2016",texas-southern,88,80,38,75.11111111111111,70.88888888888889
10,"Mon, Dec 19, 2016",college-of-charleston,75,65,48,75.1,70.3
11,"Thu, Dec 22, 2016",wake-forest,76,110,14,75.18181818181819,73.9090909090909
12,"Thu, Dec 29, 2016",vanderbilt,89,96,7,76.33333333333333,75.75
13,"Wed, Jan 4, 2017",missouri,88,77,18,77.23076923076923,75.84615384615384
14,"Sat, Jan 7, 2017",mississippi-state,78,95,1,77.28571428571429,77.21428571428571
15,"Wed, Jan 11, 2017",texas-am,62,92,-29,76.26666666666667,78.2
16,"Sat, Jan 14, 2017",alabama,66,81,-44,75.625,78.375
17,"Wed, Jan 18, 2017",auburn,74,78,-48,75.52941176470588,78.3529411764706
18,"Sat, Jan 21, 2017",arkansas,86,99,-61,76.11111111111111,79.5
19,"Wed, Jan 25, 2017",florida 25,71,106,-96,75.84210526315789,80.89473684210526
20,"Sat, Jan 28, 2017",texas-tech,64,77,-109,75.25,80.7
21,"Wed, Feb 1, 2017",south-carolina 19,63,88,-134,74.66666666666667,81.04761904761905
22,"Sat, Feb 4, 2017",texas-am,73,85,-146,74.5909090909091,81.22727272727273
23,"Tue, Feb 7, 2017",kentucky 15,85,92,-153,75.04347826086956,81.69565217391305
24,"Sat, Feb 11, 2017",arkansas,70,78,-161,74.83333333333333,81.54166666666667
25,"Tue, Feb 14, 2017",mississippi,76,96,-181,74.88,82.12
26,"Sat, Feb 18, 2017",alabama,72,90,-199,74.76923076923077,82.42307692307692
27,"Tue, Feb 21, 2017",auburn,75,98,-222,74.77777777777777,83.0
28,"Sat, Feb 25, 2017",georgia,80,82,-224,74.96428571428571,82.96428571428571
29,"Wed, Mar 1, 2017",tennessee,92,82,-214,75.55172413793103,82.93103448275862
30,"Sat, Mar 4, 2017",mississippi-state,76,88,-226,75.56666666666666,83.1
G,Date,opponent,Tm,Opp,-226,75.56666666666666,83.1
31,"Wed, Mar 8, 2017",mississippi-state,52,79,-253,74.80645161290323,82.96774193548387
