G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",evansville,78,47,31,78.0,47.0
2,"Mon, Nov 14, 2016",william-mary,91,58,64,84.5,52.5
3,"Thu, Nov 17, 2016",long-beach-state,88,56,96,85.66666666666667,53.666666666666664
4,"Wed, Nov 23, 2016",old-dominion,68,62,102,81.25,55.75
5,"Thu, Nov 24, 2016",wichita-state,62,52,112,77.4,55.0
6,"Fri, Nov 25, 2016",baylor 20,63,66,109,75.0,56.833333333333336
7,"Wed, Nov 30, 2016",purdue 15,71,64,116,74.42857142857143,57.857142857142854
8,"Sat, Dec 3, 2016",grand-canyon,79,70,125,75.0,59.375
9,"Wed, Dec 7, 2016",southern-illinois,74,51,148,74.88888888888889,58.44444444444444
10,"Sat, Dec 10, 2016",texas-southern,102,71,179,77.6,59.7
11,"Sat, Dec 17, 2016",eastern-kentucky,87,56,210,78.45454545454545,59.36363636363637
12,"Wed, Dec 21, 2016",kentucky 6,73,70,213,78.0,60.25
13,"Wed, Dec 28, 2016",virginia 12,53,61,205,76.07692307692308,60.30769230769231
14,"Sat, Dec 31, 2016",indiana 16,77,62,220,76.14285714285714,60.42857142857143
15,"Wed, Jan 4, 2017",notre-dame 23,70,77,213,75.73333333333333,61.53333333333333
16,"Sat, Jan 7, 2017",georgia-tech,65,50,228,75.0625,60.8125
17,"Wed, Jan 11, 2017",pittsburgh,85,80,233,75.6470588235294,61.94117647058823
18,"Sat, Jan 14, 2017",duke 7,78,69,242,75.77777777777777,62.333333333333336
19,"Thu, Jan 19, 2017",clemson,92,60,274,76.63157894736842,62.21052631578947
20,"Sat, Jan 21, 2017",florida-state 10,68,73,269,76.2,62.75
21,"Tue, Jan 24, 2017",pittsburgh,106,51,324,77.61904761904762,62.19047619047619
22,"Sun, Jan 29, 2017",north-carolina-state,85,60,349,77.95454545454545,62.09090909090909
23,"Sat, Feb 4, 2017",boston-college,90,67,372,78.47826086956522,62.30434782608695
24,"Mon, Feb 6, 2017",virginia 12,55,71,356,77.5,62.666666666666664
25,"Sat, Feb 11, 2017",miami-fl,71,66,361,77.24,62.8
26,"Mon, Feb 13, 2017",syracuse,76,72,365,77.1923076923077,63.15384615384615
27,"Sat, Feb 18, 2017",virginia-tech,94,90,369,77.81481481481481,64.14814814814815
28,"Wed, Feb 22, 2017",north-carolina 8,63,74,358,77.28571428571429,64.5
29,"Sun, Feb 26, 2017",syracuse,88,68,378,77.65517241379311,64.62068965517241
30,"Wed, Mar 1, 2017",wake-forest,81,88,371,77.76666666666667,65.4
31,"Sat, Mar 4, 2017",notre-dame 19,71,64,378,77.54838709677419,65.35483870967742
G,Date,opponent,Tm,Opp,378,77.54838709677419,65.35483870967742
32,"Thu, Mar 9, 2017",duke 14,77,81,374,77.53125,65.84375
G,Date,opponent,Tm,Opp,374,77.53125,65.84375
33,"Fri, Mar 17, 2017",jacksonville-state,78,63,389,77.54545454545455,65.75757575757575
34,"Sun, Mar 19, 2017",michigan 23,69,73,385,77.29411764705883,65.97058823529412
