G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",american,62,56,6,62.0,56.0
2,"Tue, Nov 15, 2016",georgetown,76,75,7,69.0,65.5
3,"Thu, Nov 17, 2016",st-marys-md,93,45,55,77.0,58.666666666666664
4,"Sun, Nov 20, 2016",towson,71,66,60,75.5,60.5
5,"Tue, Nov 22, 2016",stony-brook,77,63,74,75.8,61.0
6,"Fri, Nov 25, 2016",richmond,88,82,80,77.83333333333333,64.5
7,"Sat, Nov 26, 2016",kansas-state,69,68,81,76.57142857142857,65.0
8,"Tue, Nov 29, 2016",pittsburgh,59,73,67,74.375,66.0
9,"Sat, Dec 3, 2016",oklahoma-state,71,70,68,74.0,66.44444444444444
10,"Wed, Dec 7, 2016",howard,79,56,91,74.5,65.4
11,"Sat, Dec 10, 2016",saint-peters,66,56,101,73.72727272727273,64.54545454545455
12,"Mon, Dec 12, 2016",jacksonville-state,92,66,127,75.25,64.66666666666667
13,"Tue, Dec 20, 2016",charlotte,88,72,143,76.23076923076923,65.23076923076923
14,"Tue, Dec 27, 2016",illinois,84,59,168,76.78571428571429,64.78571428571429
15,"Sun, Jan 1, 2017",nebraska,65,67,166,76.0,64.93333333333334
16,"Sat, Jan 7, 2017",michigan,77,70,173,76.0625,65.25
17,"Tue, Jan 10, 2017",indiana,75,72,176,76.0,65.6470588235294
18,"Sat, Jan 14, 2017",illinois,62,56,182,75.22222222222223,65.11111111111111
19,"Thu, Jan 19, 2017",iowa,84,76,190,75.6842105263158,65.6842105263158
20,"Tue, Jan 24, 2017",rutgers,67,55,202,75.25,65.15
21,"Sat, Jan 28, 2017",minnesota,85,78,209,75.71428571428571,65.76190476190476
22,"Tue, Jan 31, 2017",ohio-state,77,71,215,75.77272727272727,66.0
23,"Sat, Feb 4, 2017",purdue 23,72,73,214,75.6086956521739,66.30434782608695
24,"Tue, Feb 7, 2017",penn-state,64,70,208,75.125,66.45833333333333
25,"Sat, Feb 11, 2017",ohio-state,86,77,217,75.56,66.88
26,"Wed, Feb 15, 2017",northwestern,74,64,227,75.5,66.76923076923077
27,"Sun, Feb 19, 2017",wisconsin 11,60,71,216,74.92592592592592,66.92592592592592
28,"Wed, Feb 22, 2017",minnesota,75,89,202,74.92857142857143,67.71428571428571
29,"Sat, Feb 25, 2017",iowa,69,83,188,74.72413793103448,68.24137931034483
30,"Tue, Feb 28, 2017",rutgers,79,59,208,74.86666666666666,67.93333333333334
31,"Sat, Mar 4, 2017",michigan-state,63,60,211,74.48387096774194,67.6774193548387
G,Date,opponent,Tm,Opp,211,74.48387096774194,67.6774193548387
32,"Fri, Mar 10, 2017",northwestern,64,72,203,74.15625,67.8125
G,Date,opponent,Tm,Opp,203,74.15625,67.8125
33,"Thu, Mar 16, 2017",xavier,65,76,192,73.87878787878788,68.06060606060606
