G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",norfolk-state,78,74,4,78.0,74.0
2,"Thu, Nov 17, 2016",central-florida,61,86,-21,69.5,80.0
3,"Fri, Nov 18, 2016",boise-state,80,68,-9,73.0,76.0
4,"Sun, Nov 20, 2016",texas-el-paso,61,54,-2,70.0,70.5
5,"Fri, Nov 25, 2016",lehigh,73,87,-16,70.6,73.8
6,"Mon, Nov 28, 2016",northwestern-state,65,59,-10,69.66666666666667,71.33333333333333
7,"Thu, Dec 1, 2016",oregon-state,74,57,7,70.28571428571429,69.28571428571429
8,"Sun, Dec 4, 2016",georgia-state,82,60,29,71.75,68.125
9,"Wed, Dec 14, 2016",east-tennessee-state,65,67,27,71.0,68.0
10,"Mon, Dec 19, 2016",southern-mississippi,86,44,69,72.5,65.6
11,"Thu, Dec 22, 2016",morehead-state,85,76,78,73.63636363636364,66.54545454545455
12,"Thu, Dec 29, 2016",missouri-kansas-city,77,54,101,73.91666666666667,65.5
13,"Tue, Jan 3, 2017",alabama,58,68,91,72.6923076923077,65.6923076923077
14,"Sat, Jan 7, 2017",louisiana-state,95,78,108,74.28571428571429,66.57142857142857
15,"Tue, Jan 10, 2017",arkansas,84,78,114,74.93333333333334,67.33333333333333
16,"Sat, Jan 14, 2017",texas-am,67,59,122,74.4375,66.8125
17,"Tue, Jan 17, 2017",kentucky 5,81,88,115,74.82352941176471,68.05882352941177
18,"Sat, Jan 21, 2017",tennessee,74,91,98,74.77777777777777,69.33333333333333
19,"Wed, Jan 25, 2017",missouri,89,74,113,75.52631578947368,69.57894736842105
20,"Sat, Jan 28, 2017",alabama,62,71,104,74.85,69.65
21,"Tue, Jan 31, 2017",mississippi,61,88,77,74.19047619047619,70.52380952380952
22,"Sat, Feb 4, 2017",tennessee,64,59,82,73.72727272727273,70.0
23,"Tue, Feb 7, 2017",auburn,92,98,76,74.52173913043478,71.21739130434783
24,"Sat, Feb 11, 2017",south-carolina 19,73,77,72,74.45833333333333,71.45833333333333
25,"Tue, Feb 14, 2017",georgia,72,79,65,74.36,71.76
26,"Sat, Feb 18, 2017",florida 15,52,57,60,73.5,71.1923076923077
27,"Tue, Feb 21, 2017",mississippi,82,87,55,73.81481481481481,71.77777777777777
28,"Sat, Feb 25, 2017",vanderbilt,48,77,26,72.89285714285714,71.96428571428571
29,"Tue, Feb 28, 2017",south-carolina,57,63,20,72.34482758620689,71.65517241379311
30,"Sat, Mar 4, 2017",louisiana-state,88,76,32,72.86666666666666,71.8
G,Date,opponent,Tm,Opp,32,72.86666666666666,71.8
31,"Wed, Mar 8, 2017",louisiana-state,79,52,59,73.06451612903226,71.16129032258064
32,"Thu, Mar 9, 2017",alabama,55,75,39,72.5,71.28125
