G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sun, Nov 13, 2016",alabama-am,99,44,55,99.0,44.0
2,"Thu, Nov 17, 2016",xavier 11,82,83,54,90.5,63.5
3,"Fri, Nov 18, 2016",davidson,55,70,39,78.66666666666667,65.66666666666667
4,"Sun, Nov 20, 2016",tulane,67,62,44,75.75,64.75
5,"Sat, Nov 26, 2016",northwestern-state,84,60,68,77.4,63.8
6,"Mon, Nov 28, 2016",north-carolina-central,52,62,58,73.16666666666667,63.5
7,"Sat, Dec 3, 2016",western-kentucky,59,56,61,71.14285714285714,62.42857142857143
8,"Tue, Dec 6, 2016",miami-oh,81,55,87,72.375,61.5
9,"Sat, Dec 10, 2016",arizona 20,60,79,68,71.0,63.44444444444444
10,"Sat, Dec 17, 2016",eastern-illinois,64,67,65,70.3,63.8
11,"Wed, Dec 21, 2016",illinois,66,75,56,69.9090909090909,64.81818181818181
12,"Thu, Dec 29, 2016",lipscomb,76,81,51,70.41666666666667,66.16666666666667
13,"Wed, Jan 4, 2017",louisiana-state,77,88,40,70.92307692307692,67.84615384615384
14,"Sat, Jan 7, 2017",georgia,66,71,35,70.57142857142857,68.07142857142857
15,"Tue, Jan 10, 2017",auburn,72,77,30,70.66666666666667,68.66666666666667
16,"Sat, Jan 14, 2017",arkansas,73,92,11,70.8125,70.125
17,"Wed, Jan 18, 2017",alabama,56,68,-1,69.94117647058823,70.0
18,"Sat, Jan 21, 2017",mississippi,71,75,-5,70.0,70.27777777777777
19,"Wed, Jan 25, 2017",mississippi-state,74,89,-20,70.21052631578948,71.26315789473684
20,"Sat, Jan 28, 2017",south-carolina 23,53,63,-30,69.35,70.85
21,"Thu, Feb 2, 2017",florida 24,54,93,-69,68.61904761904762,71.9047619047619
22,"Sat, Feb 4, 2017",arkansas,83,78,-64,69.27272727272727,72.18181818181819
23,"Wed, Feb 8, 2017",texas-am,73,76,-67,69.43478260869566,72.34782608695652
24,"Sat, Feb 11, 2017",vanderbilt,72,52,-47,69.54166666666667,71.5
25,"Wed, Feb 15, 2017",alabama,54,57,-50,68.92,70.92
26,"Sat, Feb 18, 2017",tennessee,70,90,-70,68.96153846153847,71.65384615384616
27,"Tue, Feb 21, 2017",kentucky 11,62,72,-80,68.70370370370371,71.66666666666667
28,"Sat, Feb 25, 2017",mississippi,77,80,-83,69.0,71.96428571428571
29,"Tue, Feb 28, 2017",texas-am,43,60,-100,68.10344827586206,71.55172413793103
30,"Sat, Mar 4, 2017",auburn,78,89,-111,68.43333333333334,72.13333333333334
G,Date,opponent,Tm,Opp,-111,68.43333333333334,72.13333333333334
31,"Wed, Mar 8, 2017",auburn,86,83,-108,69.0,72.48387096774194
32,"Thu, Mar 9, 2017",mississippi,74,86,-120,69.15625,72.90625
