G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",tulane,95,75,20,95.0,75.0
2,"Sun, Nov 13, 2016",chattanooga,97,57,60,96.0,66.0
3,"Tue, Nov 15, 2016",long-beach-state,93,67,86,95.0,66.33333333333333
4,"Fri, Nov 18, 2016",hawaii,83,68,101,92.0,66.75
5,"Mon, Nov 21, 2016",chaminade,104,61,144,94.4,65.6
6,"Tue, Nov 22, 2016",oklahoma-state,107,75,176,96.5,67.16666666666667
7,"Wed, Nov 23, 2016",wisconsin 16,71,56,191,92.85714285714286,65.57142857142857
8,"Wed, Nov 30, 2016",indiana 13,67,76,182,89.625,66.875
9,"Sun, Dec 4, 2016",radford,95,50,227,90.22222222222223,65.0
10,"Wed, Dec 7, 2016",davidson,83,74,236,89.5,65.9
11,"Sun, Dec 11, 2016",tennessee,73,71,238,88.0,66.36363636363636
12,"Sat, Dec 17, 2016",kentucky 6,100,103,235,89.0,69.41666666666667
13,"Wed, Dec 21, 2016",northern-iowa,85,42,278,88.6923076923077,67.3076923076923
14,"Wed, Dec 28, 2016",monmouth,102,74,306,89.64285714285714,67.78571428571429
15,"Sat, Dec 31, 2016",georgia-tech,63,75,294,87.86666666666666,68.26666666666667
16,"Tue, Jan 3, 2017",clemson,89,86,297,87.9375,69.375
17,"Sun, Jan 8, 2017",north-carolina-state,107,56,348,89.05882352941177,68.58823529411765
18,"Wed, Jan 11, 2017",wake-forest,93,87,354,89.27777777777777,69.61111111111111
19,"Sat, Jan 14, 2017",florida-state 9,96,83,367,89.63157894736842,70.3157894736842
20,"Mon, Jan 16, 2017",syracuse,85,68,384,89.4,70.2
21,"Sat, Jan 21, 2017",boston-college,90,82,392,89.42857142857143,70.76190476190476
22,"Thu, Jan 26, 2017",virginia-tech,91,72,411,89.5,70.81818181818181
23,"Sat, Jan 28, 2017",miami-fl,62,77,396,88.30434782608695,71.08695652173913
24,"Tue, Jan 31, 2017",pittsburgh,80,78,398,87.95833333333333,71.375
25,"Sun, Feb 5, 2017",notre-dame 20,83,76,405,87.76,71.56
26,"Thu, Feb 9, 2017",duke 18,78,86,397,87.38461538461539,72.11538461538461
27,"Wed, Feb 15, 2017",north-carolina-state,97,73,421,87.74074074074075,72.14814814814815
28,"Sat, Feb 18, 2017",virginia 14,65,41,445,86.92857142857143,71.03571428571429
29,"Wed, Feb 22, 2017",louisville 7,74,63,456,86.48275862068965,70.75862068965517
30,"Sat, Feb 25, 2017",pittsburgh,85,67,474,86.43333333333334,70.63333333333334
31,"Mon, Feb 27, 2017",virginia 23,43,53,464,85.03225806451613,70.06451612903226
32,"Sat, Mar 4, 2017",duke 17,90,83,471,85.1875,70.46875
G,Date,opponent,Tm,Opp,471,85.1875,70.46875
33,"Thu, Mar 9, 2017",miami-fl,78,53,496,84.96969696969697,69.93939393939394
34,"Fri, Mar 10, 2017",duke 14,83,93,486,84.91176470588235,70.61764705882354
G,Date,opponent,Tm,Opp,486,84.91176470588235,70.61764705882354
35,"Fri, Mar 17, 2017",texas-southern,103,64,525,85.42857142857143,70.42857142857143
36,"Sun, Mar 19, 2017",arkansas,72,65,532,85.05555555555556,70.27777777777777
37,"Fri, Mar 24, 2017",butler 21,92,80,544,85.24324324324324,70.54054054054055
38,"Sun, Mar 26, 2017",kentucky 5,75,73,546,84.97368421052632,70.60526315789474
39,"Sat, Apr 1, 2017",oregon 9,77,76,547,84.76923076923077,70.74358974358974
40,"Mon, Apr 3, 2017",gonzaga 2,71,65,553,84.425,70.6
