G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",mississippi-valley-state,94,63,31,94.0,63.0
2,"Mon, Nov 14, 2016",eastern-washington,86,72,45,90.0,67.5
3,"Wed, Nov 16, 2016",butler,68,70,43,82.66666666666667,68.33333333333333
4,"Mon, Nov 21, 2016",texas 22,77,58,62,81.25,65.75
5,"Tue, Nov 22, 2016",notre-dame,66,70,58,78.2,66.6
6,"Fri, Nov 25, 2016",bryant,86,66,78,79.5,66.5
7,"Mon, Nov 28, 2016",wake-forest,65,58,85,77.42857142857143,65.28571428571429
8,"Sat, Dec 3, 2016",depaul,80,64,101,77.75,65.125
9,"Sun, Dec 11, 2016",new-orleans,83,49,135,78.33333333333333,63.333333333333336
10,"Wed, Dec 14, 2016",chicago-state,68,64,139,77.3,63.4
11,"Sat, Dec 17, 2016",dayton,67,64,142,76.36363636363636,63.45454545454545
12,"Tue, Dec 20, 2016",iupui,87,65,164,77.25,63.583333333333336
13,"Thu, Dec 22, 2016",houston-baptist,72,63,173,76.84615384615384,63.53846153846154
14,"Tue, Dec 27, 2016",penn-state,87,77,183,77.57142857142857,64.5
15,"Fri, Dec 30, 2016",michigan-state,52,61,174,75.86666666666666,64.26666666666667
16,"Thu, Jan 5, 2017",minnesota,66,70,170,75.25,64.625
17,"Sun, Jan 8, 2017",nebraska,74,66,178,75.17647058823529,64.70588235294117
18,"Thu, Jan 12, 2017",rutgers,69,60,187,74.83333333333333,64.44444444444444
19,"Sun, Jan 15, 2017",iowa,89,54,222,75.57894736842105,63.89473684210526
20,"Sun, Jan 22, 2017",ohio-state,74,72,224,75.5,64.3
21,"Thu, Jan 26, 2017",nebraska,73,61,236,75.38095238095238,64.14285714285714
22,"Sun, Jan 29, 2017",indiana,68,55,249,75.04545454545455,63.72727272727273
23,"Wed, Feb 1, 2017",purdue 23,59,80,228,74.34782608695652,64.43478260869566
24,"Tue, Feb 7, 2017",illinois,61,68,221,73.79166666666667,64.58333333333333
25,"Sun, Feb 12, 2017",wisconsin 7,66,59,228,73.48,64.36
26,"Wed, Feb 15, 2017",maryland 23,64,74,218,73.11538461538461,64.73076923076923
27,"Sat, Feb 18, 2017",rutgers,69,65,222,72.96296296296296,64.74074074074075
28,"Tue, Feb 21, 2017",illinois,50,66,206,72.14285714285714,64.78571428571429
29,"Sat, Feb 25, 2017",indiana,62,63,205,71.79310344827586,64.72413793103448
30,"Wed, Mar 1, 2017",michigan,67,65,207,71.63333333333334,64.73333333333333
31,"Sun, Mar 5, 2017",purdue 16,65,69,203,71.41935483870968,64.87096774193549
G,Date,opponent,Tm,Opp,203,71.41935483870968,64.87096774193549
32,"Thu, Mar 9, 2017",rutgers,83,61,225,71.78125,64.75
33,"Fri, Mar 10, 2017",maryland 25,72,64,233,71.78787878787878,64.72727272727273
34,"Sat, Mar 11, 2017",wisconsin 24,48,76,205,71.08823529411765,65.05882352941177
G,Date,opponent,Tm,Opp,205,71.08823529411765,65.05882352941177
35,"Thu, Mar 16, 2017",vanderbilt,68,66,207,71.0,65.08571428571429
36,"Sat, Mar 18, 2017",gonzaga 2,73,79,201,71.05555555555556,65.47222222222223
