G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",campbell,102,65,37,102.0,65.0
2,"Mon, Nov 14, 2016",central-arkansas,102,90,49,102.0,77.5
3,"Wed, Nov 16, 2016",new-orleans,117,72,94,107.0,75.66666666666667
4,"Mon, Nov 21, 2016",connecticut,98,90,102,104.75,79.25
5,"Tue, Nov 22, 2016",north-carolina 4,75,107,70,98.8,84.8
6,"Wed, Nov 23, 2016",georgetown,97,70,97,98.5,82.33333333333333
7,"Wed, Nov 30, 2016",rogers-state,101,85,113,98.85714285714286,82.71428571428571
8,"Sat, Dec 3, 2016",maryland,70,71,112,95.25,81.25
9,"Sat, Dec 10, 2016",tulsa,71,67,116,92.55555555555556,79.66666666666667
10,"Wed, Dec 14, 2016",arkansas-pine-bluff,102,66,152,93.5,78.3
11,"Sat, Dec 17, 2016",wichita-state,93,76,169,93.45454545454545,78.0909090909091
12,"Thu, Dec 22, 2016",texas-am-corpus-christi,92,70,191,93.33333333333333,77.41666666666667
13,"Fri, Dec 30, 2016",west-virginia 11,75,92,174,91.92307692307692,78.53846153846153
14,"Wed, Jan 4, 2017",texas,79,82,171,91.0,78.78571428571429
15,"Sat, Jan 7, 2017",baylor 2,57,61,167,88.73333333333333,77.6
16,"Wed, Jan 11, 2017",iowa-state,86,96,157,88.5625,78.75
17,"Sat, Jan 14, 2017",kansas 2,80,87,150,88.05882352941177,79.23529411764706
18,"Wed, Jan 18, 2017",kansas-state,88,96,142,88.05555555555556,80.16666666666667
19,"Sat, Jan 21, 2017",texas-tech,83,64,161,87.78947368421052,79.3157894736842
20,"Mon, Jan 23, 2017",texas-christian,89,76,174,87.85,79.15
21,"Sat, Jan 28, 2017",arkansas,99,71,202,88.38095238095238,78.76190476190476
22,"Mon, Jan 30, 2017",oklahoma,68,66,204,87.45454545454545,78.18181818181819
23,"Sat, Feb 4, 2017",west-virginia 7,82,75,211,87.21739130434783,78.04347826086956
24,"Wed, Feb 8, 2017",baylor 6,69,72,208,86.45833333333333,77.79166666666667
25,"Sat, Feb 11, 2017",texas,84,71,221,86.36,77.52
26,"Wed, Feb 15, 2017",texas-christian,71,68,224,85.76923076923077,77.15384615384616
27,"Sat, Feb 18, 2017",oklahoma,96,92,228,86.14814814814815,77.70370370370371
28,"Wed, Feb 22, 2017",kansas-state,80,68,240,85.92857142857143,77.35714285714286
29,"Sat, Feb 25, 2017",texas-tech,80,63,257,85.72413793103448,76.86206896551724
30,"Tue, Feb 28, 2017",iowa-state 24,83,86,254,85.63333333333334,77.16666666666667
31,"Sat, Mar 4, 2017",kansas 1,85,90,249,85.61290322580645,77.58064516129032
G,Date,opponent,Tm,Opp,249,85.61290322580645,77.58064516129032
32,"Thu, Mar 9, 2017",iowa-state 23,83,92,240,85.53125,78.03125
G,Date,opponent,Tm,Opp,240,85.53125,78.03125
33,"Fri, Mar 17, 2017",michigan 23,91,92,239,85.6969696969697,78.45454545454545
