G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",albany-ny,81,87,-6,81.0,87.0
2,"Sun, Nov 13, 2016",duquesne,82,74,2,81.5,80.5
3,"Tue, Nov 15, 2016",grand-canyon,85,76,11,82.66666666666667,79.0
4,"Sat, Nov 19, 2016",duke 1,68,78,1,79.0,78.75
5,"Sun, Nov 20, 2016",cincinnati 24,50,71,-20,73.2,77.2
6,"Wed, Nov 23, 2016",colgate,72,59,-7,73.0,74.16666666666667
7,"Sat, Nov 26, 2016",george-washington,74,68,-1,73.14285714285714,73.28571428571429
8,"Tue, Nov 29, 2016",georgia-tech,67,60,6,72.375,71.625
9,"Sat, Dec 3, 2016",wright-state,72,50,28,72.33333333333333,69.22222222222223
10,"Wed, Dec 7, 2016",george-mason,66,85,9,71.7,70.8
11,"Sat, Dec 10, 2016",pittsburgh,73,81,1,71.81818181818181,71.72727272727273
12,"Sun, Dec 18, 2016",st-johns-ny,92,76,17,73.5,72.08333333333333
13,"Wed, Dec 21, 2016",morgan-state,96,55,58,75.23076923076923,70.76923076923077
14,"Tue, Dec 27, 2016",northwestern,77,87,48,75.35714285714286,71.92857142857143
15,"Sun, Jan 1, 2017",rutgers,60,47,61,74.33333333333333,70.26666666666667
16,"Wed, Jan 4, 2017",michigan,69,72,58,74.0,70.375
17,"Sat, Jan 7, 2017",michigan-state,72,63,67,73.88235294117646,69.94117647058823
18,"Sat, Jan 14, 2017",minnesota 24,52,50,69,72.66666666666667,68.83333333333333
19,"Wed, Jan 18, 2017",indiana,75,78,66,72.78947368421052,69.3157894736842
20,"Sat, Jan 21, 2017",purdue 21,52,77,41,71.75,69.7
21,"Tue, Jan 24, 2017",wisconsin 15,55,82,14,70.95238095238095,70.28571428571429
22,"Sat, Jan 28, 2017",illinois,71,67,18,70.95454545454545,70.13636363636364
23,"Wed, Feb 1, 2017",indiana,102,110,10,72.30434782608695,71.8695652173913
24,"Sat, Feb 4, 2017",rutgers,68,70,8,72.125,71.79166666666667
25,"Tue, Feb 7, 2017",maryland 21,70,64,14,72.04,71.48
26,"Sat, Feb 11, 2017",illinois,83,70,27,72.46153846153847,71.42307692307692
27,"Tue, Feb 14, 2017",nebraska,66,82,11,72.22222222222223,71.81481481481481
28,"Tue, Feb 21, 2017",purdue 14,70,74,7,72.14285714285714,71.89285714285714
29,"Sat, Feb 25, 2017",minnesota,71,81,-3,72.10344827586206,72.20689655172414
30,"Tue, Feb 28, 2017",ohio-state,70,71,-4,72.03333333333333,72.16666666666667
31,"Sun, Mar 5, 2017",iowa,79,90,-15,72.25806451612904,72.74193548387096
G,Date,opponent,Tm,Opp,-15,72.25806451612904,72.74193548387096
32,"Wed, Mar 8, 2017",nebraska,76,67,-6,72.375,72.5625
33,"Thu, Mar 9, 2017",michigan-state,51,78,-33,71.72727272727273,72.72727272727273
