G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",mcneese-state,109,65,44,109.0,65.0
2,"Mon, Nov 14, 2016",villanova 3,76,79,41,92.5,72.0
3,"Fri, Nov 18, 2016",georgia-state,64,56,49,83.0,66.66666666666667
4,"Tue, Nov 22, 2016",utah-state,85,64,70,83.5,66.0
5,"Wed, Nov 23, 2016",auburn,96,71,95,86.0,67.0
6,"Sat, Nov 26, 2016",njit,79,68,106,84.83333333333333,67.16666666666667
7,"Wed, Nov 30, 2016",louisville 14,64,71,99,81.85714285714286,67.71428571428571
8,"Sat, Dec 3, 2016",morehead-state,90,56,133,82.875,66.25
9,"Tue, Dec 6, 2016",arizona-state,97,64,166,84.44444444444444,66.0
10,"Sat, Dec 10, 2016",cleveland-state,77,53,190,83.7,64.7
11,"Sat, Dec 17, 2016",notre-dame 21,86,81,195,83.9090909090909,66.18181818181819
12,"Mon, Dec 19, 2016",western-illinois,82,50,227,83.75,64.83333333333333
13,"Wed, Dec 21, 2016",norfolk-state,91,45,273,84.3076923076923,63.30769230769231
14,"Wed, Dec 28, 2016",iowa,89,67,295,84.64285714285714,63.57142857142857
15,"Sun, Jan 1, 2017",minnesota,82,91,286,84.46666666666667,65.4
16,"Thu, Jan 5, 2017",ohio-state,76,75,287,83.9375,66.0
17,"Sun, Jan 8, 2017",wisconsin 13,66,55,298,82.88235294117646,65.3529411764706
18,"Thu, Jan 12, 2017",iowa,78,83,293,82.61111111111111,66.33333333333333
19,"Tue, Jan 17, 2017",illinois,91,68,316,83.05263157894737,66.42105263157895
20,"Sat, Jan 21, 2017",penn-state,77,52,341,82.75,65.7
21,"Tue, Jan 24, 2017",michigan-state,84,73,352,82.80952380952381,66.04761904761905
22,"Sun, Jan 29, 2017",nebraska,80,83,349,82.68181818181819,66.81818181818181
23,"Wed, Feb 1, 2017",northwestern 25,80,59,370,82.56521739130434,66.47826086956522
24,"Sat, Feb 4, 2017",maryland 17,73,72,371,82.16666666666667,66.70833333333333
25,"Thu, Feb 9, 2017",indiana,69,64,376,81.64,66.6
26,"Tue, Feb 14, 2017",rutgers,74,55,395,81.34615384615384,66.15384615384616
27,"Sat, Feb 18, 2017",michigan-state,80,63,412,81.29629629629629,66.03703703703704
28,"Tue, Feb 21, 2017",penn-state,74,70,416,81.03571428571429,66.17857142857143
29,"Sat, Feb 25, 2017",michigan,70,82,404,80.65517241379311,66.72413793103448
30,"Tue, Feb 28, 2017",indiana,86,75,415,80.83333333333333,67.0
31,"Sun, Mar 5, 2017",northwestern,69,65,419,80.45161290322581,66.93548387096774
G,Date,opponent,Tm,Opp,419,80.45161290322581,66.93548387096774
32,"Fri, Mar 10, 2017",michigan,70,74,415,80.125,67.15625
G,Date,opponent,Tm,Opp,415,80.125,67.15625
33,"Thu, Mar 16, 2017",vermont,80,70,425,80.12121212121212,67.24242424242425
34,"Sat, Mar 18, 2017",iowa-state 16,80,76,429,80.11764705882354,67.5
35,"Thu, Mar 23, 2017",kansas 3,66,98,397,79.71428571428571,68.37142857142857
