G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",molloy,86,57,29,86.0,57.0
2,"Sun, Nov 13, 2016",drexel,87,66,50,86.5,61.5
3,"Thu, Nov 17, 2016",depaul,66,59,57,79.66666666666667,60.666666666666664
4,"Sun, Nov 20, 2016",niagara,78,65,70,79.25,61.75
5,"Wed, Nov 23, 2016",north-texas,66,53,83,76.6,60.0
6,"Fri, Nov 25, 2016",hartford,77,75,85,76.66666666666667,62.5
7,"Wed, Nov 30, 2016",miami-fl,61,73,73,74.42857142857143,64.0
8,"Sat, Dec 3, 2016",morgan-state,72,58,87,74.125,63.25
9,"Tue, Dec 6, 2016",central-connecticut-state,79,37,129,74.66666666666667,60.333333333333336
10,"Sat, Dec 10, 2016",stony-brook,71,66,134,74.3,60.9
11,"Wed, Dec 14, 2016",fairleigh-dickinson,82,69,147,75.0,61.63636363636363
12,"Sun, Dec 18, 2016",fordham,68,53,162,74.41666666666667,60.916666666666664
13,"Fri, Dec 23, 2016",seton-hall,61,72,151,73.38461538461539,61.76923076923077
14,"Tue, Dec 27, 2016",wisconsin 14,52,72,131,71.85714285714286,62.5
15,"Sun, Jan 1, 2017",penn-state,47,60,118,70.2,62.333333333333336
16,"Wed, Jan 4, 2017",michigan-state,65,93,90,69.875,64.25
17,"Sun, Jan 8, 2017",iowa,62,68,84,69.41176470588235,64.47058823529412
18,"Thu, Jan 12, 2017",northwestern,60,69,75,68.88888888888889,64.72222222222223
19,"Sun, Jan 15, 2017",indiana,57,76,56,68.26315789473684,65.3157894736842
20,"Sat, Jan 21, 2017",nebraska,65,64,57,68.1,65.25
21,"Tue, Jan 24, 2017",maryland 22,55,67,45,67.47619047619048,65.33333333333333
22,"Sat, Jan 28, 2017",wisconsin 15,54,61,38,66.86363636363636,65.13636363636364
23,"Tue, Jan 31, 2017",iowa,63,83,18,66.69565217391305,65.91304347826087
24,"Sat, Feb 4, 2017",penn-state,70,68,20,66.83333333333333,66.0
25,"Wed, Feb 8, 2017",ohio-state,64,70,14,66.72,66.16
26,"Sat, Feb 11, 2017",minnesota,63,72,5,66.57692307692308,66.38461538461539
27,"Tue, Feb 14, 2017",purdue 16,55,74,-14,66.14814814814815,66.66666666666667
28,"Sat, Feb 18, 2017",northwestern,65,69,-18,66.10714285714286,66.75
29,"Wed, Feb 22, 2017",michigan,64,68,-22,66.03448275862068,66.79310344827586
30,"Tue, Feb 28, 2017",maryland,59,79,-42,65.8,67.2
31,"Sat, Mar 4, 2017",illinois,62,59,-39,65.6774193548387,66.93548387096774
G,Date,opponent,Tm,Opp,-39,65.6774193548387,66.93548387096774
32,"Wed, Mar 8, 2017",ohio-state,66,57,-30,65.6875,66.625
33,"Thu, Mar 9, 2017",northwestern,61,83,-52,65.54545454545455,67.12121212121212
