G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",fairleigh-dickinson,91,70,21,91.0,70.0
2,"Sun, Nov 13, 2016",central-connecticut-state,82,58,45,86.5,64.0
3,"Thu, Nov 17, 2016",iowa,91,83,53,88.0,70.33333333333333
4,"Thu, Nov 24, 2016",florida,76,81,48,85.0,73.0
5,"Fri, Nov 25, 2016",quinnipiac,90,79,59,86.0,74.2
6,"Sun, Nov 27, 2016",stanford,52,66,45,80.33333333333333,72.83333333333333
7,"Thu, Dec 1, 2016",columbia,95,71,69,82.42857142857143,72.57142857142857
8,"Tue, Dec 6, 2016",hawaii,68,57,80,80.625,70.625
9,"Wed, Dec 7, 2016",california,60,57,83,78.33333333333333,69.11111111111111
10,"Mon, Dec 12, 2016",south-carolina 16,67,64,86,77.2,68.6
11,"Sat, Dec 17, 2016",delaware,81,68,99,77.54545454545455,68.54545454545455
12,"Fri, Dec 23, 2016",rutgers,72,61,110,77.08333333333333,67.91666666666667
13,"Wed, Dec 28, 2016",creighton 10,75,89,96,76.92307692307692,69.53846153846153
14,"Sun, Jan 1, 2017",marquette,69,66,99,76.35714285714286,69.28571428571429
15,"Sat, Jan 7, 2017",depaul,87,56,130,77.06666666666666,68.4
16,"Wed, Jan 11, 2017",marquette,86,89,127,77.625,69.6875
17,"Sat, Jan 14, 2017",providence,61,65,123,76.6470588235294,69.41176470588235
18,"Mon, Jan 16, 2017",villanova 1,46,76,93,74.94444444444444,69.77777777777777
19,"Sun, Jan 22, 2017",st-johns-ny,86,73,106,75.52631578947368,69.94736842105263
20,"Wed, Jan 25, 2017",butler 11,54,61,99,74.45,69.5
21,"Wed, Feb 1, 2017",xavier,70,72,97,74.23809523809524,69.61904761904762
22,"Sat, Feb 4, 2017",georgetown,68,66,99,73.95454545454545,69.45454545454545
23,"Wed, Feb 8, 2017",providence,72,70,101,73.8695652173913,69.47826086956522
24,"Sat, Feb 11, 2017",st-johns-ny,70,78,93,73.70833333333333,69.83333333333333
25,"Wed, Feb 15, 2017",creighton 20,87,81,99,74.24,70.28
26,"Sat, Feb 18, 2017",villanova 2,70,92,77,74.07692307692308,71.11538461538461
27,"Wed, Feb 22, 2017",xavier,71,64,84,73.96296296296296,70.85185185185185
28,"Sat, Feb 25, 2017",depaul,82,79,87,74.25,71.14285714285714
29,"Tue, Feb 28, 2017",georgetown,62,59,90,73.82758620689656,70.72413793103448
30,"Sat, Mar 4, 2017",butler 13,70,64,96,73.7,70.5
G,Date,opponent,Tm,Opp,96,73.7,70.5
31,"Thu, Mar 9, 2017",marquette,82,76,102,73.96774193548387,70.6774193548387
32,"Fri, Mar 10, 2017",villanova 2,53,55,100,73.3125,70.1875
G,Date,opponent,Tm,Opp,100,73.3125,70.1875
33,"Fri, Mar 17, 2017",arkansas,71,77,94,73.24242424242425,70.39393939393939
