G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",montana,75,61,14,75.0,61.0
2,"Sun, Nov 13, 2016",nebraska-omaha,82,72,24,78.5,66.5
3,"Fri, Nov 18, 2016",texas-am,65,63,26,74.0,65.33333333333333
4,"Tue, Nov 22, 2016",new-orleans,88,54,60,77.5,62.5
5,"Fri, Nov 25, 2016",southern-methodist,78,73,65,77.6,64.6
6,"Sun, Nov 27, 2016",california-santa-barbara,96,72,89,80.66666666666667,65.83333333333333
7,"Wed, Nov 30, 2016",san-diego,76,55,110,80.0,64.28571428571429
8,"Sat, Dec 3, 2016",brigham-young,91,84,117,81.375,66.75
9,"Sun, Dec 11, 2016",pepperdine,93,67,143,82.66666666666667,66.77777777777777
10,"Sat, Dec 17, 2016",troy,82,77,148,82.6,67.8
11,"Mon, Dec 19, 2016",cornell,79,67,160,82.27272727272727,67.72727272727273
12,"Thu, Dec 22, 2016",missouri-state,83,75,168,82.33333333333333,68.33333333333333
13,"Fri, Dec 23, 2016",wyoming,94,92,170,83.23076923076923,70.15384615384616
14,"Wed, Dec 28, 2016",oregon-state,70,63,177,82.28571428571429,69.64285714285714
15,"Fri, Dec 30, 2016",oregon 21,61,84,154,80.86666666666666,70.6
16,"Thu, Jan 5, 2017",stanford,72,56,170,80.3125,69.6875
17,"Sun, Jan 8, 2017",california,73,74,169,79.88235294117646,69.94117647058823
18,"Thu, Jan 12, 2017",utah,64,86,147,79.0,70.83333333333333
19,"Sun, Jan 15, 2017",colorado,71,68,150,78.57894736842105,70.6842105263158
20,"Thu, Jan 19, 2017",arizona 14,66,73,143,77.95,70.8
21,"Sun, Jan 22, 2017",arizona-state,82,79,146,78.14285714285714,71.19047619047619
22,"Wed, Jan 25, 2017",californiala 8,84,76,154,78.4090909090909,71.4090909090909
23,"Wed, Feb 1, 2017",washington,82,74,162,78.56521739130434,71.52173913043478
24,"Sat, Feb 4, 2017",washington-state,86,77,171,78.875,71.75
25,"Thu, Feb 9, 2017",oregon-state,92,66,197,79.4,71.52
26,"Sat, Feb 11, 2017",oregon 5,70,81,186,79.03846153846153,71.88461538461539
27,"Sat, Feb 18, 2017",californiala 6,70,102,154,78.70370370370371,73.0
28,"Thu, Feb 23, 2017",arizona 4,77,90,141,78.64285714285714,73.60714285714286
29,"Sun, Feb 26, 2017",arizona-state,82,83,140,78.75862068965517,73.93103448275862
30,"Wed, Mar 1, 2017",washington-state,87,64,163,79.03333333333333,73.6
31,"Sat, Mar 4, 2017",washington,74,58,179,78.87096774193549,73.09677419354838
G,Date,opponent,Tm,Opp,179,78.87096774193549,73.09677419354838
32,"Wed, Mar 8, 2017",washington,78,73,184,78.84375,73.09375
33,"Thu, Mar 9, 2017",californiala 3,74,76,182,78.6969696969697,73.18181818181819
G,Date,opponent,Tm,Opp,182,78.6969696969697,73.18181818181819
34,"Wed, Mar 15, 2017",providence,75,71,186,78.58823529411765,73.11764705882354
35,"Fri, Mar 17, 2017",southern-methodist 11,66,65,187,78.22857142857143,72.88571428571429
36,"Sun, Mar 19, 2017",baylor 12,78,82,183,78.22222222222223,73.13888888888889
