G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",bethune-cookman,100,53,47,100.0,53.0
2,"Mon, Nov 14, 2016",binghamton,77,61,63,88.5,57.0
3,"Fri, Nov 18, 2016",minnesota,86,92,57,87.66666666666667,68.66666666666667
4,"Wed, Nov 23, 2016",michigan-state 24,62,73,46,81.25,69.75
5,"Thu, Nov 24, 2016",virginia-commonwealth,69,75,40,78.8,70.8
6,"Fri, Nov 25, 2016",old-dominion,55,63,32,74.83333333333333,69.5
7,"Tue, Nov 29, 2016",delaware-state,72,79,25,74.42857142857143,70.85714285714286
8,"Fri, Dec 2, 2016",tulane,95,75,45,77.0,71.375
9,"Mon, Dec 5, 2016",cal-state-northridge,76,70,51,76.88888888888889,71.22222222222223
10,"Thu, Dec 8, 2016",fordham,90,62,79,78.2,70.3
11,"Sun, Dec 11, 2016",long-island-university,73,74,78,77.72727272727273,70.63636363636364
12,"Sun, Dec 18, 2016",penn-state,76,92,62,77.58333333333333,72.41666666666667
13,"Wed, Dec 21, 2016",syracuse,93,60,95,78.76923076923077,71.46153846153847
14,"Thu, Dec 29, 2016",butler 13,76,73,98,78.57142857142857,71.57142857142857
15,"Sun, Jan 1, 2017",depaul,79,73,104,78.6,71.66666666666667
16,"Wed, Jan 4, 2017",creighton 10,72,85,91,78.1875,72.5
17,"Sat, Jan 7, 2017",xavier 16,82,97,76,78.41176470588235,73.94117647058823
18,"Mon, Jan 9, 2017",georgetown,55,83,48,77.11111111111111,74.44444444444444
19,"Sat, Jan 14, 2017",villanova 3,57,70,35,76.05263157894737,74.21052631578948
20,"Mon, Jan 16, 2017",depaul,78,68,45,76.15,73.9
21,"Sun, Jan 22, 2017",seton-hall,73,86,32,76.0,74.47619047619048
22,"Wed, Jan 25, 2017",providence,91,86,37,76.68181818181819,75.0
23,"Sun, Jan 29, 2017",xavier 24,77,82,32,76.69565217391305,75.30434782608695
24,"Wed, Feb 1, 2017",marquette,86,72,46,77.08333333333333,75.16666666666667
25,"Sat, Feb 4, 2017",villanova 4,79,92,33,77.16,75.84
26,"Sat, Feb 11, 2017",seton-hall,78,70,41,77.1923076923077,75.61538461538461
27,"Wed, Feb 15, 2017",butler 24,86,110,17,77.51851851851852,76.88888888888889
28,"Tue, Feb 21, 2017",marquette,71,93,-5,77.28571428571429,77.46428571428571
29,"Sat, Feb 25, 2017",georgetown,86,80,1,77.58620689655173,77.55172413793103
30,"Tue, Feb 28, 2017",creighton,68,82,-13,77.26666666666667,77.7
31,"Sat, Mar 4, 2017",providence,75,86,-24,77.19354838709677,77.96774193548387
G,Date,opponent,Tm,Opp,-24,77.19354838709677,77.96774193548387
32,"Wed, Mar 8, 2017",georgetown,74,73,-23,77.09375,77.8125
33,"Thu, Mar 9, 2017",villanova 2,67,108,-64,76.78787878787878,78.72727272727273
