G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",chattanooga,69,82,-13,69.0,82.0
2,"Tue, Nov 15, 2016",appalachian-state,103,94,-4,86.0,88.0
3,"Mon, Nov 21, 2016",wisconsin 16,62,74,-16,78.0,83.33333333333333
4,"Tue, Nov 22, 2016",oregon 13,65,69,-20,74.75,79.75
5,"Wed, Nov 23, 2016",chaminade,95,81,-6,78.8,80.0
6,"Sat, Dec 3, 2016",georgia-tech,81,58,17,79.16666666666667,76.33333333333333
7,"Tue, Dec 6, 2016",presbyterian,90,50,57,80.71428571428571,72.57142857142857
8,"Sun, Dec 11, 2016",north-carolina 7,71,73,55,79.5,72.625
9,"Tue, Dec 13, 2016",tennessee-tech,74,68,61,78.88888888888889,72.11111111111111
10,"Thu, Dec 15, 2016",lipscomb,92,77,76,80.2,72.6
11,"Sun, Dec 18, 2016",gonzaga 8,76,86,66,79.81818181818181,73.81818181818181
12,"Thu, Dec 22, 2016",east-tennessee-state,72,68,70,79.16666666666667,73.33333333333333
13,"Thu, Dec 29, 2016",texas-am,73,63,80,78.6923076923077,72.53846153846153
14,"Tue, Jan 3, 2017",arkansas,78,82,76,78.64285714285714,73.21428571428571
15,"Sat, Jan 7, 2017",florida 24,70,83,63,78.06666666666666,73.86666666666666
16,"Wed, Jan 11, 2017",south-carolina,60,70,53,76.9375,73.625
17,"Sat, Jan 14, 2017",vanderbilt,87,75,65,77.52941176470588,73.70588235294117
18,"Tue, Jan 17, 2017",mississippi,69,80,54,77.05555555555556,74.05555555555556
19,"Sat, Jan 21, 2017",mississippi-state,91,74,71,77.78947368421052,74.05263157894737
20,"Tue, Jan 24, 2017",kentucky 4,82,80,73,78.0,74.35
21,"Sat, Jan 28, 2017",kansas-state,70,58,85,77.61904761904762,73.57142857142857
22,"Tue, Jan 31, 2017",auburn,87,77,95,78.04545454545455,73.72727272727273
23,"Sat, Feb 4, 2017",mississippi-state,59,64,90,77.21739130434783,73.30434782608695
24,"Wed, Feb 8, 2017",mississippi,75,66,99,77.125,73.0
25,"Sat, Feb 11, 2017",georgia,75,76,98,77.04,73.12
26,"Tue, Feb 14, 2017",kentucky 13,58,83,73,76.3076923076923,73.5
27,"Sat, Feb 18, 2017",missouri,90,70,93,76.81481481481481,73.37037037037037
28,"Wed, Feb 22, 2017",vanderbilt,56,67,82,76.07142857142857,73.14285714285714
29,"Sat, Feb 25, 2017",south-carolina,55,82,55,75.34482758620689,73.44827586206897
30,"Wed, Mar 1, 2017",louisiana-state,82,92,45,75.56666666666666,74.06666666666666
31,"Sat, Mar 4, 2017",alabama,59,54,50,75.03225806451613,73.41935483870968
G,Date,opponent,Tm,Opp,50,75.03225806451613,73.41935483870968
32,"Thu, Mar 9, 2017",georgia,57,59,48,74.46875,72.96875
