G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",houston-baptist,93,67,26,93.0,67.0
2,"Tue, Nov 15, 2016",north-texas,70,43,53,81.5,55.0
3,"Sat, Nov 19, 2016",eastern-kentucky,90,71,72,84.33333333333333,60.333333333333336
4,"Tue, Nov 22, 2016",auburn,65,67,70,79.5,62.0
5,"Wed, Nov 23, 2016",utah-state,75,51,94,78.6,59.8
6,"Fri, Nov 25, 2016",idaho-state,91,58,127,80.66666666666667,59.5
7,"Wed, Nov 30, 2016",incarnate-word,69,48,148,79.0,57.857142857142854
8,"Sat, Dec 3, 2016",rice,85,84,149,79.75,61.125
9,"Wed, Dec 7, 2016",texas-san-antonio,87,50,186,80.55555555555556,59.888888888888886
10,"Wed, Dec 14, 2016",nicholls-state,89,46,229,81.4,58.5
11,"Sat, Dec 17, 2016",richmond,79,72,236,81.18181818181819,59.72727272727273
12,"Wed, Dec 21, 2016",longwood,91,60,267,82.0,59.75
13,"Fri, Dec 30, 2016",iowa-state,56,63,260,80.0,60.0
14,"Tue, Jan 3, 2017",west-virginia 7,77,76,261,79.78571428571429,61.142857142857146
15,"Sat, Jan 7, 2017",kansas 3,68,85,244,79.0,62.733333333333334
16,"Tue, Jan 10, 2017",kansas-state 25,66,65,245,78.1875,62.875
17,"Sat, Jan 14, 2017",oklahoma,75,84,236,78.0,64.11764705882354
18,"Wed, Jan 18, 2017",texas-christian,75,69,242,77.83333333333333,64.38888888888889
19,"Sat, Jan 21, 2017",oklahoma-state,64,83,223,77.10526315789474,65.36842105263158
20,"Wed, Jan 25, 2017",baylor 5,61,65,219,76.3,65.35
21,"Sat, Jan 28, 2017",louisiana-state,77,64,232,76.33333333333333,65.28571428571429
22,"Wed, Feb 1, 2017",texas,58,62,228,75.5,65.13636363636364
23,"Sat, Feb 4, 2017",oklahoma,77,69,236,75.56521739130434,65.30434782608695
24,"Tue, Feb 7, 2017",texas-christian,61,62,235,74.95833333333333,65.16666666666667
25,"Sat, Feb 11, 2017",kansas 3,79,80,234,75.12,65.76
26,"Mon, Feb 13, 2017",baylor 4,84,78,240,75.46153846153847,66.23076923076923
27,"Sat, Feb 18, 2017",west-virginia 9,74,83,231,75.4074074074074,66.85185185185185
28,"Mon, Feb 20, 2017",iowa-state,80,82,229,75.57142857142857,67.39285714285714
29,"Sat, Feb 25, 2017",oklahoma-state,63,80,212,75.13793103448276,67.82758620689656
30,"Wed, Mar 1, 2017",texas,67,57,222,74.86666666666666,67.46666666666667
31,"Sat, Mar 4, 2017",kansas-state,48,61,209,74.0,67.25806451612904
G,Date,opponent,Tm,Opp,209,74.0,67.25806451612904
32,"Wed, Mar 8, 2017",texas,52,61,200,73.3125,67.0625
