G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 12, 2016",northwest-nazarene,81,37,44,81.0,37.0
2,"Tue, Nov 15, 2016",concordia-or,96,53,87,88.5,45.0
3,"Fri, Nov 18, 2016",coppin-state,94,51,130,90.33333333333333,47.0
4,"Fri, Nov 25, 2016",california-riverside,85,67,148,89.0,52.0
5,"Mon, Nov 28, 2016",butler 18,59,68,139,83.0,55.2
6,"Thu, Dec 1, 2016",montana-state,92,84,147,84.5,60.0
7,"Tue, Dec 6, 2016",utah-valley,87,80,154,84.85714285714286,62.857142857142854
8,"Sat, Dec 10, 2016",xavier 13,69,77,146,82.875,64.625
9,"Sat, Dec 17, 2016",prairie-view,92,60,178,83.88888888888889,64.11111111111111
10,"Thu, Dec 22, 2016",san-francisco,86,89,175,84.1,66.6
11,"Fri, Dec 23, 2016",hawaii,66,52,189,82.45454545454545,65.27272727272727
12,"Sun, Dec 25, 2016",stephen-f-austin,74,66,197,81.75,65.33333333333333
13,"Sun, Jan 1, 2017",colorado,76,60,213,81.3076923076923,64.92307692307692
14,"Thu, Jan 5, 2017",arizona 17,56,66,203,79.5,65.0
15,"Sat, Jan 7, 2017",arizona-state,88,82,209,80.06666666666666,66.13333333333334
16,"Thu, Jan 12, 2017",southern-california 25,86,64,231,80.4375,66.0
17,"Sat, Jan 14, 2017",californiala 4,82,83,230,80.52941176470588,67.0
18,"Wed, Jan 18, 2017",washington-state,88,47,271,80.94444444444444,65.88888888888889
19,"Sat, Jan 21, 2017",washington,94,72,293,81.63157894736842,66.21052631578948
20,"Thu, Jan 26, 2017",oregon 10,67,73,287,80.9,66.55
21,"Sat, Jan 28, 2017",oregon-state,86,78,295,81.14285714285714,67.0952380952381
22,"Thu, Feb 2, 2017",california,75,77,293,80.86363636363636,67.54545454545455
23,"Sat, Feb 4, 2017",stanford,75,81,287,80.6086956521739,68.1304347826087
24,"Thu, Feb 9, 2017",washington-state,74,70,291,80.33333333333333,68.20833333333333
25,"Sat, Feb 11, 2017",washington,85,61,315,80.52,67.92
26,"Thu, Feb 16, 2017",oregon 7,61,79,297,79.76923076923077,68.34615384615384
27,"Sun, Feb 19, 2017",oregon-state,67,68,296,79.29629629629629,68.33333333333333
28,"Thu, Feb 23, 2017",colorado,86,81,301,79.53571428571429,68.78571428571429
29,"Thu, Mar 2, 2017",california,74,44,331,79.34482758620689,67.93103448275862
30,"Sat, Mar 4, 2017",stanford,67,59,339,78.93333333333334,67.63333333333334
G,Date,opponent,Tm,Opp,339,78.93333333333334,67.63333333333334
31,"Thu, Mar 9, 2017",california,75,78,336,78.80645161290323,67.96774193548387
G,Date,opponent,Tm,Opp,336,78.80645161290323,67.96774193548387
32,"Tue, Mar 14, 2017",boise-state,68,73,331,78.46875,68.125
