G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",lafayette,88,48,40,88.0,48.0
2,"Mon, Nov 14, 2016",purdue 15,79,76,43,83.5,62.0
3,"Thu, Nov 17, 2016",western-michigan,76,65,54,81.0,63.0
4,"Fri, Nov 18, 2016",wake-forest,96,77,73,84.75,66.5
5,"Sun, Nov 20, 2016",central-florida,67,57,83,81.2,64.6
6,"Wed, Nov 23, 2016",college-of-charleston,63,47,99,78.16666666666667,61.666666666666664
7,"Tue, Nov 29, 2016",pennsylvania,82,57,124,78.71428571428571,61.0
8,"Sat, Dec 3, 2016",saint-josephs,88,57,155,79.875,60.5
9,"Tue, Dec 6, 2016",la-salle,89,79,165,80.88888888888889,62.55555555555556
10,"Sat, Dec 10, 2016",notre-dame 23,74,66,173,80.2,62.9
11,"Tue, Dec 13, 2016",temple,78,57,194,80.0,62.36363636363637
12,"Wed, Dec 21, 2016",american,90,48,236,80.83333333333333,61.166666666666664
13,"Wed, Dec 28, 2016",depaul,68,65,239,79.84615384615384,61.46153846153846
14,"Sat, Dec 31, 2016",creighton 10,80,70,249,79.85714285714286,62.07142857142857
15,"Wed, Jan 4, 2017",butler 18,58,66,241,78.4,62.333333333333336
16,"Sat, Jan 7, 2017",marquette,93,81,253,79.3125,63.5
17,"Tue, Jan 10, 2017",xavier 15,79,54,278,79.29411764705883,62.94117647058823
18,"Sat, Jan 14, 2017",st-johns-ny,70,57,291,78.77777777777777,62.611111111111114
19,"Mon, Jan 16, 2017",seton-hall,76,46,321,78.63157894736842,61.73684210526316
20,"Sat, Jan 21, 2017",providence,78,68,331,78.6,62.05
21,"Tue, Jan 24, 2017",marquette,72,74,329,78.28571428571429,62.61904761904762
22,"Sun, Jan 29, 2017",virginia 12,61,59,331,77.5,62.45454545454545
23,"Wed, Feb 1, 2017",providence,66,57,340,77.0,62.21739130434783
24,"Sat, Feb 4, 2017",st-johns-ny,92,79,353,77.625,62.916666666666664
25,"Tue, Feb 7, 2017",georgetown,75,64,364,77.52,62.96
26,"Sat, Feb 11, 2017",xavier 24,73,57,380,77.34615384615384,62.73076923076923
27,"Mon, Feb 13, 2017",depaul,75,62,393,77.25925925925925,62.7037037037037
28,"Sat, Feb 18, 2017",seton-hall,92,70,415,77.78571428571429,62.964285714285715
29,"Wed, Feb 22, 2017",butler 22,66,74,407,77.37931034482759,63.3448275862069
30,"Sat, Feb 25, 2017",creighton 23,79,63,423,77.43333333333334,63.333333333333336
31,"Sat, Mar 4, 2017",georgetown,81,55,449,77.54838709677419,63.064516129032256
G,Date,opponent,Tm,Opp,449,77.54838709677419,63.064516129032256
32,"Thu, Mar 9, 2017",st-johns-ny,108,67,490,78.5,63.1875
33,"Fri, Mar 10, 2017",seton-hall,55,53,492,77.78787878787878,62.878787878787875
34,"Sat, Mar 11, 2017",creighton,74,60,506,77.67647058823529,62.794117647058826
G,Date,opponent,Tm,Opp,506,77.67647058823529,62.794117647058826
35,"Thu, Mar 16, 2017",mount-st-marys,76,56,526,77.62857142857143,62.6
36,"Sat, Mar 18, 2017",wisconsin 25,62,65,523,77.19444444444444,62.666666666666664
