G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",north-carolina-greensboro,76,51,25,76.0,51.0
2,"Tue, Nov 15, 2016",st-francis-ny,72,32,65,74.0,41.5
3,"Sun, Nov 20, 2016",yale,62,38,89,70.0,40.333333333333336
4,"Tue, Nov 22, 2016",grambling,90,34,145,75.0,38.75
5,"Fri, Nov 25, 2016",iowa,74,41,178,74.8,39.2
6,"Sat, Nov 26, 2016",providence,63,52,189,72.83333333333333,41.333333333333336
7,"Wed, Nov 30, 2016",ohio-state,63,61,191,71.42857142857143,44.142857142857146
8,"Sat, Dec 3, 2016",west-virginia 25,57,66,182,69.625,46.875
9,"Tue, Dec 6, 2016",east-carolina,76,53,205,70.33333333333333,47.55555555555556
10,"Sat, Dec 17, 2016",robert-morris,79,39,245,71.2,46.7
11,"Wed, Dec 21, 2016",california,56,52,249,69.81818181818181,47.18181818181818
12,"Wed, Dec 28, 2016",louisville 6,61,53,257,69.08333333333333,47.666666666666664
13,"Sat, Dec 31, 2016",florida-state 20,58,60,255,68.23076923076923,48.61538461538461
14,"Wed, Jan 4, 2017",pittsburgh,76,88,243,68.78571428571429,51.42857142857143
15,"Sun, Jan 8, 2017",wake-forest,79,62,260,69.46666666666667,52.13333333333333
16,"Sat, Jan 14, 2017",clemson,77,73,264,69.9375,53.4375
17,"Wed, Jan 18, 2017",boston-college,71,54,281,70.0,53.470588235294116
18,"Sat, Jan 21, 2017",georgia-tech,62,49,294,69.55555555555556,53.22222222222222
19,"Tue, Jan 24, 2017",notre-dame 14,71,54,311,69.63157894736842,53.26315789473684
20,"Sun, Jan 29, 2017",villanova 1,59,61,309,69.1,53.65
21,"Wed, Feb 1, 2017",virginia-tech,71,48,332,69.19047619047619,53.38095238095238
22,"Sat, Feb 4, 2017",syracuse,62,66,328,68.86363636363636,53.95454545454545
23,"Mon, Feb 6, 2017",louisville 4,71,55,344,68.95652173913044,54.0
24,"Sun, Feb 12, 2017",virginia-tech,78,80,342,69.33333333333333,55.083333333333336
25,"Wed, Feb 15, 2017",duke 12,55,65,332,68.76,55.48
26,"Sat, Feb 18, 2017",north-carolina 10,41,65,308,67.6923076923077,55.84615384615385
27,"Mon, Feb 20, 2017",miami-fl,48,54,302,66.96296296296296,55.77777777777778
28,"Sat, Feb 25, 2017",north-carolina-state,70,55,317,67.07142857142857,55.75
29,"Mon, Feb 27, 2017",north-carolina 5,53,43,327,66.58620689655173,55.310344827586206
30,"Sat, Mar 4, 2017",pittsburgh,67,42,352,66.6,54.86666666666667
G,Date,opponent,Tm,Opp,352,66.6,54.86666666666667
31,"Wed, Mar 8, 2017",pittsburgh,75,63,364,66.87096774193549,55.12903225806452
32,"Thu, Mar 9, 2017",notre-dame 22,58,71,351,66.59375,55.625
G,Date,opponent,Tm,Opp,351,66.59375,55.625
33,"Thu, Mar 16, 2017",north-carolina-wilmington,76,71,356,66.87878787878788,56.09090909090909
34,"Sat, Mar 18, 2017",florida 20,39,65,330,66.05882352941177,56.35294117647059
