G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 11, 2016",radford,80,59,21,80.0,59.0
2,"Sun, Nov 13, 2016",bucknell,94,74,41,87.0,66.5
3,"Thu, Nov 17, 2016",texas-el-paso,103,81,63,92.33333333333333,71.33333333333333
4,"Fri, Nov 18, 2016",villanova 3,77,96,44,88.5,77.5
5,"Sun, Nov 20, 2016",college-of-charleston,78,61,61,86.4,74.2
6,"Wed, Nov 23, 2016",coastal-carolina,86,74,73,86.33333333333333,74.16666666666667
7,"Mon, Nov 28, 2016",northwestern,58,65,66,82.28571428571429,72.85714285714286
8,"Sat, Dec 3, 2016",richmond,75,67,74,81.375,72.125
9,"Tue, Dec 6, 2016",charlotte,91,74,91,82.44444444444444,72.33333333333333
10,"Fri, Dec 9, 2016",north-carolina-greensboro,78,75,94,82.0,72.6
11,"Sat, Dec 17, 2016",xavier 17,65,69,90,80.45454545454545,72.27272727272727
12,"Thu, Dec 22, 2016",louisiana-state,110,76,124,82.91666666666667,72.58333333333333
13,"Wed, Dec 28, 2016",florida-state 20,72,88,108,82.07692307692308,73.76923076923077
14,"Sat, Dec 31, 2016",clemson,68,73,103,81.07142857142857,73.71428571428571
15,"Tue, Jan 3, 2017",boston-college,79,66,116,80.93333333333334,73.2
16,"Sun, Jan 8, 2017",virginia 11,62,79,99,79.75,73.5625
17,"Wed, Jan 11, 2017",north-carolina 11,87,93,93,80.17647058823529,74.70588235294117
18,"Wed, Jan 18, 2017",miami-fl,96,79,110,81.05555555555556,74.94444444444444
19,"Sat, Jan 21, 2017",north-carolina-state,93,88,115,81.6842105263158,75.63157894736842
20,"Tue, Jan 24, 2017",syracuse,76,81,110,81.4,75.9
21,"Sat, Jan 28, 2017",duke 17,83,85,108,81.47619047619048,76.33333333333333
22,"Tue, Jan 31, 2017",boston-college,85,80,113,81.63636363636364,76.5
23,"Sat, Feb 4, 2017",georgia-tech,81,69,125,81.6086956521739,76.17391304347827
24,"Tue, Feb 7, 2017",notre-dame,81,88,118,81.58333333333333,76.66666666666667
25,"Sat, Feb 11, 2017",north-carolina-state,88,58,148,81.84,75.92
26,"Tue, Feb 14, 2017",clemson,83,95,136,81.88461538461539,76.65384615384616
27,"Sat, Feb 18, 2017",duke 12,94,99,131,82.33333333333333,77.48148148148148
28,"Wed, Feb 22, 2017",pittsburgh,63,59,135,81.64285714285714,76.82142857142857
29,"Wed, Mar 1, 2017",louisville 8,88,81,142,81.86206896551724,76.96551724137932
30,"Sat, Mar 4, 2017",virginia-tech,89,84,147,82.1,77.2
G,Date,opponent,Tm,Opp,147,82.1,77.2
31,"Tue, Mar 7, 2017",boston-college,92,78,161,82.41935483870968,77.2258064516129
32,"Wed, Mar 8, 2017",virginia-tech,90,99,152,82.65625,77.90625
G,Date,opponent,Tm,Opp,152,82.65625,77.90625
33,"Tue, Mar 14, 2017",kansas-state,88,95,145,82.81818181818181,78.42424242424242
