G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sun, Nov 12, 2017",jacksonville,73,57,16,73.0,57.0
2,"Wed, Nov 15, 2017",mount-st-marys,102,68,50,87.5,62.5
3,"Sat, Nov 18, 2017",maryland-eastern-shore,83,57,76,86.0,60.666666666666664
4,"Sat, Nov 25, 2017",richmond,82,76,82,85.0,64.5
5,"Tue, Nov 28, 2017",maine,76,55,103,83.2,62.6
6,"Sun, Dec 3, 2017",coppin-state,76,60,119,82.0,62.166666666666664
7,"Thu, Dec 7, 2017",howard,81,67,133,81.85714285714286,62.857142857142854
8,"Sat, Dec 9, 2017",north-carolina-at,83,74,142,82.0,64.25
9,"Sat, Dec 16, 2017",syracuse,79,86,135,81.66666666666667,66.66666666666667
10,"Wed, Dec 20, 2017",north-texas,75,63,147,81.0,66.3
11,"Sat, Dec 23, 2017",alabama-am,89,49,187,81.72727272727273,64.72727272727273
12,"Wed, Dec 27, 2017",butler,89,91,185,82.33333333333333,66.91666666666667
13,"Sat, Dec 30, 2017",marquette,65,74,176,81.0,67.46153846153847
14,"Tue, Jan 2, 2018",depaul,90,81,185,81.64285714285714,68.42857142857143
15,"Sat, Jan 6, 2018",creighton,66,90,161,80.6,69.86666666666666
16,"Tue, Jan 9, 2018",st-johns-ny,69,66,164,79.875,69.625
17,"Sat, Jan 13, 2018",seton-hall 13,61,74,151,78.76470588235294,69.88235294117646
18,"Wed, Jan 17, 2018",villanova 1,56,88,119,77.5,70.88888888888889
19,"Sat, Jan 20, 2018",st-johns-ny,93,89,123,78.3157894736842,71.84210526315789
20,"Wed, Jan 24, 2018",depaul,73,74,122,78.05,71.95
21,"Sat, Jan 27, 2018",creighton,77,85,114,78.0,72.57142857142857
22,"Sat, Feb 3, 2018",xavier 6,91,96,109,78.5909090909091,73.63636363636364
23,"Tue, Feb 6, 2018",providence,69,73,105,78.17391304347827,73.6086956521739
24,"Sat, Feb 10, 2018",seton-hall,83,80,108,78.375,73.875
25,"Tue, Feb 13, 2018",butler,87,83,112,78.72,74.24
26,"Wed, Feb 21, 2018",xavier 4,77,89,100,78.65384615384616,74.8076923076923
27,"Sat, Feb 24, 2018",providence,69,74,95,78.29629629629629,74.77777777777777
28,"Mon, Feb 26, 2018",marquette,86,90,91,78.57142857142857,75.32142857142857
29,"Sat, Mar 3, 2018",villanova 4,73,97,67,78.37931034482759,76.06896551724138
G,Date,opponent,Tm,Opp,67,78.37931034482759,76.06896551724138
30,"Wed, Mar 7, 2018",st-johns-ny,77,88,56,78.33333333333333,76.46666666666667
