G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",californiala 21,60,63,-3,60.0,63.0
2,"Sun, Nov 19, 2017",bethune-cookman,65,62,0,62.5,62.5
3,"Wed, Nov 22, 2017",texas-pan-american,78,68,10,67.66666666666667,64.33333333333333
4,"Fri, Nov 24, 2017",north-texas,63,49,24,66.5,60.5
5,"Tue, Nov 28, 2017",northwestern,52,51,25,63.6,58.6
6,"Fri, Dec 1, 2017",grambling,63,64,24,63.5,59.5
7,"Sun, Dec 3, 2017",tennessee,70,77,17,64.42857142857143,62.0
8,"Wed, Dec 6, 2017",wofford,60,63,14,63.875,62.125
9,"Sun, Dec 17, 2017",florida-am,79,54,39,65.55555555555556,61.22222222222222
10,"Tue, Dec 19, 2017",georgia,59,80,18,64.9,63.1
11,"Fri, Dec 22, 2017",wright-state,81,85,14,66.36363636363636,65.0909090909091
12,"Wed, Dec 27, 2017",coppin-state,76,62,28,67.16666666666667,64.83333333333333
13,"Sat, Dec 30, 2017",notre-dame,59,68,19,66.53846153846153,65.07692307692308
14,"Wed, Jan 3, 2018",miami-fl 15,64,54,29,66.35714285714286,64.28571428571429
15,"Sat, Jan 6, 2018",yale,74,60,43,66.86666666666666,64.0
16,"Wed, Jan 10, 2018",notre-dame,60,53,50,66.4375,63.3125
17,"Sat, Jan 13, 2018",pittsburgh,69,54,65,66.58823529411765,62.76470588235294
18,"Thu, Jan 18, 2018",virginia 2,48,64,49,65.55555555555556,62.833333333333336
19,"Sat, Jan 20, 2018",north-carolina 15,66,80,35,65.57894736842105,63.73684210526316
20,"Wed, Jan 24, 2018",florida-state,77,88,24,66.15,64.95
21,"Sun, Jan 28, 2018",clemson 18,70,72,22,66.33333333333333,65.28571428571429
22,"Wed, Jan 31, 2018",syracuse,55,51,26,65.81818181818181,64.63636363636364
23,"Sun, Feb 4, 2018",boston-college,72,80,18,66.08695652173913,65.30434782608695
24,"Thu, Feb 8, 2018",louisville,54,77,-5,65.58333333333333,65.79166666666667
25,"Sun, Feb 11, 2018",duke 9,69,80,-16,65.72,66.36
26,"Wed, Feb 14, 2018",wake-forest,62,79,-33,65.57692307692308,66.84615384615384
27,"Sat, Feb 17, 2018",virginia-tech,56,76,-53,65.22222222222223,67.18518518518519
28,"Wed, Feb 21, 2018",virginia 1,54,65,-64,64.82142857142857,67.10714285714286
29,"Sat, Feb 24, 2018",clemson 15,67,75,-72,64.89655172413794,67.37931034482759
30,"Thu, Mar 1, 2018",north-carolina-state,78,75,-69,65.33333333333333,67.63333333333334
31,"Sat, Mar 3, 2018",wake-forest,64,56,-61,65.29032258064517,67.25806451612904
G,Date,opponent,Tm,Opp,-61,65.29032258064517,67.25806451612904
32,"Tue, Mar 6, 2018",boston-college,77,87,-71,65.65625,67.875
