G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",mcneese-state,81,53,28,81.0,53.0
2,"Fri, Nov 17, 2017",drexel,80,84,24,80.5,68.5
3,"Sat, Nov 18, 2017",liberty,68,66,26,76.33333333333333,67.66666666666667
4,"Sun, Nov 19, 2017",wake-forest,78,73,31,76.75,69.0
5,"Sat, Nov 25, 2017",incarnate-word,97,58,70,80.8,66.8
6,"Wed, Nov 29, 2017",new-orleans,75,66,79,79.83333333333333,66.66666666666667
7,"Sat, Dec 2, 2017",arkansas,91,65,105,81.42857142857143,66.42857142857143
8,"Wed, Dec 6, 2017",fairfield,88,66,127,82.25,66.375
9,"Sat, Dec 9, 2017",saint-louis,77,58,146,81.66666666666667,65.44444444444444
10,"Wed, Dec 13, 2017",louisiana-state,77,80,143,81.2,66.9
11,"Sun, Dec 17, 2017",prairie-view,92,72,163,82.18181818181819,67.36363636363636
12,"Wed, Dec 20, 2017",providence,70,59,174,81.16666666666667,66.66666666666667
13,"Thu, Dec 28, 2017",south-florida,79,60,193,81.0,66.15384615384616
14,"Sat, Dec 30, 2017",temple,76,73,196,80.64285714285714,66.64285714285714
15,"Thu, Jan 4, 2018",wichita-state 9,63,81,178,79.46666666666667,67.6
16,"Thu, Jan 11, 2018",tulsa,104,71,211,81.0,67.8125
17,"Sun, Jan 14, 2018",east-carolina,65,49,227,80.05882352941177,66.70588235294117
18,"Wed, Jan 17, 2018",tulane,72,81,218,79.61111111111111,67.5
19,"Sat, Jan 20, 2018",wichita-state 7,73,59,232,79.26315789473684,67.05263157894737
20,"Sun, Jan 28, 2018",south-florida,63,40,255,78.45,65.7
21,"Wed, Jan 31, 2018",cincinnati 8,70,80,245,78.04761904761905,66.38095238095238
22,"Sat, Feb 3, 2018",central-florida,69,65,249,77.63636363636364,66.31818181818181
23,"Thu, Feb 8, 2018",southern-methodist,67,58,258,77.17391304347827,65.95652173913044
24,"Sun, Feb 11, 2018",tulane,73,42,289,77.0,64.95833333333333
25,"Thu, Feb 15, 2018",cincinnati 5,67,62,294,76.6,64.84
26,"Sun, Feb 18, 2018",temple,80,59,315,76.73076923076923,64.61538461538461
27,"Thu, Feb 22, 2018",memphis,85,91,309,77.03703703703704,65.5925925925926
28,"Sun, Feb 25, 2018",east-carolina,109,58,360,78.17857142857143,65.32142857142857
29,"Wed, Feb 28, 2018",southern-methodist,69,56,373,77.86206896551724,65.0
30,"Sun, Mar 4, 2018",connecticut,81,71,383,77.96666666666667,65.2
G,Date,opponent,Tm,Opp,383,77.96666666666667,65.2
31,"Fri, Mar 9, 2018",central-florida,84,56,411,78.16129032258064,64.90322580645162
32,"Sat, Mar 10, 2018",wichita-state 11,77,74,414,78.125,65.1875
33,"Sun, Mar 11, 2018",cincinnati 8,55,56,413,77.42424242424242,64.9090909090909
G,Date,opponent,Tm,Opp,413,77.42424242424242,64.9090909090909
34,"Thu, Mar 15, 2018",san-diego-state,67,65,415,77.11764705882354,64.91176470588235
35,"Sat, Mar 17, 2018",michigan 7,63,64,414,76.71428571428571,64.88571428571429
