G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",southern,102,55,47,102.0,55.0
2,"Sun, Nov 12, 2017",tennessee-martin,77,74,50,89.5,64.5
3,"Fri, Nov 17, 2017",depaul,82,73,59,87.0,67.33333333333333
4,"Sun, Nov 19, 2017",marshall,91,74,76,88.0,69.0
5,"Wed, Nov 22, 2017",augustana-il,96,62,110,89.6,67.6
6,"Fri, Nov 24, 2017",north-carolina-central,86,73,123,89.0,68.5
7,"Tue, Nov 28, 2017",wake-forest,73,80,116,86.71428571428571,70.14285714285714
8,"Fri, Dec 1, 2017",northwestern,68,72,112,84.375,70.375
9,"Sun, Dec 3, 2017",maryland,91,92,111,85.11111111111111,72.77777777777777
10,"Wed, Dec 6, 2017",austin-peay,64,57,118,83.0,71.2
11,"Sat, Dec 9, 2017",nevada-las-vegas,82,89,111,82.9090909090909,72.81818181818181
12,"Wed, Dec 13, 2017",longwood,92,45,158,83.66666666666667,70.5
13,"Sat, Dec 16, 2017",new-mexico-state,69,74,153,82.53846153846153,70.76923076923077
14,"Sat, Dec 23, 2017",missouri,70,64,159,81.64285714285714,70.28571428571429
15,"Sat, Dec 30, 2017",grand-canyon,62,58,163,80.33333333333333,69.46666666666667
16,"Wed, Jan 3, 2018",minnesota,67,77,153,79.5,69.9375
17,"Sat, Jan 6, 2018",michigan,69,79,143,78.88235294117646,70.47058823529412
18,"Thu, Jan 11, 2018",iowa,97,104,136,79.88888888888889,72.33333333333333
19,"Mon, Jan 15, 2018",nebraska,63,64,135,79.0,71.89473684210526
20,"Fri, Jan 19, 2018",wisconsin,50,75,110,77.55,72.05
21,"Mon, Jan 22, 2018",michigan-state 6,74,87,97,77.38095238095238,72.76190476190476
22,"Wed, Jan 24, 2018",indiana,73,71,99,77.18181818181819,72.68181818181819
23,"Tue, Jan 30, 2018",rutgers,91,60,130,77.78260869565217,72.1304347826087
24,"Sun, Feb 4, 2018",ohio-state 17,67,75,122,77.33333333333333,72.25
25,"Thu, Feb 8, 2018",wisconsin,69,78,113,77.0,72.48
26,"Sun, Feb 11, 2018",penn-state,52,74,91,76.03846153846153,72.53846153846153
27,"Wed, Feb 14, 2018",indiana,68,78,81,75.74074074074075,72.74074074074075
28,"Sun, Feb 18, 2018",nebraska,72,66,87,75.60714285714286,72.5
29,"Tue, Feb 20, 2018",michigan-state 2,61,81,67,75.10344827586206,72.79310344827586
30,"Thu, Feb 22, 2018",purdue 9,86,93,60,75.46666666666667,73.46666666666667
31,"Sun, Feb 25, 2018",rutgers,75,62,73,75.45161290322581,73.09677419354838
G,Date,opponent,Tm,Opp,73,75.45161290322581,73.09677419354838
32,"Wed, Feb 28, 2018",iowa,87,96,64,75.8125,73.8125
