G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",indiana-state,69,90,-21,69.0,90.0
2,"Sun, Nov 12, 2017",howard,86,77,-12,77.5,83.5
3,"Wed, Nov 15, 2017",seton-hall 22,68,84,-28,74.33333333333333,83.66666666666667
4,"Sun, Nov 19, 2017",south-florida,70,53,-11,73.25,76.0
5,"Wed, Nov 22, 2017",arkansas-state,87,70,6,76.0,74.8
6,"Fri, Nov 24, 2017",eastern-michigan,87,67,26,77.83333333333333,73.5
7,"Wed, Nov 29, 2017",duke 1,81,91,16,78.28571428571429,76.0
8,"Sat, Dec 2, 2017",michigan,55,69,2,75.375,75.125
9,"Mon, Dec 4, 2017",iowa,77,64,15,75.55555555555556,73.88888888888889
10,"Sat, Dec 9, 2017",louisville,62,71,6,74.2,73.6
11,"Sat, Dec 16, 2017",notre-dame 18,80,77,9,74.72727272727273,73.9090909090909
12,"Mon, Dec 18, 2017",purdue-fort-wayne,72,92,-11,74.5,75.41666666666667
13,"Thu, Dec 21, 2017",tennessee-tech,87,59,17,75.46153846153847,74.15384615384616
14,"Fri, Dec 29, 2017",youngstown-state,79,51,45,75.71428571428571,72.5
15,"Tue, Jan 2, 2018",wisconsin,61,71,35,74.73333333333333,72.4
16,"Sat, Jan 6, 2018",minnesota,75,71,39,74.75,72.3125
17,"Tue, Jan 9, 2018",penn-state,74,70,43,74.70588235294117,72.17647058823529
18,"Sun, Jan 14, 2018",northwestern,66,46,63,74.22222222222223,70.72222222222223
19,"Fri, Jan 19, 2018",michigan-state 9,57,85,35,73.3157894736842,71.47368421052632
20,"Mon, Jan 22, 2018",maryland,71,68,38,73.2,71.3
21,"Wed, Jan 24, 2018",illinois,71,73,36,73.0952380952381,71.38095238095238
22,"Sun, Jan 28, 2018",purdue 3,67,74,29,72.81818181818181,71.5
23,"Tue, Jan 30, 2018",ohio-state 17,56,71,14,72.08695652173913,71.47826086956522
24,"Sat, Feb 3, 2018",michigan-state 5,60,63,11,71.58333333333333,71.125
25,"Mon, Feb 5, 2018",rutgers,65,43,33,71.32,70.0
26,"Fri, Feb 9, 2018",minnesota,80,56,57,71.65384615384616,69.46153846153847
27,"Wed, Feb 14, 2018",illinois,78,68,67,71.88888888888889,69.4074074074074
28,"Sat, Feb 17, 2018",iowa,84,82,69,72.32142857142857,69.85714285714286
29,"Tue, Feb 20, 2018",nebraska,57,66,60,71.79310344827586,69.72413793103448
30,"Fri, Feb 23, 2018",ohio-state 16,78,80,58,72.0,70.06666666666666
G,Date,opponent,Tm,Opp,58,72.0,70.06666666666666
31,"Thu, Mar 1, 2018",rutgers,69,76,51,71.90322580645162,70.25806451612904
