G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",missouri,59,74,-15,59.0,74.0
2,"Mon, Nov 13, 2017",milwaukee,56,74,-33,57.5,74.0
3,"Thu, Nov 16, 2017",appalachian-state,104,98,-27,73.0,82.0
4,"Fri, Nov 17, 2017",tulsa,80,78,-25,74.75,81.0
5,"Sun, Nov 19, 2017",boise-state,75,64,-14,74.8,77.6
6,"Sat, Nov 25, 2017",western-illinois,70,45,11,74.0,72.16666666666667
7,"Mon, Dec 4, 2017",northern-illinois,94,80,25,76.85714285714286,73.28571428571429
8,"Thu, Dec 7, 2017",iowa,84,78,31,77.75,73.875
9,"Sun, Dec 10, 2017",alcorn-state,78,58,51,77.77777777777777,72.11111111111111
10,"Sat, Dec 16, 2017",northern-iowa,76,65,62,77.6,71.4
11,"Wed, Dec 20, 2017",maryland-eastern-shore,55,49,68,75.54545454545455,69.36363636363636
12,"Fri, Dec 29, 2017",kansas-state,75,91,52,75.5,71.16666666666667
13,"Mon, Jan 1, 2018",texas,70,74,48,75.07692307692308,71.38461538461539
14,"Sat, Jan 6, 2018",oklahoma-state,87,96,39,75.92857142857143,73.14285714285714
15,"Tue, Jan 9, 2018",kansas 12,78,83,34,76.06666666666666,73.8
16,"Sat, Jan 13, 2018",baylor,75,65,44,76.0,73.25
17,"Wed, Jan 17, 2018",texas-christian 24,73,96,21,75.82352941176471,74.58823529411765
18,"Sat, Jan 20, 2018",texas-tech 8,70,52,39,75.5,73.33333333333333
19,"Mon, Jan 22, 2018",texas,57,73,23,74.52631578947368,73.3157894736842
20,"Sat, Jan 27, 2018",tennessee 22,45,68,0,73.05,73.05
21,"Wed, Jan 31, 2018",west-virginia 15,93,77,16,74.0,73.23809523809524
22,"Sat, Feb 3, 2018",baylor,67,81,2,73.68181818181819,73.5909090909091
23,"Wed, Feb 7, 2018",texas-tech 7,58,76,-16,73.0,73.69565217391305
24,"Sat, Feb 10, 2018",oklahoma 17,88,80,-8,73.625,73.95833333333333
25,"Tue, Feb 13, 2018",kansas 13,77,83,-14,73.76,74.32
26,"Sat, Feb 17, 2018",kansas-state,66,78,-26,73.46153846153847,74.46153846153847
27,"Wed, Feb 21, 2018",texas-christian,83,89,-32,73.81481481481481,75.0
28,"Sat, Feb 24, 2018",west-virginia 21,70,85,-47,73.67857142857143,75.35714285714286
29,"Tue, Feb 27, 2018",oklahoma-state,71,80,-56,73.58620689655173,75.51724137931035
30,"Fri, Mar 2, 2018",oklahoma,60,81,-77,73.13333333333334,75.7
G,Date,opponent,Tm,Opp,-77,73.13333333333334,75.7
31,"Wed, Mar 7, 2018",texas,64,68,-81,72.83870967741936,75.45161290322581
