G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",utah-valley,73,63,10,73.0,63.0
2,"Sun, Nov 12, 2017",vermont,73,69,14,73.0,66.0
3,"Tue, Nov 14, 2017",kansas 4,61,65,10,69.0,65.66666666666667
4,"Fri, Nov 17, 2017",east-tennessee-state,78,61,27,71.25,64.5
5,"Mon, Nov 20, 2017",troy,70,62,35,71.0,64.0
6,"Wed, Nov 22, 2017",purdue-fort-wayne,86,67,54,73.5,64.5
7,"Sun, Nov 26, 2017",illinois-chicago,107,73,88,78.28571428571429,65.71428571428571
8,"Sat, Dec 2, 2017",harvard,79,70,97,78.375,66.25
9,"Sat, Dec 9, 2017",monmouth,93,76,114,80.0,67.33333333333333
10,"Sat, Dec 16, 2017",virginia-tech,93,86,121,81.3,69.2
11,"Sat, Dec 23, 2017",californiala,75,83,113,80.72727272727273,70.45454545454545
12,"Fri, Dec 29, 2017",louisville,90,61,142,81.5,69.66666666666667
13,"Sun, Dec 31, 2017",georgia,66,61,147,80.3076923076923,69.0
14,"Wed, Jan 3, 2018",louisiana-state,74,71,150,79.85714285714286,69.14285714285714
15,"Sat, Jan 6, 2018",tennessee 23,65,76,139,78.86666666666666,69.6
16,"Tue, Jan 9, 2018",texas-am,74,73,140,78.5625,69.8125
17,"Sat, Jan 13, 2018",vanderbilt,74,67,147,78.29411764705883,69.6470588235294
18,"Tue, Jan 16, 2018",south-carolina,68,76,139,77.72222222222223,70.0
19,"Sat, Jan 20, 2018",florida,64,66,137,77.0,69.78947368421052
20,"Tue, Jan 23, 2018",mississippi-state,78,65,150,77.05,69.55
21,"Sat, Jan 27, 2018",west-virginia 7,83,76,157,77.33333333333333,69.85714285714286
22,"Tue, Jan 30, 2018",vanderbilt,83,81,159,77.5909090909091,70.36363636363636
23,"Sat, Feb 3, 2018",missouri,60,69,150,76.82608695652173,70.30434782608695
24,"Tue, Feb 6, 2018",tennessee 15,59,61,148,76.08333333333333,69.91666666666667
25,"Sat, Feb 10, 2018",texas-am,74,85,137,76.0,70.52
26,"Wed, Feb 14, 2018",auburn 10,66,76,127,75.61538461538461,70.73076923076923
27,"Sat, Feb 17, 2018",alabama,81,71,137,75.81481481481481,70.74074074074075
28,"Tue, Feb 20, 2018",arkansas,87,72,152,76.21428571428571,70.78571428571429
29,"Sat, Feb 24, 2018",missouri,87,66,173,76.58620689655173,70.62068965517241
30,"Wed, Feb 28, 2018",mississippi,96,78,191,77.23333333333333,70.86666666666666
31,"Sat, Mar 3, 2018",florida,67,80,178,76.90322580645162,71.16129032258064
G,Date,opponent,Tm,Opp,178,76.90322580645162,71.16129032258064
32,"Fri, Mar 9, 2018",georgia,62,49,191,76.4375,70.46875
33,"Sat, Mar 10, 2018",alabama,86,63,214,76.72727272727273,70.24242424242425
34,"Sun, Mar 11, 2018",tennessee 13,77,72,219,76.73529411764706,70.29411764705883
G,Date,opponent,Tm,Opp,219,76.73529411764706,70.29411764705883
35,"Thu, Mar 15, 2018",davidson,78,73,224,76.77142857142857,70.37142857142857
36,"Sat, Mar 17, 2018",buffalo,95,75,244,77.27777777777777,70.5
37,"Thu, Mar 22, 2018",kansas-state,58,61,241,76.75675675675676,70.24324324324324
