G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",wright-state,84,80,4,84.0,80.0
2,"Sun, Nov 12, 2017",eureka,96,69,31,90.0,74.5
3,"Thu, Nov 16, 2017",missouri-kansas-city,66,56,41,82.0,68.33333333333333
4,"Sun, Nov 19, 2017",samford,88,67,62,83.5,68.0
5,"Tue, Nov 21, 2017",mississippi-valley-state,63,50,75,79.4,64.4
6,"Fri, Nov 24, 2017",north-carolina-wilmington,102,78,99,83.16666666666667,66.66666666666667
7,"Sat, Nov 25, 2017",kent-state,75,60,114,82.0,65.71428571428571
8,"Tue, Nov 28, 2017",boise-state,53,87,80,78.375,68.375
9,"Sat, Dec 2, 2017",illinois-chicago,85,61,104,79.11111111111111,67.55555555555556
10,"Wed, Dec 6, 2017",florida 5,65,59,110,77.7,66.7
11,"Sat, Dec 9, 2017",norfolk-state,80,52,138,77.9090909090909,65.36363636363636
12,"Sat, Dec 16, 2017",milwaukee,56,73,121,76.08333333333333,66.0
13,"Fri, Dec 22, 2017",missouri-state,59,64,116,74.76923076923077,65.84615384615384
14,"Sat, Dec 30, 2017",evansville,66,59,123,74.14285714285714,65.35714285714286
15,"Wed, Jan 3, 2018",indiana-state,57,61,119,73.0,65.06666666666666
16,"Sun, Jan 7, 2018",northern-iowa,56,50,125,71.9375,64.125
17,"Wed, Jan 10, 2018",illinois-state,68,61,132,71.70588235294117,63.94117647058823
18,"Sat, Jan 13, 2018",bradley,81,65,148,72.22222222222223,64.0
19,"Wed, Jan 17, 2018",southern-illinois,79,65,162,72.57894736842105,64.05263157894737
20,"Sun, Jan 21, 2018",valparaiso,70,54,178,72.45,63.55
21,"Wed, Jan 24, 2018",drake,80,57,201,72.80952380952381,63.23809523809524
22,"Sun, Jan 28, 2018",northern-iowa,70,47,224,72.68181818181819,62.5
23,"Wed, Jan 31, 2018",bradley,67,69,222,72.43478260869566,62.78260869565217
24,"Sat, Feb 3, 2018",missouri-state,97,75,244,73.45833333333333,63.291666666666664
25,"Wed, Feb 7, 2018",drake,72,57,259,73.4,63.04
26,"Sat, Feb 10, 2018",indiana-state,75,71,263,73.46153846153847,63.34615384615385
27,"Wed, Feb 14, 2018",valparaiso,80,71,272,73.70370370370371,63.629629629629626
28,"Sun, Feb 18, 2018",evansville,76,66,282,73.78571428571429,63.714285714285715
29,"Wed, Feb 21, 2018",southern-illinois,75,56,301,73.82758620689656,63.44827586206897
30,"Sat, Feb 24, 2018",illinois-state,68,61,308,73.63333333333334,63.36666666666667
G,Date,opponent,Tm,Opp,308,73.63333333333334,63.36666666666667
31,"Fri, Mar 2, 2018",northern-iowa,54,50,312,73.0,62.935483870967744
32,"Sat, Mar 3, 2018",bradley,62,54,320,72.65625,62.65625
33,"Sun, Mar 4, 2018",illinois-state,65,49,336,72.42424242424242,62.24242424242424
G,Date,opponent,Tm,Opp,336,72.42424242424242,62.24242424242424
34,"Thu, Mar 15, 2018",miami-fl 22,64,62,338,72.17647058823529,62.23529411764706
35,"Sat, Mar 17, 2018",tennessee 13,63,62,339,71.91428571428571,62.22857142857143
36,"Thu, Mar 22, 2018",nevada 24,69,68,340,71.83333333333333,62.388888888888886
37,"Sat, Mar 24, 2018",kansas-state,78,62,356,72.0,62.37837837837838
38,"Sat, Mar 31, 2018",michigan 7,57,69,344,71.60526315789474,62.55263157894737
