G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",mount-st-marys,80,59,21,80.0,59.0
2,"Tue, Nov 14, 2017",purdue 19,71,86,6,75.5,72.5
3,"Mon, Nov 20, 2017",virginia-commonwealth,94,83,17,81.66666666666667,76.0
4,"Tue, Nov 21, 2017",wichita-state 6,66,80,3,77.75,77.0
5,"Wed, Nov 22, 2017",louisiana-state,94,84,13,81.0,78.4
6,"Mon, Nov 27, 2017",eastern-illinois,86,83,16,81.83333333333333,79.16666666666667
7,"Wed, Nov 29, 2017",chicago-state,95,69,42,83.71428571428571,77.71428571428571
8,"Sat, Dec 2, 2017",georgia,66,73,35,81.5,77.125
9,"Tue, Dec 5, 2017",vermont,91,81,45,82.55555555555556,77.55555555555556
10,"Sat, Dec 9, 2017",wisconsin,82,63,64,82.5,76.1
11,"Mon, Dec 18, 2017",northern-illinois,79,70,73,82.18181818181819,75.54545454545455
12,"Thu, Dec 21, 2017",american,92,51,114,83.0,73.5
13,"Wed, Dec 27, 2017",xavier 6,87,91,110,83.3076923076923,74.84615384615384
14,"Sat, Dec 30, 2017",georgetown,74,65,119,82.64285714285714,74.14285714285714
15,"Wed, Jan 3, 2018",providence,95,90,124,83.46666666666667,75.2
16,"Sat, Jan 6, 2018",villanova 3,90,100,114,83.875,76.75
17,"Tue, Jan 9, 2018",seton-hall 13,84,64,134,83.88235294117646,76.0
18,"Fri, Jan 12, 2018",butler,83,94,123,83.83333333333333,77.0
19,"Mon, Jan 15, 2018",depaul,70,52,141,83.10526315789474,75.6842105263158
20,"Wed, Jan 24, 2018",xavier 8,70,89,122,82.45,76.35
21,"Sun, Jan 28, 2018",villanova 1,82,85,119,82.42857142857143,76.76190476190476
22,"Wed, Jan 31, 2018",butler,72,92,99,81.95454545454545,77.45454545454545
23,"Sat, Feb 3, 2018",providence,75,77,97,81.65217391304348,77.43478260869566
24,"Wed, Feb 7, 2018",seton-hall,88,85,100,81.91666666666667,77.75
25,"Sat, Feb 10, 2018",st-johns-ny,78,86,92,81.76,78.08
26,"Sat, Feb 17, 2018",creighton,90,86,96,82.07692307692308,78.38461538461539
27,"Wed, Feb 21, 2018",st-johns-ny,85,73,108,82.18518518518519,78.18518518518519
28,"Sat, Feb 24, 2018",depaul,62,70,100,81.46428571428571,77.89285714285714
29,"Mon, Feb 26, 2018",georgetown,90,86,104,81.75862068965517,78.17241379310344
30,"Sat, Mar 3, 2018",creighton,85,81,108,81.86666666666666,78.26666666666667
G,Date,opponent,Tm,Opp,108,81.86666666666666,78.26666666666667
31,"Wed, Mar 7, 2018",depaul,72,69,111,81.54838709677419,77.96774193548387
32,"Thu, Mar 8, 2018",villanova 2,70,94,87,81.1875,78.46875
G,Date,opponent,Tm,Opp,87,81.1875,78.46875
33,"Wed, Mar 14, 2018",harvard,67,60,94,80.75757575757575,77.9090909090909
34,"Sun, Mar 18, 2018",oregon,101,92,103,81.3529411764706,78.32352941176471
35,"Tue, Mar 20, 2018",penn-state,80,85,98,81.31428571428572,78.51428571428572
