G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",alabama,70,82,-12,70.0,82.0
2,"Tue, Nov 14, 2017",arkansas-little-rock,70,62,-4,70.0,72.0
3,"Tue, Nov 21, 2017",new-orleans,63,52,7,67.66666666666667,65.33333333333333
4,"Sat, Nov 25, 2017",northern-kentucky,76,74,9,69.75,67.5
5,"Thu, Nov 30, 2017",alabama-birmingham,56,71,-6,67.0,68.2
6,"Sat, Dec 2, 2017",mercer,83,81,-4,69.66666666666667,70.33333333333333
7,"Tue, Dec 5, 2017",samford,65,64,-3,69.0,69.42857142857143
8,"Sat, Dec 9, 2017",bryant,90,72,15,71.625,69.75
9,"Tue, Dec 12, 2017",albany-ny,67,58,24,71.11111111111111,68.44444444444444
10,"Sat, Dec 16, 2017",louisville,72,81,15,71.2,69.7
11,"Wed, Dec 20, 2017",siena,70,66,19,71.0909090909091,69.36363636363636
12,"Sat, Dec 23, 2017",loyola-md,83,71,31,72.08333333333333,69.5
13,"Thu, Dec 28, 2017",louisiana-state,61,71,21,71.23076923076923,69.61538461538461
14,"Sun, Dec 31, 2017",cincinnati 21,48,82,-13,69.57142857142857,70.5
15,"Wed, Jan 3, 2018",central-florida,56,65,-22,68.66666666666667,70.13333333333334
16,"Sat, Jan 6, 2018",tulsa,76,67,-13,69.125,69.9375
17,"Tue, Jan 9, 2018",tulane,96,89,-6,70.70588235294117,71.05882352941177
18,"Sat, Jan 13, 2018",temple,75,72,-3,70.94444444444444,71.11111111111111
19,"Tue, Jan 16, 2018",connecticut,73,49,21,71.05263157894737,69.94736842105263
20,"Sat, Jan 20, 2018",tulsa,51,64,8,70.05,69.65
21,"Sat, Jan 27, 2018",cincinnati 9,48,62,-6,69.0,69.28571428571429
22,"Wed, Jan 31, 2018",south-florida,86,74,6,69.77272727272727,69.5
23,"Sat, Feb 3, 2018",east-carolina,85,88,3,70.43478260869566,70.30434782608695
24,"Tue, Feb 6, 2018",wichita-state 22,65,85,-17,70.20833333333333,70.91666666666667
25,"Sun, Feb 11, 2018",central-florida,64,68,-21,69.96,70.8
26,"Wed, Feb 14, 2018",southern-methodist,70,67,-18,69.96153846153847,70.65384615384616
27,"Sat, Feb 17, 2018",tulane,68,63,-13,69.88888888888889,70.37037037037037
28,"Thu, Feb 22, 2018",houston 23,91,85,-7,70.64285714285714,70.89285714285714
29,"Sun, Feb 25, 2018",connecticut,83,79,-3,71.06896551724138,71.17241379310344
30,"Thu, Mar 1, 2018",south-florida,51,75,-27,70.4,71.3
31,"Sun, Mar 4, 2018",east-carolina,90,70,-7,71.03225806451613,71.25806451612904
G,Date,opponent,Tm,Opp,-7,71.03225806451613,71.25806451612904
32,"Thu, Mar 8, 2018",south-florida,79,77,-5,71.28125,71.4375
33,"Fri, Mar 9, 2018",tulsa,67,64,-2,71.15151515151516,71.21212121212122
34,"Sat, Mar 10, 2018",cincinnati 8,60,70,-12,70.82352941176471,71.17647058823529
