G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",north-florida,98,66,32,98.0,66.0
2,"Tue, Nov 14, 2017",duke 1,81,88,25,89.5,77.0
3,"Sun, Nov 19, 2017",stony-brook,93,71,47,90.66666666666667,75.0
4,"Thu, Nov 23, 2017",depaul,73,51,69,86.25,69.0
5,"Sat, Nov 25, 2017",connecticut,77,57,89,84.4,66.6
6,"Sun, Nov 26, 2017",north-carolina 9,63,45,107,80.83333333333333,63.0
7,"Thu, Nov 30, 2017",notre-dame 5,81,63,125,80.85714285714286,63.0
8,"Sun, Dec 3, 2017",nebraska,86,57,154,81.5,62.25
9,"Tue, Dec 5, 2017",rutgers,62,52,164,79.33333333333333,61.111111111111114
10,"Sat, Dec 9, 2017",southern-utah,88,63,189,80.2,61.3
11,"Sat, Dec 16, 2017",oakland,86,73,202,80.72727272727273,62.36363636363637
12,"Mon, Dec 18, 2017",houston-baptist,107,62,247,82.91666666666667,62.333333333333336
13,"Thu, Dec 21, 2017",long-beach-state,102,60,289,84.38461538461539,62.15384615384615
14,"Fri, Dec 29, 2017",cleveland-state,111,61,339,86.28571428571429,62.07142857142857
15,"Sun, Dec 31, 2017",savannah-state,108,52,395,87.73333333333333,61.4
16,"Thu, Jan 4, 2018",maryland,91,61,425,87.9375,61.375
17,"Sun, Jan 7, 2018",ohio-state,64,80,409,86.52941176470588,62.470588235294116
18,"Wed, Jan 10, 2018",rutgers,76,72,413,85.94444444444444,63.0
19,"Sat, Jan 13, 2018",michigan,72,82,403,85.21052631578948,64.0
20,"Fri, Jan 19, 2018",indiana,85,57,431,85.2,63.65
21,"Mon, Jan 22, 2018",illinois,87,74,444,85.28571428571429,64.14285714285714
22,"Fri, Jan 26, 2018",wisconsin,76,61,459,84.86363636363636,64.0
23,"Sun, Jan 28, 2018",maryland,74,68,465,84.3913043478261,64.17391304347827
24,"Wed, Jan 31, 2018",penn-state,76,68,473,84.04166666666667,64.33333333333333
25,"Sat, Feb 3, 2018",indiana,63,60,476,83.2,64.16
26,"Tue, Feb 6, 2018",iowa,96,93,479,83.6923076923077,65.26923076923077
27,"Sat, Feb 10, 2018",purdue 3,68,65,482,83.11111111111111,65.25925925925925
28,"Tue, Feb 13, 2018",minnesota,87,57,512,83.25,64.96428571428571
29,"Sat, Feb 17, 2018",northwestern,65,60,517,82.62068965517241,64.79310344827586
30,"Tue, Feb 20, 2018",illinois,81,61,537,82.56666666666666,64.66666666666667
31,"Sun, Feb 25, 2018",wisconsin,68,63,542,82.09677419354838,64.61290322580645
G,Date,opponent,Tm,Opp,542,82.09677419354838,64.61290322580645
32,"Fri, Mar 2, 2018",wisconsin,63,60,545,81.5,64.46875
33,"Sat, Mar 3, 2018",michigan 15,64,75,534,80.96969696969697,64.78787878787878
G,Date,opponent,Tm,Opp,534,80.96969696969697,64.78787878787878
34,"Fri, Mar 16, 2018",bucknell,82,78,538,81.0,65.17647058823529
35,"Sun, Mar 18, 2018",syracuse,53,55,536,80.2,64.88571428571429
