G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",north-florida,86,66,20,86.0,66.0
2,"Mon, Nov 13, 2017",central-michigan,72,65,27,79.0,65.5
3,"Thu, Nov 16, 2017",southern-mississippi,61,47,41,73.0,59.333333333333336
4,"Mon, Nov 20, 2017",louisiana-state,75,77,39,73.5,63.75
5,"Tue, Nov 21, 2017",chaminade,102,64,77,79.2,63.8
6,"Wed, Nov 22, 2017",virginia-commonwealth,68,60,85,77.33333333333333,63.166666666666664
7,"Sun, Nov 26, 2017",california-riverside,87,42,130,78.71428571428571,60.142857142857146
8,"Wed, Nov 29, 2017",north-carolina 13,71,86,115,77.75,63.375
9,"Sat, Dec 2, 2017",indiana,69,55,129,76.77777777777777,62.44444444444444
10,"Mon, Dec 4, 2017",ohio-state,62,71,120,75.3,63.3
11,"Sat, Dec 9, 2017",californiala,78,69,129,75.54545454545455,63.81818181818182
12,"Tue, Dec 12, 2017",texas,59,52,136,74.16666666666667,62.833333333333336
13,"Sat, Dec 16, 2017",detroit-mercy,90,58,168,75.38461538461539,62.46153846153846
14,"Thu, Dec 21, 2017",alabama-am,97,47,218,76.92857142857143,61.357142857142854
15,"Sat, Dec 30, 2017",jacksonville,76,51,243,76.86666666666666,60.666666666666664
16,"Tue, Jan 2, 2018",iowa,75,68,250,76.75,61.125
17,"Sat, Jan 6, 2018",illinois,79,69,260,76.88235294117646,61.588235294117645
18,"Tue, Jan 9, 2018",purdue 5,69,70,259,76.44444444444444,62.05555555555556
19,"Sat, Jan 13, 2018",michigan-state 4,82,72,269,76.73684210526316,62.578947368421055
20,"Mon, Jan 15, 2018",maryland,68,67,270,76.3,62.8
21,"Thu, Jan 18, 2018",nebraska,52,72,250,75.14285714285714,63.23809523809524
22,"Sun, Jan 21, 2018",rutgers,62,47,265,74.54545454545455,62.5
23,"Thu, Jan 25, 2018",purdue 3,88,92,261,75.1304347826087,63.78260869565217
24,"Mon, Jan 29, 2018",northwestern,58,47,272,74.41666666666667,63.083333333333336
25,"Sat, Feb 3, 2018",minnesota,76,73,275,74.48,63.48
26,"Tue, Feb 6, 2018",northwestern,52,61,266,73.61538461538461,63.38461538461539
27,"Sun, Feb 11, 2018",wisconsin,83,72,277,73.96296296296296,63.7037037037037
28,"Wed, Feb 14, 2018",iowa,74,59,292,73.96428571428571,63.535714285714285
29,"Sun, Feb 18, 2018",ohio-state 8,74,62,304,73.96551724137932,63.48275862068966
30,"Wed, Feb 21, 2018",penn-state,72,63,313,73.9,63.46666666666667
31,"Sat, Feb 24, 2018",maryland,85,61,337,74.25806451612904,63.38709677419355
G,Date,opponent,Tm,Opp,337,74.25806451612904,63.38709677419355
32,"Thu, Mar 1, 2018",iowa,77,71,343,74.34375,63.625
33,"Fri, Mar 2, 2018",nebraska,77,58,362,74.42424242424242,63.45454545454545
34,"Sat, Mar 3, 2018",michigan-state 2,75,64,373,74.44117647058823,63.470588235294116
35,"Sun, Mar 4, 2018",purdue 8,75,66,382,74.45714285714286,63.542857142857144
G,Date,opponent,Tm,Opp,382,74.45714285714286,63.542857142857144
36,"Thu, Mar 15, 2018",montana,61,47,396,74.08333333333333,63.083333333333336
37,"Sat, Mar 17, 2018",houston 21,64,63,397,73.8108108108108,63.08108108108108
38,"Thu, Mar 22, 2018",texas-am,99,72,424,74.47368421052632,63.31578947368421
39,"Sat, Mar 24, 2018",florida-state,58,54,428,74.05128205128206,63.07692307692308
40,"Sat, Mar 31, 2018",loyola-il,69,57,440,73.925,62.925
41,"Mon, Apr 2, 2018",villanova 2,62,79,423,73.63414634146342,63.31707317073171
