G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",south-carolina-upstate,92,77,15,92.0,77.0
2,"Mon, Nov 13, 2017",providence,86,74,27,89.0,75.5
3,"Wed, Nov 15, 2017",niagara,107,81,53,95.0,77.33333333333333
4,"Sun, Nov 19, 2017",western-carolina,92,64,81,94.25,74.0
5,"Tue, Nov 21, 2017",alabama-am,100,57,124,95.4,70.6
6,"Fri, Nov 24, 2017",massachusetts,69,51,142,91.0,67.33333333333333
7,"Sat, Nov 25, 2017",alabama 25,89,84,147,90.71428571428571,69.71428571428571
8,"Wed, Nov 29, 2017",miami-fl 10,81,86,142,89.5,71.75
9,"Sun, Dec 3, 2017",rutgers,89,67,164,89.44444444444444,71.22222222222223
10,"Tue, Dec 5, 2017",nebraska,68,78,154,87.3,71.9
11,"Sat, Dec 9, 2017",arkansas,79,95,138,86.54545454545455,74.0
12,"Mon, Dec 11, 2017",drake,68,67,139,85.0,73.41666666666667
13,"Thu, Dec 21, 2017",oral-roberts,77,63,153,84.38461538461539,72.61538461538461
14,"Sat, Dec 23, 2017",florida-atlantic,95,60,188,85.14285714285714,71.71428571428571
15,"Sat, Dec 30, 2017",harvard,65,55,198,83.8,70.6
16,"Wed, Jan 3, 2018",illinois,77,67,208,83.375,70.375
17,"Sat, Jan 6, 2018",indiana,71,75,204,82.6470588235294,70.6470588235294
18,"Wed, Jan 10, 2018",northwestern,60,83,181,81.38888888888889,71.33333333333333
19,"Sat, Jan 13, 2018",purdue 5,47,81,147,79.57894736842105,71.84210526315789
20,"Mon, Jan 15, 2018",penn-state,95,84,158,80.35,72.45
21,"Thu, Jan 18, 2018",maryland,66,77,147,79.66666666666667,72.66666666666667
22,"Sat, Jan 20, 2018",ohio-state 22,49,67,129,78.27272727272727,72.4090909090909
23,"Tue, Jan 23, 2018",northwestern,69,77,121,77.8695652173913,72.6086956521739
24,"Tue, Jan 30, 2018",iowa,80,94,107,77.95833333333333,73.5
25,"Sat, Feb 3, 2018",michigan 24,73,76,104,77.76,73.6
26,"Tue, Feb 6, 2018",nebraska,85,91,98,78.03846153846153,74.26923076923077
27,"Fri, Feb 9, 2018",indiana,56,80,74,77.22222222222223,74.48148148148148
28,"Tue, Feb 13, 2018",michigan-state 2,57,87,44,76.5,74.92857142857143
29,"Mon, Feb 19, 2018",wisconsin,63,73,34,76.03448275862068,74.86206896551724
30,"Wed, Feb 21, 2018",iowa,86,82,38,76.36666666666666,75.1
31,"Sun, Feb 25, 2018",purdue 9,60,84,14,75.83870967741936,75.38709677419355
G,Date,opponent,Tm,Opp,14,75.83870967741936,75.38709677419355
32,"Wed, Feb 28, 2018",rutgers,54,65,3,75.15625,75.0625
