G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",louisiana-lafayette,94,76,18,94.0,76.0
2,"Mon, Nov 13, 2017",eastern-kentucky,85,75,28,89.5,75.5
3,"Fri, Nov 17, 2017",georgia-state,77,72,33,85.33333333333333,74.33333333333333
4,"Tue, Nov 21, 2017",utah,74,83,24,82.5,76.5
5,"Wed, Nov 22, 2017",rice,79,62,41,81.8,73.6
6,"Tue, Nov 28, 2017",south-dakota-state,97,99,39,84.33333333333333,77.83333333333333
7,"Sat, Dec 2, 2017",virginia-tech,80,83,36,83.71428571428571,78.57142857142857
8,"Sat, Dec 9, 2017",middle-tennessee,58,77,17,80.5,78.375
9,"Wed, Dec 13, 2017",sam-houston-state,82,69,30,80.66666666666667,77.33333333333333
10,"Sat, Dec 16, 2017",illinois-state,97,101,26,82.3,79.7
11,"Tue, Dec 19, 2017",texas-am-corpus-christi,85,63,48,82.54545454545455,78.18181818181819
12,"Fri, Dec 22, 2017",bradley,82,59,71,82.5,76.58333333333333
13,"Sun, Dec 31, 2017",south-carolina,74,69,76,81.84615384615384,76.0
14,"Wed, Jan 3, 2018",georgia,60,71,65,80.28571428571429,75.64285714285714
15,"Sat, Jan 6, 2018",mississippi-state,64,58,71,79.2,74.46666666666667
16,"Tue, Jan 9, 2018",auburn 22,70,85,56,78.625,75.125
17,"Sat, Jan 13, 2018",florida,78,72,62,78.58823529411765,74.94117647058823
18,"Tue, Jan 16, 2018",texas-am,69,71,60,78.05555555555556,74.72222222222223
19,"Sat, Jan 20, 2018",arkansas,93,97,56,78.84210526315789,75.89473684210526
20,"Tue, Jan 23, 2018",alabama,78,66,68,78.8,75.4
21,"Sat, Jan 27, 2018",texas,72,85,55,78.47619047619048,75.85714285714286
22,"Tue, Jan 30, 2018",auburn 11,70,79,46,78.0909090909091,76.0
23,"Sat, Feb 3, 2018",tennessee 18,61,94,13,77.34782608695652,76.78260869565217
24,"Tue, Feb 6, 2018",missouri,69,75,7,77.0,76.70833333333333
25,"Sat, Feb 10, 2018",louisiana-state,66,82,-9,76.56,76.92
26,"Tue, Feb 13, 2018",arkansas,64,75,-20,76.07692307692308,76.84615384615384
27,"Sat, Feb 17, 2018",mississippi-state,62,79,-37,75.55555555555556,76.92592592592592
28,"Tue, Feb 20, 2018",missouri,90,87,-34,76.07142857142857,77.28571428571429
29,"Sat, Feb 24, 2018",tennessee 19,65,73,-42,75.6896551724138,77.13793103448276
30,"Wed, Feb 28, 2018",kentucky 23,78,96,-60,75.76666666666667,77.76666666666667
31,"Sat, Mar 3, 2018",vanderbilt,69,82,-73,75.54838709677419,77.90322580645162
G,Date,opponent,Tm,Opp,-73,75.54838709677419,77.90322580645162
32,"Wed, Mar 7, 2018",south-carolina,84,85,-74,75.8125,78.125
