G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",eastern-illinois,72,68,4,72.0,68.0
2,"Mon, Nov 13, 2017",north-texas,86,67,23,79.0,67.5
3,"Thu, Nov 16, 2017",st-johns-ny,56,79,0,71.33333333333333,71.33333333333333
4,"Sun, Nov 19, 2017",north-dakota,92,70,22,76.5,71.0
5,"Thu, Nov 23, 2017",central-florida,59,68,13,73.0,70.4
6,"Fri, Nov 24, 2017",marist,84,59,38,74.83333333333333,68.5
7,"Sun, Nov 26, 2017",long-beach-state,85,80,43,76.28571428571429,70.14285714285714
8,"Wed, Nov 29, 2017",boston-college,71,62,52,75.625,69.125
9,"Sun, Dec 3, 2017",michigan-state 3,57,86,23,73.55555555555556,71.0
10,"Tue, Dec 5, 2017",minnesota 14,78,68,33,74.0,70.7
11,"Sat, Dec 9, 2017",creighton,65,75,23,73.18181818181819,71.0909090909091
12,"Sat, Dec 16, 2017",kansas 13,72,73,22,73.08333333333333,71.25
13,"Wed, Dec 20, 2017",texas-san-antonio,104,94,32,75.46153846153847,73.0
14,"Fri, Dec 22, 2017",delaware-state,85,68,49,76.14285714285714,72.64285714285714
15,"Fri, Dec 29, 2017",stetson,71,62,58,75.8,71.93333333333334
16,"Tue, Jan 2, 2018",northwestern,70,55,73,75.4375,70.875
17,"Sat, Jan 6, 2018",purdue 13,62,74,61,74.6470588235294,71.05882352941177
18,"Tue, Jan 9, 2018",wisconsin,63,59,65,74.0,70.38888888888889
19,"Fri, Jan 12, 2018",penn-state,74,76,63,74.0,70.6842105263158
20,"Mon, Jan 15, 2018",illinois,64,63,64,73.5,70.3
21,"Thu, Jan 18, 2018",michigan 23,72,52,84,73.42857142857143,69.42857142857143
22,"Mon, Jan 22, 2018",ohio-state 13,59,64,79,72.77272727272727,69.18181818181819
23,"Wed, Jan 24, 2018",rutgers,60,54,85,72.21739130434783,68.52173913043478
24,"Sat, Jan 27, 2018",iowa,98,84,99,73.29166666666667,69.16666666666667
25,"Mon, Jan 29, 2018",wisconsin,74,63,110,73.32,68.92
26,"Tue, Feb 6, 2018",minnesota,91,85,116,74.0,69.53846153846153
27,"Sat, Feb 10, 2018",rutgers,67,55,128,73.74074074074075,69.0
28,"Tue, Feb 13, 2018",maryland,70,66,132,73.60714285714286,68.89285714285714
29,"Sun, Feb 18, 2018",illinois,66,72,126,73.34482758620689,69.0
30,"Tue, Feb 20, 2018",indiana,66,57,135,73.1,68.6
31,"Sun, Feb 25, 2018",penn-state,76,64,147,73.19354838709677,68.45161290322581
G,Date,opponent,Tm,Opp,147,73.19354838709677,68.45161290322581
32,"Fri, Mar 2, 2018",michigan 15,58,77,128,72.71875,68.71875
G,Date,opponent,Tm,Opp,128,72.71875,68.71875
33,"Wed, Mar 14, 2018",mississippi-state,59,66,121,72.3030303030303,68.63636363636364
