G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",florida-am,108,66,42,108.0,66.0
2,"Wed, Nov 15, 2017",prairie-view,98,63,77,103.0,64.5
3,"Fri, Nov 17, 2017",eastern-washington,91,76,92,99.0,68.33333333333333
4,"Mon, Nov 20, 2017",rice,95,68,119,98.0,68.25
5,"Thu, Nov 23, 2017",utah,85,58,146,95.4,66.2
6,"Sat, Nov 25, 2017",southern-utah,101,82,165,96.33333333333333,68.83333333333333
7,"Wed, Nov 29, 2017",northern-iowa,68,77,156,92.28571428571429,70.0
8,"Sat, Dec 2, 2017",arizona,88,91,153,91.75,72.625
9,"Tue, Dec 5, 2017",oral-roberts,92,66,179,91.77777777777777,71.88888888888889
10,"Sat, Dec 9, 2017",illinois,89,82,186,91.5,72.9
11,"Sat, Dec 16, 2017",pacific,81,76,191,90.54545454545455,73.18181818181819
12,"Wed, Dec 20, 2017",mississippi-valley-state,95,63,223,90.91666666666667,72.33333333333333
13,"Fri, Dec 22, 2017",northern-colorado,94,91,226,91.15384615384616,73.76923076923077
14,"Sat, Dec 30, 2017",boise-state,74,83,217,89.92857142857143,74.42857142857143
15,"Wed, Jan 3, 2018",san-jose-state,82,76,223,89.4,74.53333333333333
16,"Sat, Jan 6, 2018",utah-state,78,85,216,88.6875,75.1875
17,"Wed, Jan 10, 2018",air-force,81,76,221,88.23529411764706,75.23529411764706
18,"Wed, Jan 17, 2018",new-mexico,81,85,217,87.83333333333333,75.77777777777777
19,"Sat, Jan 20, 2018",colorado-state,79,74,222,87.36842105263158,75.6842105263158
20,"Tue, Jan 23, 2018",fresno-state,63,69,216,86.15,75.35
21,"Sat, Jan 27, 2018",san-diego-state,88,78,226,86.23809523809524,75.47619047619048
22,"Wed, Jan 31, 2018",san-jose-state,76,67,235,85.77272727272727,75.0909090909091
23,"Sat, Feb 3, 2018",boise-state,91,93,233,86.0,75.8695652173913
24,"Wed, Feb 7, 2018",nevada 23,86,78,241,86.0,75.95833333333333
25,"Sat, Feb 10, 2018",wyoming,85,70,256,85.96,75.72
26,"Wed, Feb 14, 2018",air-force,81,73,264,85.76923076923077,75.61538461538461
27,"Sat, Feb 17, 2018",san-diego-state,56,94,226,84.66666666666667,76.29629629629629
28,"Wed, Feb 21, 2018",fresno-state,64,77,213,83.92857142857143,76.32142857142857
29,"Sun, Feb 25, 2018",new-mexico,90,91,212,84.13793103448276,76.82758620689656
30,"Wed, Feb 28, 2018",nevada 21,75,101,186,83.83333333333333,77.63333333333334
31,"Sat, Mar 3, 2018",utah-state,67,79,174,83.29032258064517,77.6774193548387
G,Date,opponent,Tm,Opp,174,83.29032258064517,77.6774193548387
32,"Wed, Mar 7, 2018",air-force,97,90,181,83.71875,78.0625
33,"Thu, Mar 8, 2018",nevada 22,74,79,176,83.42424242424242,78.0909090909091
