G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",idaho,88,64,24,88.0,64.0
2,"Mon, Nov 13, 2017",rhode-island,88,81,31,88.0,72.5
3,"Wed, Nov 15, 2017",santa-clara,93,63,61,89.66666666666667,69.33333333333333
4,"Sat, Nov 18, 2017",pacific,89,74,76,89.5,70.5
5,"Tue, Nov 21, 2017",davidson,81,68,89,87.8,70.0
6,"Sat, Nov 25, 2017",hawaii,67,54,102,84.33333333333333,67.33333333333333
7,"Wed, Nov 29, 2017",illinois-state,98,68,132,86.28571428571429,67.42857142857143
8,"Sat, Dec 2, 2017",california-irvine,76,65,143,85.0,67.125
9,"Tue, Dec 5, 2017",texas-tech,76,82,137,84.0,68.77777777777777
10,"Sat, Dec 9, 2017",texas-christian 20,80,84,133,83.6,70.3
11,"Sun, Dec 17, 2017",radford,77,62,148,83.0,69.54545454545455
12,"Tue, Dec 19, 2017",california-davis,88,73,163,83.41666666666667,69.83333333333333
13,"Fri, Dec 22, 2017",southern-illinois,86,64,185,83.61538461538461,69.38461538461539
14,"Sat, Dec 23, 2017",san-francisco,64,66,183,82.21428571428571,69.14285714285714
15,"Wed, Dec 27, 2017",fresno-state,80,65,198,82.06666666666666,68.86666666666666
16,"Sat, Dec 30, 2017",new-mexico,77,74,201,81.75,69.1875
17,"Wed, Jan 3, 2018",wyoming,92,83,210,82.3529411764706,70.0
18,"Sat, Jan 6, 2018",air-force,86,75,221,82.55555555555556,70.27777777777777
19,"Sat, Jan 13, 2018",utah-state,83,57,247,82.57894736842105,69.57894736842105
20,"Wed, Jan 17, 2018",san-jose-state,71,54,264,82.0,68.8
21,"Sat, Jan 20, 2018",boise-state,74,68,270,81.61904761904762,68.76190476190476
22,"Wed, Jan 24, 2018",wyoming,103,104,269,82.5909090909091,70.36363636363636
23,"Wed, Jan 31, 2018",fresno-state,102,92,279,83.43478260869566,71.30434782608695
24,"Sat, Feb 3, 2018",colorado-state,76,67,288,83.125,71.125
25,"Wed, Feb 7, 2018",nevada-las-vegas,78,86,280,82.92,71.72
26,"Sat, Feb 10, 2018",san-diego-state,83,58,305,82.92307692307692,71.1923076923077
27,"Wed, Feb 14, 2018",boise-state,77,72,310,82.70370370370371,71.22222222222223
28,"Sat, Feb 17, 2018",utah-state,93,87,316,83.07142857142857,71.78571428571429
29,"Wed, Feb 21, 2018",san-jose-state,80,67,329,82.96551724137932,71.62068965517241
30,"Sun, Feb 25, 2018",colorado-state,92,83,338,83.26666666666667,72.0
31,"Wed, Feb 28, 2018",nevada-las-vegas,101,75,364,83.83870967741936,72.09677419354838
32,"Sat, Mar 3, 2018",san-diego-state,74,79,359,83.53125,72.3125
G,Date,opponent,Tm,Opp,359,83.53125,72.3125
33,"Thu, Mar 8, 2018",nevada-las-vegas,79,74,364,83.39393939393939,72.36363636363636
34,"Fri, Mar 9, 2018",san-diego-state,73,90,347,83.08823529411765,72.88235294117646
G,Date,opponent,Tm,Opp,347,83.08823529411765,72.88235294117646
35,"Fri, Mar 16, 2018",texas,87,83,351,83.2,73.17142857142858
36,"Sun, Mar 18, 2018",cincinnati 6,75,73,353,82.97222222222223,73.16666666666667
37,"Thu, Mar 22, 2018",loyola-il,68,69,352,82.56756756756756,73.05405405405405
