G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Sat, Nov 11, 2017",northern-new-mexico,147,76,71,147.0,76.0
2,"Tue, Nov 14, 2017",nebraska-omaha,103,71,103,125.0,73.5
3,"Fri, Nov 17, 2017",new-mexico-state,56,75,84,102.0,74.0
4,"Tue, Nov 21, 2017",tennessee-tech,96,104,76,100.5,81.5
5,"Fri, Nov 24, 2017",texas-christian,67,69,74,93.8,79.0
6,"Sat, Nov 25, 2017",maryland,65,80,59,89.0,79.16666666666667
7,"Wed, Nov 29, 2017",evansville,78,59,78,87.42857142857143,76.28571428571429
8,"Sat, Dec 2, 2017",texas-el-paso,76,88,66,86.0,77.75
9,"Wed, Dec 6, 2017",colorado,57,75,48,82.77777777777777,77.44444444444444
10,"Sat, Dec 9, 2017",new-mexico-state,62,65,45,80.7,76.2
11,"Sat, Dec 16, 2017",arizona 23,73,89,29,80.0,77.36363636363636
12,"Tue, Dec 19, 2017",rice,78,69,38,79.83333333333333,76.66666666666667
13,"Fri, Dec 22, 2017",prairie-view,87,78,47,80.38461538461539,76.76923076923077
14,"Wed, Dec 27, 2017",air-force,87,58,76,80.85714285714286,75.42857142857143
15,"Sat, Dec 30, 2017",nevada,74,77,73,80.4,75.53333333333333
16,"Wed, Jan 3, 2018",boise-state,62,90,45,79.25,76.4375
17,"Sat, Jan 6, 2018",san-jose-state,80,47,78,79.29411764705883,74.70588235294117
18,"Wed, Jan 10, 2018",wyoming,75,66,87,79.05555555555556,74.22222222222223
19,"Sat, Jan 13, 2018",fresno-state,80,89,78,79.10526315789474,75.0
20,"Wed, Jan 17, 2018",nevada-las-vegas,85,81,82,79.4,75.3
21,"Sat, Jan 20, 2018",san-diego-state,79,75,86,79.38095238095238,75.28571428571429
22,"Sat, Jan 27, 2018",colorado-state,80,65,101,79.4090909090909,74.81818181818181
23,"Wed, Jan 31, 2018",utah-state,80,89,92,79.43478260869566,75.43478260869566
24,"Sat, Feb 3, 2018",san-jose-state,71,68,95,79.08333333333333,75.125
25,"Tue, Feb 6, 2018",boise-state,71,73,93,78.76,75.04
26,"Sat, Feb 10, 2018",air-force,92,100,85,79.26923076923077,76.0
27,"Wed, Feb 14, 2018",utah-state,78,63,100,79.22222222222223,75.51851851851852
28,"Tue, Feb 20, 2018",wyoming,119,114,105,80.64285714285714,76.89285714285714
29,"Sun, Feb 25, 2018",nevada-las-vegas,91,90,106,81.0,77.34482758620689
30,"Wed, Feb 28, 2018",colorado-state,108,87,127,81.9,77.66666666666667
31,"Sat, Mar 3, 2018",fresno-state,95,86,136,82.3225806451613,77.93548387096774
G,Date,opponent,Tm,Opp,136,82.3225806451613,77.93548387096774
32,"Thu, Mar 8, 2018",wyoming,85,75,146,82.40625,77.84375
33,"Fri, Mar 9, 2018",utah-state,83,68,161,82.42424242424242,77.54545454545455
34,"Sat, Mar 10, 2018",san-diego-state,75,82,154,82.20588235294117,77.67647058823529
