G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",virginia-military-institute,102,67,35,102.0,67.0
2,"Sun, Nov 12, 2017",charleston-southern,78,56,57,90.0,61.5
3,"Tue, Nov 14, 2017",bryant,95,72,80,91.66666666666667,65.0
4,"Thu, Nov 16, 2017",presbyterian,86,68,98,90.25,65.75
5,"Wed, Nov 22, 2017",arizona 2,90,84,104,90.2,69.4
6,"Thu, Nov 23, 2017",northern-iowa,60,64,100,85.16666666666667,68.5
7,"Fri, Nov 24, 2017",tennessee,58,67,91,81.28571428571429,68.28571428571429
8,"Wed, Nov 29, 2017",penn-state,85,78,98,81.75,69.5
9,"Sat, Dec 2, 2017",south-carolina-state,103,71,130,84.11111111111111,69.66666666666667
10,"Sat, Dec 9, 2017",missouri-kansas-city,88,69,149,84.5,69.6
11,"Sat, Dec 16, 2017",north-carolina-greensboro,76,81,144,83.72727272727273,70.63636363636364
12,"Tue, Dec 19, 2017",robert-morris,81,69,156,83.5,70.5
13,"Fri, Dec 22, 2017",jacksonville,116,64,208,86.0,70.0
14,"Sat, Dec 30, 2017",clemson,62,78,192,84.28571428571429,70.57142857142857
15,"Wed, Jan 3, 2018",notre-dame,58,88,162,82.53333333333333,71.73333333333333
16,"Sat, Jan 6, 2018",duke 2,96,85,173,83.375,72.5625
17,"Thu, Jan 11, 2018",clemson 19,78,77,174,83.05882352941177,72.82352941176471
18,"Sun, Jan 14, 2018",virginia 3,51,68,157,81.27777777777777,72.55555555555556
19,"Thu, Jan 18, 2018",wake-forest,72,63,166,80.78947368421052,72.05263157894737
20,"Sun, Jan 21, 2018",miami-fl 25,81,86,161,80.8,72.75
21,"Wed, Jan 24, 2018",pittsburgh,72,68,165,80.38095238095238,72.52380952380952
22,"Sat, Jan 27, 2018",north-carolina 10,95,91,169,81.04545454545455,73.36363636363636
23,"Sat, Feb 3, 2018",notre-dame,76,58,187,80.82608695652173,72.69565217391305
24,"Wed, Feb 7, 2018",virginia-tech,75,85,177,80.58333333333333,73.20833333333333
25,"Sat, Feb 10, 2018",north-carolina 21,89,96,170,80.92,74.12
26,"Wed, Feb 14, 2018",syracuse,74,70,174,80.65384615384616,73.96153846153847
27,"Sat, Feb 17, 2018",wake-forest,90,84,180,81.0,74.33333333333333
28,"Tue, Feb 20, 2018",boston-college,82,66,196,81.03571428571429,74.03571428571429
29,"Sun, Feb 25, 2018",florida-state 25,92,72,216,81.41379310344827,73.96551724137932
30,"Thu, Mar 1, 2018",georgia-tech,75,78,213,81.2,74.1
31,"Sat, Mar 3, 2018",louisville,76,69,220,81.03225806451613,73.93548387096774
G,Date,opponent,Tm,Opp,220,81.03225806451613,73.93548387096774
32,"Wed, Mar 7, 2018",boston-college,87,91,216,81.21875,74.46875
G,Date,opponent,Tm,Opp,216,81.21875,74.46875
33,"Thu, Mar 15, 2018",seton-hall,83,94,205,81.27272727272727,75.06060606060606
