G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",robert-morris,95,64,31,95.0,64.0
2,"Sun, Nov 12, 2017",radford,82,72,41,88.5,68.0
3,"Thu, Nov 16, 2017",texas-southern,82,64,59,86.33333333333333,66.66666666666667
4,"Sun, Nov 19, 2017",northeastern,80,55,84,84.75,63.75
5,"Thu, Nov 23, 2017",gonzaga 17,59,86,57,79.6,68.2
6,"Fri, Nov 24, 2017",stanford,79,71,65,79.5,68.66666666666667
7,"Sun, Nov 26, 2017",butler,66,67,64,77.57142857142857,68.42857142857143
8,"Wed, Nov 29, 2017",clemson,65,79,50,76.0,69.75
9,"Sat, Dec 2, 2017",wisconsin,83,58,75,76.77777777777777,68.44444444444444
10,"Mon, Dec 4, 2017",michigan,71,62,84,76.2,67.8
11,"Sat, Dec 9, 2017",william-mary,97,62,119,78.0909090909091,67.27272727272727
12,"Sat, Dec 16, 2017",appalachian-state,80,67,132,78.25,67.25
13,"Tue, Dec 19, 2017",citadel,94,65,161,79.46153846153847,67.07692307692308
14,"Sat, Dec 23, 2017",north-carolina 5,72,86,147,78.92857142857143,68.42857142857143
15,"Sat, Dec 30, 2017",miami-oh,72,59,160,78.46666666666667,67.8
16,"Thu, Jan 4, 2018",iowa,92,81,171,79.3125,68.625
17,"Sun, Jan 7, 2018",michigan-state 1,80,64,187,79.3529411764706,68.3529411764706
18,"Thu, Jan 11, 2018",maryland,91,69,209,80.0,68.38888888888889
19,"Sun, Jan 14, 2018",rutgers,68,46,231,79.36842105263158,67.21052631578948
20,"Wed, Jan 17, 2018",northwestern,71,65,237,78.95,67.1
21,"Sat, Jan 20, 2018",minnesota,67,49,255,78.38095238095238,66.23809523809524
22,"Mon, Jan 22, 2018",nebraska,64,59,260,77.72727272727273,65.9090909090909
23,"Thu, Jan 25, 2018",penn-state,79,82,257,77.78260869565217,66.6086956521739
24,"Tue, Jan 30, 2018",indiana,71,56,272,77.5,66.16666666666667
25,"Sun, Feb 4, 2018",illinois,75,67,280,77.4,66.2
26,"Wed, Feb 7, 2018",purdue 3,64,63,281,76.88461538461539,66.07692307692308
27,"Sat, Feb 10, 2018",iowa,82,64,299,77.07407407407408,66.0
28,"Thu, Feb 15, 2018",penn-state,56,79,276,76.32142857142857,66.46428571428571
29,"Sun, Feb 18, 2018",michigan 22,62,74,264,75.82758620689656,66.72413793103448
30,"Tue, Feb 20, 2018",rutgers,79,52,291,75.93333333333334,66.23333333333333
31,"Fri, Feb 23, 2018",indiana,80,78,293,76.06451612903226,66.61290322580645
G,Date,opponent,Tm,Opp,293,76.06451612903226,66.61290322580645
32,"Fri, Mar 2, 2018",penn-state,68,69,292,75.8125,66.6875
G,Date,opponent,Tm,Opp,292,75.8125,66.6875
33,"Thu, Mar 15, 2018",south-dakota-state,81,73,300,75.96969696969697,66.87878787878788
34,"Sat, Mar 17, 2018",gonzaga 8,84,90,294,76.20588235294117,67.55882352941177
