G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",southern-utah,99,82,17,99.0,82.0
2,"Mon, Nov 13, 2017",wyoming,66,75,8,82.5,78.5
3,"Sat, Nov 18, 2017",long-beach-state,89,81,16,84.66666666666667,79.33333333333333
4,"Thu, Nov 23, 2017",st-johns-ny,77,82,11,82.75,80.0
5,"Fri, Nov 24, 2017",long-beach-state,69,74,6,80.0,78.8
6,"Sun, Nov 26, 2017",marist,65,46,25,77.5,73.33333333333333
7,"Sat, Dec 2, 2017",loyola-marymount,78,74,29,77.57142857142857,73.42857142857143
8,"Tue, Dec 5, 2017",eastern-kentucky,74,62,41,77.125,72.0
9,"Sat, Dec 9, 2017",arkansas-pine-bluff,85,58,68,78.0,70.44444444444444
10,"Tue, Dec 12, 2017",jacksonville-state,70,69,69,77.2,70.3
11,"Sat, Dec 16, 2017",saint-louis,63,60,72,75.9090909090909,69.36363636363636
12,"Thu, Dec 21, 2017",kent-state,78,79,71,76.08333333333333,70.16666666666667
13,"Fri, Dec 29, 2017",colorado,76,57,90,76.07692307692308,69.15384615384616
14,"Sun, Dec 31, 2017",utah,64,66,88,75.21428571428571,68.92857142857143
15,"Fri, Jan 5, 2018",oregon,76,64,100,75.26666666666667,68.6
16,"Thu, Jan 11, 2018",arizona 17,53,62,91,73.875,68.1875
17,"Sat, Jan 13, 2018",arizona-state 11,75,77,89,73.94117647058823,68.70588235294117
18,"Thu, Jan 18, 2018",ucla,69,63,95,73.66666666666667,68.38888888888889
19,"Sat, Jan 20, 2018",southern-california,67,74,88,73.3157894736842,68.6842105263158
20,"Sat, Jan 27, 2018",oregon,57,66,79,72.5,68.55
21,"Thu, Feb 1, 2018",stanford,71,80,70,72.42857142857143,69.0952380952381
22,"Sat, Feb 3, 2018",california,70,74,66,72.31818181818181,69.31818181818181
23,"Thu, Feb 8, 2018",washington-state,94,62,98,73.26086956521739,69.0
24,"Sat, Feb 10, 2018",washington,97,94,101,74.25,70.04166666666667
25,"Thu, Feb 15, 2018",ucla,68,75,94,74.0,70.24
26,"Sat, Feb 17, 2018",southern-california,59,72,81,73.42307692307692,70.3076923076923
27,"Thu, Feb 22, 2018",arizona 14,65,75,71,73.11111111111111,70.48148148148148
28,"Sat, Feb 24, 2018",arizona-state,79,75,75,73.32142857142857,70.64285714285714
29,"Thu, Mar 1, 2018",washington,77,79,73,73.44827586206897,70.93103448275862
30,"Sat, Mar 3, 2018",washington-state,92,67,98,74.06666666666666,70.8
G,Date,opponent,Tm,Opp,98,74.06666666666666,70.8
31,"Wed, Mar 7, 2018",washington,69,66,101,73.90322580645162,70.64516129032258
32,"Thu, Mar 8, 2018",southern-california,48,61,88,73.09375,70.34375
