G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",coppin-state,70,54,16,70.0,54.0
2,"Mon, Nov 13, 2017",prairie-view,100,67,49,85.0,60.5
3,"Fri, Nov 17, 2017",alabama-state,114,56,107,94.66666666666667,59.0
4,"Sun, Nov 19, 2017",ball-state,95,71,131,94.75,62.0
5,"Thu, Nov 23, 2017",connecticut,63,71,123,88.4,63.8
6,"Fri, Nov 24, 2017",depaul,89,79,133,88.5,66.33333333333333
7,"Sun, Nov 26, 2017",oklahoma,80,90,123,87.28571428571429,69.71428571428571
8,"Fri, Dec 1, 2017",boise-state,70,73,120,85.125,70.125
9,"Fri, Dec 8, 2017",colorado-state,95,65,150,86.22222222222223,69.55555555555556
10,"Mon, Dec 11, 2017",texas-southern,74,68,156,85.0,69.4
11,"Wed, Dec 13, 2017",portland-state,95,84,167,85.9090909090909,70.72727272727273
12,"Sat, Dec 16, 2017",fresno-state,68,61,174,84.41666666666667,69.91666666666667
13,"Wed, Dec 20, 2017",central-arkansas,96,82,188,85.3076923076923,70.84615384615384
14,"Fri, Dec 29, 2017",utah,56,66,178,83.21428571428571,70.5
15,"Sun, Dec 31, 2017",colorado,77,62,193,82.8,69.93333333333334
16,"Fri, Jan 5, 2018",oregon-state,64,76,181,81.625,70.3125
17,"Thu, Jan 11, 2018",arizona-state 11,76,72,185,81.29411764705883,70.41176470588235
18,"Sat, Jan 13, 2018",arizona 17,83,90,178,81.38888888888889,71.5
19,"Thu, Jan 18, 2018",southern-california,70,75,173,80.78947368421052,71.6842105263158
20,"Sat, Jan 20, 2018",ucla,94,91,176,81.45,72.65
21,"Sat, Jan 27, 2018",oregon-state,66,57,185,80.71428571428571,71.9047619047619
22,"Thu, Feb 1, 2018",california,66,53,198,80.04545454545455,71.04545454545455
23,"Sat, Feb 3, 2018",stanford,61,96,163,79.21739130434783,72.1304347826087
24,"Thu, Feb 8, 2018",washington,65,40,188,78.625,70.79166666666667
25,"Sun, Feb 11, 2018",washington-state,84,57,215,78.84,70.24
26,"Thu, Feb 15, 2018",southern-california,70,72,213,78.5,70.3076923076923
27,"Sat, Feb 17, 2018",ucla,78,86,205,78.48148148148148,70.88888888888889
28,"Thu, Feb 22, 2018",arizona-state,75,68,212,78.35714285714286,70.78571428571429
29,"Sat, Feb 24, 2018",arizona 14,98,93,217,79.03448275862068,71.55172413793103
30,"Thu, Mar 1, 2018",washington-state,76,78,215,78.93333333333334,71.76666666666667
31,"Sat, Mar 3, 2018",washington,72,64,223,78.70967741935483,71.51612903225806
G,Date,opponent,Tm,Opp,223,78.70967741935483,71.51612903225806
32,"Wed, Mar 7, 2018",washington-state,64,62,225,78.25,71.21875
33,"Thu, Mar 8, 2018",utah,68,66,227,77.93939393939394,71.06060606060606
34,"Fri, Mar 9, 2018",southern-california,54,74,207,77.23529411764706,71.1470588235294
G,Date,opponent,Tm,Opp,207,77.23529411764706,71.1470588235294
35,"Tue, Mar 13, 2018",rider,99,86,220,77.85714285714286,71.57142857142857
36,"Sun, Mar 18, 2018",marquette,92,101,211,78.25,72.38888888888889
