G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",navy,62,71,-9,62.0,71.0
2,"Mon, Nov 13, 2017",montana,78,83,-14,70.0,77.0
3,"Wed, Nov 15, 2017",california-santa-barbara,70,62,-6,70.0,72.0
4,"Mon, Nov 20, 2017",penn-state,54,85,-37,66.0,75.25
5,"Tue, Nov 21, 2017",oklahoma-state,67,73,-43,66.2,74.8
6,"Sat, Nov 25, 2017",lehigh,80,68,-31,68.5,73.66666666666667
7,"Tue, Nov 28, 2017",high-point,71,63,-23,68.85714285714286,72.14285714285714
8,"Fri, Dec 1, 2017",duquesne,76,64,-11,69.75,71.125
9,"Tue, Dec 5, 2017",mount-st-marys,82,78,-7,71.11111111111111,71.88888888888889
10,"Sat, Dec 9, 2017",west-virginia 18,60,69,-16,70.0,71.6
11,"Sat, Dec 16, 2017",mcneese-state,72,51,5,70.18181818181819,69.72727272727273
12,"Tue, Dec 19, 2017",delaware-state,74,68,11,70.5,69.58333333333333
13,"Fri, Dec 22, 2017",towson,63,59,15,69.92307692307692,68.76923076923077
14,"Sat, Dec 30, 2017",miami-fl 15,53,67,1,68.71428571428571,68.64285714285714
15,"Tue, Jan 2, 2018",louisville,51,77,-25,67.53333333333333,69.2
16,"Sat, Jan 6, 2018",virginia-tech,67,81,-39,67.5,69.9375
17,"Wed, Jan 10, 2018",duke 7,52,87,-74,66.58823529411765,70.94117647058823
18,"Sat, Jan 13, 2018",georgia-tech,54,69,-89,65.88888888888889,70.83333333333333
19,"Tue, Jan 16, 2018",syracuse,45,59,-103,64.78947368421052,70.21052631578948
20,"Sat, Jan 20, 2018",duke 5,54,81,-130,64.25,70.75
21,"Wed, Jan 24, 2018",north-carolina-state,68,72,-134,64.42857142857143,70.80952380952381
22,"Sat, Jan 27, 2018",syracuse,55,60,-139,64.0,70.31818181818181
23,"Wed, Jan 31, 2018",miami-fl,57,69,-151,63.69565217391305,70.26086956521739
24,"Sat, Feb 3, 2018",north-carolina 19,65,96,-182,63.75,71.33333333333333
25,"Thu, Feb 8, 2018",clemson 16,48,72,-206,63.12,71.36
26,"Sun, Feb 11, 2018",louisville,60,94,-240,63.0,72.23076923076923
27,"Tue, Feb 13, 2018",boston-college,58,81,-263,62.81481481481482,72.55555555555556
28,"Sun, Feb 18, 2018",florida-state,75,88,-276,63.25,73.10714285714286
29,"Wed, Feb 21, 2018",wake-forest,57,63,-282,63.03448275862069,72.75862068965517
30,"Sat, Feb 24, 2018",virginia 1,37,66,-311,62.166666666666664,72.53333333333333
31,"Wed, Feb 28, 2018",notre-dame,56,73,-328,61.96774193548387,72.54838709677419
G,Date,opponent,Tm,Opp,-328,61.96774193548387,72.54838709677419
32,"Tue, Mar 6, 2018",notre-dame,64,67,-331,62.03125,72.375
