G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",houston-baptist,84,55,29,84.0,55.0
2,"Mon, Nov 13, 2017",minnesota 14,74,86,17,79.0,70.5
3,"Thu, Nov 16, 2017",washington,77,70,24,78.33333333333333,70.33333333333333
4,"Fri, Nov 17, 2017",saint-louis,90,63,51,81.25,68.5
5,"Wed, Nov 22, 2017",belmont,66,65,52,78.2,67.8
6,"Sat, Nov 25, 2017",boston-college,86,66,72,79.5,67.5
7,"Wed, Nov 29, 2017",rider,88,84,76,80.71428571428571,69.85714285714286
8,"Sat, Dec 2, 2017",rhode-island,68,75,69,79.125,70.5
9,"Wed, Dec 6, 2017",brown,77,72,74,78.88888888888889,70.66666666666667
10,"Sat, Dec 9, 2017",massachusetts,63,72,65,77.3,70.8
11,"Sun, Dec 17, 2017",stony-brook,62,60,67,75.9090909090909,69.81818181818181
12,"Wed, Dec 20, 2017",houston,59,70,56,74.5,69.83333333333333
13,"Fri, Dec 22, 2017",sacred-heart,89,75,70,75.61538461538461,70.23076923076923
14,"Thu, Dec 28, 2017",st-johns-ny,94,72,92,76.92857142857143,70.35714285714286
15,"Sun, Dec 31, 2017",creighton 25,64,83,73,76.06666666666666,71.2
16,"Wed, Jan 3, 2018",marquette,90,95,68,76.9375,72.6875
17,"Sat, Jan 6, 2018",xavier 5,81,72,77,77.17647058823529,72.6470588235294
18,"Fri, Jan 12, 2018",depaul,71,64,84,76.83333333333333,72.16666666666667
19,"Mon, Jan 15, 2018",butler,70,60,94,76.47368421052632,71.52631578947368
20,"Sat, Jan 20, 2018",creighton,85,71,108,76.9,71.5
21,"Tue, Jan 23, 2018",villanova 1,69,89,88,76.52380952380952,72.33333333333333
22,"Wed, Jan 31, 2018",seton-hall,57,73,72,75.63636363636364,72.36363636363636
23,"Sat, Feb 3, 2018",marquette,77,75,74,75.69565217391305,72.47826086956522
24,"Tue, Feb 6, 2018",georgetown,73,69,78,75.58333333333333,72.33333333333333
25,"Sat, Feb 10, 2018",depaul,63,80,61,75.08,72.64
26,"Wed, Feb 14, 2018",villanova 3,76,71,66,75.11538461538461,72.57692307692308
27,"Sat, Feb 17, 2018",butler,54,69,51,74.33333333333333,72.44444444444444
28,"Wed, Feb 21, 2018",seton-hall,77,89,39,74.42857142857143,73.03571428571429
29,"Sat, Feb 24, 2018",georgetown,74,69,44,74.41379310344827,72.89655172413794
30,"Wed, Feb 28, 2018",xavier 3,74,84,34,74.4,73.26666666666667
31,"Sat, Mar 3, 2018",st-johns-ny,61,57,38,73.96774193548387,72.74193548387096
G,Date,opponent,Tm,Opp,38,73.96774193548387,72.74193548387096
32,"Thu, Mar 8, 2018",creighton,72,68,42,73.90625,72.59375
33,"Fri, Mar 9, 2018",xavier 3,75,72,45,73.93939393939394,72.57575757575758
34,"Sat, Mar 10, 2018",villanova 2,66,76,35,73.70588235294117,72.67647058823529
G,Date,opponent,Tm,Opp,35,73.70588235294117,72.67647058823529
35,"Fri, Mar 16, 2018",texas-am,69,73,31,73.57142857142857,72.68571428571428
