G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Fri, Nov 10, 2017",san-diego-christian,91,52,39,91.0,52.0
2,"Tue, Nov 14, 2017",arizona-state,68,90,17,79.5,71.0
3,"Fri, Nov 17, 2017",mcneese-state,83,52,48,80.66666666666667,64.66666666666667
4,"Mon, Nov 20, 2017",eastern-illinois,94,63,79,84.0,64.25
5,"Fri, Nov 24, 2017",sacramento-state,89,52,116,85.0,61.8
6,"Fri, Nov 24, 2017",georgia,75,68,123,83.33333333333333,62.833333333333336
7,"Sun, Nov 26, 2017",washington-state,86,93,116,83.71428571428571,67.14285714285714
8,"Thu, Nov 30, 2017",san-diego,66,57,125,81.5,65.875
9,"Sun, Dec 3, 2017",bradley,75,52,148,80.77777777777777,64.33333333333333
10,"Sat, Dec 9, 2017",california,62,63,147,78.9,64.2
11,"Thu, Dec 21, 2017",gonzaga 12,72,70,149,78.27272727272727,64.72727272727273
12,"Wed, Dec 27, 2017",wyoming,69,82,136,77.5,66.16666666666667
13,"Sat, Dec 30, 2017",utah-state,79,59,156,77.61538461538461,65.61538461538461
14,"Tue, Jan 2, 2018",colorado-state,77,68,165,77.57142857142857,65.78571428571429
15,"Tue, Jan 9, 2018",san-jose-state,85,49,201,78.06666666666666,64.66666666666667
16,"Sat, Jan 13, 2018",boise-state,80,83,198,78.1875,65.8125
17,"Wed, Jan 17, 2018",fresno-state,73,77,194,77.88235294117646,66.47058823529412
18,"Sat, Jan 20, 2018",new-mexico,75,79,190,77.72222222222223,67.16666666666667
19,"Wed, Jan 24, 2018",colorado-state,97,78,209,78.73684210526316,67.73684210526316
20,"Sat, Jan 27, 2018",nevada-las-vegas,78,88,199,78.7,68.75
21,"Sat, Feb 3, 2018",air-force,81,50,230,78.80952380952381,67.85714285714286
22,"Tue, Feb 6, 2018",fresno-state,61,79,212,78.0,68.36363636363636
23,"Sat, Feb 10, 2018",nevada 23,58,83,187,77.1304347826087,69.0
24,"Wed, Feb 14, 2018",wyoming,87,77,197,77.54166666666667,69.33333333333333
25,"Sat, Feb 17, 2018",nevada-las-vegas,94,56,235,78.2,68.8
26,"Wed, Feb 21, 2018",air-force,67,56,246,77.76923076923077,68.3076923076923
27,"Sat, Feb 24, 2018",san-jose-state,71,59,258,77.51851851851852,67.96296296296296
28,"Tue, Feb 27, 2018",boise-state,72,64,266,77.32142857142857,67.82142857142857
29,"Sat, Mar 3, 2018",nevada 21,79,74,271,77.37931034482759,68.03448275862068
G,Date,opponent,Tm,Opp,271,77.37931034482759,68.03448275862068
30,"Thu, Mar 8, 2018",fresno-state,64,52,283,76.93333333333334,67.5
31,"Fri, Mar 9, 2018",nevada 22,90,73,300,77.35483870967742,67.6774193548387
32,"Sat, Mar 10, 2018",new-mexico,82,75,307,77.5,67.90625
G,Date,opponent,Tm,Opp,307,77.5,67.90625
33,"Thu, Mar 15, 2018",houston 21,65,67,305,77.12121212121212,67.87878787878788
